cruise,exp,treatment_conc,rep,Fragment_mz,nM.per.hour.1,se.nM.per.hour.1
TN397,UKH4,5,A,97.0954,0.01500591587740452,3.4748399374967065e-4
TN397,UKH4,5,B,97.0954,0.01303471376803791,3.018379174257404e-4
TN397,UKH4,5,C,97.0954,0.01409861919532181,3.2647420819698395e-4
TN397,UKH4,10,A,97.0954,0.02795251101417794,6.472813950106065e-4
TN397,UKH4,10,B,97.0954,0.01884776819033802,4.3644771952296526e-4
TN397,UKH4,10,C,97.0954,0.02758008153024224,6.386572440074029e-4
TN397,UKH4,50,A,97.0954,0.06763027029568795,0.00156607811297287
TN397,UKH4,50,B,97.0954,0.06538127700030617,0.00151399937425541
TN397,UKH4,50,C,97.0954,0.03652878102497731,8.458775073155856e-4
TN397,UKH4,200,A,97.0954,0.08749943403370627,0.00202617774464873
TN397,UKH4,200,B,97.0954,0.08340247509128568,0.00193130665066343
TN397,UKH4,200,C,97.0954,0.1135159968032343,0.00262862941828548
TN397,UKH4,500,A,97.0954,0.12342011835577492,0.00285797388081449
TN397,UKH4,500,B,97.0954,0.15088100478171212,0.00349387098733894
TN397,UKH4,500,C,97.0954,0.186837667506786,0.00432650025620165
TN397,UKH4,1500,A,97.0954,0.2402862317496709,0.0055641801629156
TN397,UKH4,1500,B,97.0954,0.21198427426542524,0.00490880682230081
TN397,UKH4,1500,C,97.0954,0.21568528240967208,0.00499450909474921
TN397,UKH4,0,A,97.0954,9.239409418991896e-4,2.1395207803570176e-5
TN397,UKH4,0,B,97.0954,7.196844245192568e-4,1.6665348527506162e-5
TN397,UKH4,0,C,97.0954,9.984550315480314e-4,2.3120690851278625e-5
TN397,UKH4,5,A,78.0399,0.01499551092465902,3.462476575824235e-4
TN397,UKH4,5,B,78.0399,0.01296335821500255,2.9932507394365835e-4
TN397,UKH4,5,C,78.0399,0.01388837633988935,3.206838232768776e-4
TN397,UKH4,10,A,78.0399,0.02790069716502943,6.442295355486643e-4
TN397,UKH4,10,B,78.0399,0.01867175178761342,4.311323803439248e-4
TN397,UKH4,10,C,78.0399,0.02742930172394421,6.333449736227088e-4
TN397,UKH4,50,A,78.0399,0.06724711717724553,0.00155274181178468
TN397,UKH4,50,B,78.0399,0.06552366439471019,0.00151294713643784
TN397,UKH4,50,C,78.0399,0.03617289755056181,8.352353652888825e-4
TN397,UKH4,200,A,78.0399,0.08721596638454339,0.00201382428489159
TN397,UKH4,200,B,78.0399,0.08317199156032815,0.00192044855283138
TN397,UKH4,200,C,78.0399,0.1131775131945414,0.00261327866929648
TN397,UKH4,500,A,78.0399,0.12376499887017534,0.00285774463869852
TN397,UKH4,500,B,78.0399,0.14963493141839732,0.0034550836417936
TN397,UKH4,500,C,78.0399,0.18739452876207596,0.00432695604395395
TN397,UKH4,1500,A,78.0399,0.23512999354612044,0.00542917209701981
TN397,UKH4,1500,B,78.0399,0.20954061984547037,0.00483831122223085
TN397,UKH4,1500,C,78.0399,0.2114585312077171,0.00488259596317533
TN397,UKH4,0,A,78.0399,7.711574088699817e-4,1.7806091955792016e-5
TN397,UKH4,0,B,78.0399,6.062198974441079e-4,1.399767040446154e-5
TN397,UKH4,0,C,78.0399,8.099935288039909e-4,1.8702821358631386e-5
TN397,UKH5,2,A,97.0954,0.00933840883002771,4.579812770320386e-4
TN397,UKH5,2,B,97.0954,0.01533271186285375,7.519583996723789e-4
TN397,UKH5,2,C,97.0954,0.00821828705415163,4.030474215236373e-4
TN397,UKH5,5,A,97.0954,0.0355342760083565,0.00174269871890667
TN397,UKH5,5,B,97.0954,0.02335120305438872,0.0011452072820688
TN397,UKH5,5,C,97.0954,0.02237507574219853,0.00109733531146657
TN397,UKH5,10,A,97.0954,0.03897302570603744,0.00191134447072612
TN397,UKH5,10,B,97.0954,0.04051665471357756,0.00198704828676207
TN397,UKH5,10,C,97.0954,0.03752140412874604,0.0018401529523598
TN397,UKH5,50,A,97.0954,0.11324220205519955,0.00555370933690494
TN397,UKH5,50,B,97.0954,0.11019894127539062,0.00540445945037215
TN397,UKH5,50,C,97.0954,0.13904771053418916,0.0068192825135329
TN397,UKH5,200,A,97.0954,0.28178671729877824,0.01381959635609331
TN397,UKH5,200,B,97.0954,0.29042200573568777,0.01424309467340397
TN397,UKH5,200,C,97.0954,0.2722291549331932,0.01335086718636268
TN397,UKH5,1000,A,97.0954,0.5278305527469948,0.02588626338850043
TN397,UKH5,1000,B,97.0954,0.5363407752949925,0.02630362813032093
TN397,UKH5,1000,C,97.0954,0.5346246929866784,0.02621946672966276
TN397,UKH5,0,A,97.0954,8.671133021390053e-4,4.252562344113084e-5
TN397,UKH5,0,B,97.0954,0.0010535977131745,5.167133233727393e-5
TN397,UKH5,0,C,97.0954,8.080170604881288e-4,3.962738106261826e-5
TN397,UKH5,2,A,78.0399,0.0092924343664983,3.9597995248526777e-4
TN397,UKH5,2,B,78.0399,0.01535443812237169,6.543010623841391e-4
TN397,UKH5,2,C,78.0399,0.00836302867859522,3.563750431988236e-4
TN397,UKH5,5,A,78.0399,0.03564161438250177,0.00151880166305653
TN397,UKH5,5,B,78.0399,0.02346423587573171,9.998851367380333e-4
TN397,UKH5,5,C,78.0399,0.02235151260401407,9.524684867100768e-4
TN397,UKH5,10,A,78.0399,0.03886219217557311,0.00165604064599443
TN397,UKH5,10,B,78.0399,0.04052498790022315,0.0017268976191051
