MF,FinalBMIS,Orig_RSD,Batch,FinalRSD,SampID,runDate,type,samp,replicate,Area,Adjusted_Area
Betonicine,"DL-Alanine, 2H3",0.45693468031855,Cyano,0.3173710601514225,211102_Poo_TruePooCyanos_Full1,211102,Poo,TruePooCyanos,Full1,59937,40008.1144999237
Betonicine,"DL-Alanine, 2H3",0.45693468031855,Cyano,0.3173710601514225,211102_Poo_TruePooCyanos_Full2,211102,Poo,TruePooCyanos,Full2,23140,18322.283577091242
Betonicine,"DL-Alanine, 2H3",0.45693468031855,Cyano,0.3173710601514225,211102_Poo_TruePooCyanos_Full3,211102,Poo,TruePooCyanos,Full3,39981,26435.88794006529
Betonicine,"DL-Alanine, 2H3",0.45693468031855,Cyano,0.3173710601514225,211102_Poo_TruePooCyanos_Half1,211102,Poo,TruePooCyanos,Half1,27844,30486.533889413822
Betonicine,"DL-Alanine, 2H3",0.45693468031855,Cyano,0.3173710601514225,211102_Poo_TruePooCyanos_Half2,211102,Poo,TruePooCyanos,Half2,17036,20854.990746431504
Betonicine,"DL-Alanine, 2H3",0.45693468031855,Cyano,0.3173710601514225,211102_Poo_TruePooCyanos_Half3,211102,Poo,TruePooCyanos,Half3,43772,40199.13814442244
Betonicine,"DL-Alanine, 2H3",0.45693468031855,Cyano,0.3173710601514225,211221_Blk_MediaBlk_1314P_pos,211221,Blk,MediaBlk,1314P,3774,3953.8910615931004
Betonicine,"DL-Alanine, 2H3",0.45693468031855,Cyano,0.3173710601514225,211221_Blk_MediaBlk_A_pos,211221,Blk,MediaBlk,A,0,0
Betonicine,"DL-Alanine, 2H3",0.45693468031855,Cyano,0.3173710601514225,211221_Blk_MediaBlk_As9601_pos,211221,Blk,MediaBlk,As9601,4873,3451.011757213759
Betonicine,"DL-Alanine, 2H3",0.45693468031855,Cyano,0.3173710601514225,211221_Blk_MediaBlk_C_pos,211221,Blk,MediaBlk,C,5352,8307.73256232904
Betonicine,"DL-Alanine, 2H3",0.45693468031855,Cyano,0.3173710601514225,211221_Blk_MediaBlk_Nat_pos,211221,Blk,MediaBlk,Nat,7254,7610.6433961281145
Betonicine,"DL-Alanine, 2H3",0.45693468031855,Cyano,0.3173710601514225,211221_Smp_1314P_A_pos,211221,Smp,1314P,A,9152,8804.20629362857
Betonicine,"DL-Alanine, 2H3",0.45693468031855,Cyano,0.3173710601514225,211221_Smp_1314P_B_pos,211221,Smp,1314P,B,5660,5775.148505574656
Betonicine,"DL-Alanine, 2H3",0.45693468031855,Cyano,0.3173710601514225,211221_Smp_1314P_C_pos,211221,Smp,1314P,C,9027,9822.242046219284
Betonicine,"DL-Alanine, 2H3",0.45693468031855,Cyano,0.3173710601514225,211221_Smp_7803_B_pos,211221,Smp,7803,B,10735,13353.591419100683
Betonicine,"DL-Alanine, 2H3",0.45693468031855,Cyano,0.3173710601514225,211221_Smp_7803_F_pos,211221,Smp,7803,F,0,0
Betonicine,"DL-Alanine, 2H3",0.45693468031855,Cyano,0.3173710601514225,211221_Smp_8102_A_pos,211221,Smp,8102,A,12862,19235.223866781173
Betonicine,"DL-Alanine, 2H3",0.45693468031855,Cyano,0.3173710601514225,211221_Smp_8102_F_pos,211221,Smp,8102,F,21206,27260.933465038634
Betonicine,"DL-Alanine, 2H3",0.45693468031855,Cyano,0.3173710601514225,211221_Smp_8501_B_pos,211221,Smp,8501,B,7281,8905.801392988295
Betonicine,"DL-Alanine, 2H3",0.45693468031855,Cyano,0.3173710601514225,211221_Smp_8501_C_pos,211221,Smp,8501,C,21217,21738.969200322554
Betonicine,"DL-Alanine, 2H3",0.45693468031855,Cyano,0.3173710601514225,211221_Smp_8501_D_pos,211221,Smp,8501,D,0,0
Betonicine,"DL-Alanine, 2H3",0.45693468031855,Cyano,0.3173710601514225,211221_Smp_As9601_A_pos,211221,Smp,As9601,A,5730,5040.4087866646105
Betonicine,"DL-Alanine, 2H3",0.45693468031855,Cyano,0.3173710601514225,211221_Smp_As9601_B_pos,211221,Smp,As9601,B,3307,2071.6095670716727
Betonicine,"DL-Alanine, 2H3",0.45693468031855,Cyano,0.3173710601514225,211221_Smp_As9601_C_pos,211221,Smp,As9601,C,5641,6490.697333618403
Betonicine,"DL-Alanine, 2H3",0.45693468031855,Cyano,0.3173710601514225,211221_Smp_MED4_D_pos,211221,Smp,MED4,D,0,0
Betonicine,"DL-Alanine, 2H3",0.45693468031855,Cyano,0.3173710601514225,211221_Smp_MED4_E_pos,211221,Smp,MED4,E,13770,17592.435322952548
Betonicine,"DL-Alanine, 2H3",0.45693468031855,Cyano,0.3173710601514225,211221_Smp_MED4_F_pos,211221,Smp,MED4,F,34522,29781.476047178563
Betonicine,"DL-Alanine, 2H3",0.45693468031855,Cyano,0.3173710601514225,211221_Smp_Nat_A_pos,211221,Smp,Nat,A,9541,8114.209693245383
Betonicine,"DL-Alanine, 2H3",0.45693468031855,Cyano,0.3173710601514225,211221_Smp_Nat_B_pos,211221,Smp,Nat,B,17839,24314.38548881078
Betonicine,"DL-Alanine, 2H3",0.45693468031855,Cyano,0.3173710601514225,211221_Smp_Nat_C_pos,211221,Smp,Nat,C,4439,4764.323828765275
Betonicine,Inj_vol,0.7675058433033254,Bacteria,0.7675058433033254,220111_Blk_MediaBlk_A_pos,220111,Blk,MediaBlk,A,0,0
Betonicine,Inj_vol,0.7675058433033254,Bacteria,0.7675058433033254,220111_Blk_MediaBlk_AMS_pos,220111,Blk,MediaBlk,AMS,7431,7431
Betonicine,Inj_vol,0.7675058433033254,Bacteria,0.7675058433033254,220111_Blk_MediaBlk_AOA_pos,220111,Blk,MediaBlk,AOA,7512,7512
Betonicine,Inj_vol,0.7675058433033254,Bacteria,0.7675058433033254,220111_Blk_MediaBlk_B_pos,220111,Blk,MediaBlk,B,0,0
Betonicine,Inj_vol,0.7675058433033254,Bacteria,0.7675058433033254,220111_Poo_TruePooBacteria_Full1,220111,Poo,TruePooBacteria,Full1,30241,30241
Betonicine,Inj_vol,0.7675058433033254,Bacteria,0.7675058433033254,220111_Poo_TruePooBacteria_Full2,220111,Poo,TruePooBacteria,Full2,236483,236483
Betonicine,Inj_vol,0.7675058433033254,Bacteria,0.7675058433033254,220111_Poo_TruePooBacteria_Full3,220111,Poo,TruePooBacteria,Full3,83896,83896
Betonicine,Inj_vol,0.7675058433033254,Bacteria,0.7675058433033254,220111_Poo_TruePooBacteria_Half1,220111,Poo,TruePooBacteria,Half1,27789,55578
Betonicine,Inj_vol,0.7675058433033254,Bacteria,0.7675058433033254,220111_Poo_TruePooBacteria_Half2,220111,Poo,TruePooBacteria,Half2,38214,76428
Betonicine,Inj_vol,0.7675058433033254,Bacteria,0.7675058433033254,220111_Poo_TruePooBacteria_Half3,220111,Poo,TruePooBacteria,Half3,42375,84750
Betonicine,Inj_vol,0.7675058433033254,Bacteria,0.7675058433033254,220111_Smp_DSS3_A_pos,220111,Smp,DSS3,A,669400,669400
Betonicine,Inj_vol,0.7675058433033254,Bacteria,0.7675058433033254,220111_Smp_DSS3_B_pos,220111,Smp,DSS3,B,1742117,1742117
Betonicine,Inj_vol,0.7675058433033254,Bacteria,0.7675058433033254,220111_Smp_DSS3_C_pos,220111,Smp,DSS3,C,2233332,2233332
Betonicine,Inj_vol,0.7675058433033254,Bacteria,0.7675058433033254,220111_Smp_Och_A_pos,220111,Smp,Och,A,0,0
Betonicine,Inj_vol,0.7675058433033254,Bacteria,0.7675058433033254,220111_Smp_Och_B_pos,220111,Smp,Och,B,0,0
Betonicine,Inj_vol,0.7675058433033254,Bacteria,0.7675058433033254,220111_Smp_Och_C_pos,220111,Smp,Och,C,0,0
Betonicine,Inj_vol,0.7675058433033254,Bacteria,0.7675058433033254,220111_Smp_SA7_A_pos,220111,Smp,SA7,A,13378,13378
Betonicine,Inj_vol,0.7675058433033254,Bacteria,0.7675058433033254,220111_Smp_SA7_B_pos,220111,Smp,SA7,B,0,0
Betonicine,Inj_vol,0.7675058433033254,Bacteria,0.7675058433033254,220111_Smp_SA7_C_pos,220111,Smp,SA7,C,7903,7903
Betonicine,Inj_vol,0.7675058433033254,Bacteria,0.7675058433033254,220111_Smp_SA11_A_pos,220111,Smp,SA11,A,516455,516455
Betonicine,Inj_vol,0.7675058433033254,Bacteria,0.7675058433033254,220111_Smp_SA11_B_pos,220111,Smp,SA11,B,619950,619950
Betonicine,Inj_vol,0.7675058433033254,Bacteria,0.7675058433033254,220111_Smp_SA11_C_pos,220111,Smp,SA11,C,188098,188098
Betonicine,Inj_vol,0.7675058433033254,Bacteria,0.7675058433033254,220111_Smp_SA16_A_pos,220111,Smp,SA16,A,31689,31689
