Name,SampID,Batch,uM.in.vial.ave,uM_C_vial,uM_N_vial
Betonicine,211221_Blk_MediaBlk_1314P_pos,Cyano,9.207451411574202e-6,6.445215988101942e-5,9.207451411574202e-6
Betonicine,211221_Blk_MediaBlk_A_pos,Cyano,0,0,0
Betonicine,211221_Blk_MediaBlk_As9601_pos,Cyano,8.036393158114531e-6,5.625475210680172e-5,8.036393158114531e-6
Betonicine,211221_Blk_MediaBlk_C_pos,Cyano,1.934626996960734e-5,1.354238897872514e-4,1.934626996960734e-5
Betonicine,211221_Blk_MediaBlk_Nat_pos,Cyano,1.7722953968396198e-5,1.2406067777877337e-4,1.7722953968396198e-5
Betonicine,211221_Smp_1314P_A_pos,Cyano,2.050241152405409e-5,1.4351688066837864e-4,2.050241152405409e-5
Betonicine,211221_Smp_1314P_B_pos,Cyano,1.3448625273524608e-5,9.414037691467226e-5,1.3448625273524608e-5
Betonicine,211221_Smp_1314P_C_pos,Cyano,2.2873117894362532e-5,1.6011182526053772e-4,2.2873117894362532e-5
Betonicine,211221_Smp_7803_B_pos,Cyano,3.109659377207113e-5,2.1767615640449792e-4,3.109659377207113e-5
Betonicine,211221_Smp_7803_F_pos,Cyano,0,0,0
Betonicine,211221_Smp_8102_A_pos,Cyano,4.4793188882846975e-5,3.135523221799288e-4,4.4793188882846975e-5
Betonicine,211221_Smp_8102_F_pos,Cyano,6.348271017167732e-5,0.00044437897120174125,6.348271017167732e-5
Betonicine,211221_Smp_8501_B_pos,Cyano,2.0738996681924327e-5,1.451729767734703e-4,2.0738996681924327e-5
Betonicine,211221_Smp_8501_C_pos,Cyano,5.062367665967746e-5,3.543657366177422e-4,5.062367665967746e-5
Betonicine,211221_Smp_8501_D_pos,Cyano,0,0,0
Betonicine,211221_Smp_As9601_A_pos,Cyano,1.1737632189336762e-5,8.216342532535732e-5,1.1737632189336762e-5
Betonicine,211221_Smp_As9601_B_pos,Cyano,4.82417045270825e-6,3.376919316895775e-5,4.82417045270825e-6
Betonicine,211221_Smp_As9601_C_pos,Cyano,1.5114928407371465e-5,1.0580449885160025e-4,1.5114928407371465e-5
Betonicine,211221_Smp_MED4_D_pos,Cyano,0,0,0
Betonicine,211221_Smp_MED4_E_pos,Cyano,4.096761669050177e-5,2.867733168335124e-4,4.096761669050177e-5
Betonicine,211221_Smp_MED4_F_pos,Cyano,6.93523138087857e-5,4.854661966614999e-4,6.93523138087857e-5
Betonicine,211221_Smp_Nat_A_pos,Cyano,1.889561202623996e-5,1.3226928418367973e-4,1.889561202623996e-5
Betonicine,211221_Smp_Nat_B_pos,Cyano,5.662106504783343e-5,3.9634745533483404e-4,5.662106504783343e-5
Betonicine,211221_Smp_Nat_C_pos,Cyano,1.1094711381523608e-5,7.766297967066526e-5,1.1094711381523608e-5
Betonicine,220111_Blk_MediaBlk_A_pos,Bacteria,0,0,0
Betonicine,220111_Blk_MediaBlk_AMS_pos,Bacteria,2.439709348020716e-5,1.7077965436145012e-4,2.439709348020716e-5
Betonicine,220111_Blk_MediaBlk_AOA_pos,Bacteria,2.4663028693758067e-5,1.7264120085630648e-4,2.4663028693758067e-5
Betonicine,220111_Blk_MediaBlk_B_pos,Bacteria,0,0,0
Betonicine,220111_Smp_DSS3_A_pos,Bacteria,0.002197741135197238,0.015384187946380665,0.002197741135197238
Betonicine,220111_Smp_DSS3_B_pos,Bacteria,0.005719632795378557,0.0400374295676499,0.005719632795378557
Betonicine,220111_Smp_DSS3_C_pos,Bacteria,0.007332365708025571,0.051326559956179,0.007332365708025571
Betonicine,220111_Smp_Och_A_pos,Bacteria,0,0,0
Betonicine,220111_Smp_Och_B_pos,Bacteria,0,0,0
Betonicine,220111_Smp_Och_C_pos,Bacteria,0,0,0
Betonicine,220111_Smp_SA7_A_pos,Bacteria,4.392199119609896e-5,3.074539383726927e-4,4.392199119609896e-5
Betonicine,220111_Smp_SA7_B_pos,Bacteria,0,0,0
Betonicine,220111_Smp_SA7_C_pos,Bacteria,2.5946740650528486e-5,1.816271845536994e-4,2.5946740650528486e-5
Betonicine,220111_Smp_SA11_A_pos,Bacteria,0.0016955996384497897,0.011869197469148527,0.0016955996384497897
Betonicine,220111_Smp_SA11_B_pos,Bacteria,0.002035389328899802,0.014247725302298613,0.002035389328899802
Betonicine,220111_Smp_SA11_C_pos,Bacteria,6.175540962777563e-4,0.004322878673944294,6.175540962777563e-4
Betonicine,220111_Smp_SA16_A_pos,Bacteria,1.0403976521252653e-4,7.282783564876857e-4,1.0403976521252653e-4
Betonicine,220111_Smp_SA16_B_pos,Bacteria,2.1288278002289226e-4,0.0014901794601602457,2.1288278002289226e-4
Betonicine,220111_Smp_SA16_C_pos,Bacteria,3.6799523884033095e-4,0.0025759666718823166,3.6799523884033095e-4
Betonicine,220111_Smp_SA36_A_pos,Bacteria,0,0,0
Betonicine,220111_Smp_SA36_B_pos,Bacteria,1.569871379154334e-4,0.0010989099654080338,1.569871379154334e-4
Betonicine,220111_Smp_SA36_C_pos,Bacteria,0,0,0
Betonicine,220111_Smp_SA42_A_pos,Bacteria,0,0,0
Betonicine,220111_Smp_SA44_B_pos,Bacteria,0,0,0
Betonicine,220111_Smp_SA44_C_pos,Bacteria,0,0,0
Betonicine,220111_Smp_SA48_A_pos,Bacteria,5.1092392509619674e-5,3.576467475673377e-4,5.1092392509619674e-5
Betonicine,220111_Smp_SA48_B_pos,Bacteria,3.945690612907141e-5,2.761983429034999e-4,3.945690612907141e-5
Betonicine,220111_Smp_SA48_C_pos,Bacteria,6.866578539915767e-4,0.004806604977941037,6.866578539915767e-4
Betonicine,220111_Smp_SA53_A_pos,Bacteria,9.319354828059108e-4,0.006523548379641375,9.319354828059108e-4
Betonicine,220111_Smp_SA53_B_pos,Bacteria,0.0013898430890327245,0.009728901623229072,0.0013898430890327245
Betonicine,220111_Smp_SA53_C_pos,Bacteria,9.071673932870461e-4,0.006350171753009323,9.071673932870461e-4
Betonicine,220111_Smp_SA55_A_pos,Bacteria,0,0,0
Betonicine,220111_Smp_SA55_B_pos,Bacteria,0,0,0
Betonicine,220111_Smp_SA55_C_pos,Bacteria,6.540036362881532e-5,4.5780254540170724e-4,6.540036362881532e-5
Betonicine,220111_Smp_SA59_A_pos,Bacteria,6.302992876234922e-5,4.4120950133644455e-4,6.302992876234922e-5
Betonicine,220111_Smp_SA59_B_pos,Bacteria,0,0,0
Betonicine,220111_Smp_SA59_C_pos,Bacteria,0,0,0
Betonicine,220111_Smp_SA60_A_pos,Bacteria,2.2440335612598024e-5,1.5708234928818617e-4,2.2440335612598024e-5
Betonicine,220111_Smp_SA60_B_pos,Bacteria,4.815068940663682e-5,3.370548258464577e-4,4.815068940663682e-5
Betonicine,220111_Smp_SCM1_Exp1_pos,Bacteria,0.0014634053655120033,0.010243837558584023,0.0014634053655120033
Betonicine,220111_Smp_SCM1_Exp2_pos,Bacteria,0.001057670308402936,0.007403692158820551,0.001057670308402936
Betonicine,220111_Smp_SCM1_Exp3_pos,Bacteria,3.217323611348272e-4,0.0022521265279437904,3.217323611348272e-4
Betonicine,220111_Smp_SCM1_St1_pos,Bacteria,0.0023607134569929586,0.01652499419895071,0.0023607134569929586
Betonicine,220111_Smp_SCM1_St2_pos,Bacteria,0.006262275240204572,0.043835926681432005,0.006262275240204572
Betonicine,220111_Smp_SCM1_St3_pos,Bacteria,2.3805798023904465e-4,0.0016664058616733125,2.3805798023904465e-4
Betonicine,220111_Smp_SCM1_St4_pos,Bacteria,0.004223812882170404,0.02956669017519283,0.004223812882170404
Betonicine,211215_Blk_MediaBlk_A_pos,Diatom,3.538028163658943e-5,2.4766197145612603e-4,3.538028163658943e-5
Betonicine,211215_Blk_MediaBlk_B_pos,Diatom,1.8273481351413328e-5,1.2791436945989328e-4,1.8273481351413328e-5
Betonicine,211215_Blk_MediaBlk_Fc_pos,Diatom,0,0,0
Betonicine,211215_Blk_MediaBlk_Pc55x_pos,Diatom,0,0,0
Betonicine,211215_Blk_MediaBlk_Z_pos,Diatom,0,0,0
Betonicine,211215_Smp_Cy_A_pos,Diatom,1.252599439332218e-4,8.768196075325526e-4,1.252599439332218e-4
Betonicine,211215_Smp_Cy_B_pos,Diatom,1.0111009806407483e-4,7.077706864485238e-4,1.0111009806407483e-4
Betonicine,211215_Smp_Cy_C_pos,Diatom,9.687296566460086e-5,6.78110759652206e-4,9.687296566460086e-5
Betonicine,211215_Smp_Fc_A_pos,Diatom,3.593649005188858e-5,2.5155543036322004e-4,3.593649005188858e-5
Betonicine,211215_Smp_Fc_B_pos,Diatom,1.3796681911200712e-5,9.657677337840498e-5,1.3796681911200712e-5
Betonicine,211215_Smp_Fc_C_pos,Diatom,0,0,0
Betonicine,211215_Smp_Np_A_pos,Diatom,9.001306187591142e-5,6.3009143313138e-4,9.001306187591142e-5
Betonicine,211215_Smp_Np_C_pos,Diatom,5.719902638308023e-5,4.003931846815616e-4,5.719902638308023e-5
Betonicine,211215_Smp_Np_F_pos,Diatom,1.1201720942750193e-4,7.841204659925136e-4,1.1201720942750193e-4
Betonicine,211215_Smp_Pc55x_A_pos,Diatom,0.010351601600161818,0.07246121120113272,0.010351601600161818
Betonicine,211215_Smp_Pc55x_B_pos,Diatom,0.012050994667666529,0.0843569626736657,0.012050994667666529
Betonicine,211215_Smp_Pc55x_C_pos,Diatom,0.007835088628366663,0.05484562039856664,0.007835088628366663
Betonicine,211215_Smp_Pt_C_pos,Diatom,0.06350470240107135,0.44453291680749946,0.06350470240107135
Betonicine,211215_Smp_Pt_F_pos,Diatom,0.05706308542876541,0.39944159800135787,0.05706308542876541
Betonicine,211215_Smp_To_A_pos,Diatom,2.782647393466704e-4,0.0019478531754266927,2.782647393466704e-4
Betonicine,211215_Smp_To_B_pos,Diatom,9.212371454128439e-4,0.006448660017889907,9.212371454128439e-4
Betonicine,211215_Smp_To_C_pos,Diatom,9.058012313833836e-4,0.006340608619683686,9.058012313833836e-4
Betonicine,211215_Smp_Tp_A_pos,Diatom,5.7850197210747526e-5,4.0495138047523267e-4,5.7850197210747526e-5
Betonicine,211215_Smp_Tp_E_pos,Diatom,4.418013184937101e-5,3.0926092294559707e-4,4.418013184937101e-5
Betonicine,211215_Smp_Tp_F_pos,Diatom,2.651712314889576e-5,1.8561986204227034e-4,2.651712314889576e-5
Betonicine,211218_Blk_MediaBlk_21_pos,Dino_Green,2.0611094406666556e-5,1.4427766084666588e-4,2.0611094406666556e-5
Betonicine,211218_Blk_MediaBlk_49_pos,Dino_Green,1.9388759564553406e-5,1.3572131695187384e-4,1.9388759564553406e-5
Betonicine,211218_Blk_MediaBlk_71_pos,Dino_Green,2.3140063045521347e-5,1.6198044131864942e-4,2.3140063045521347e-5
Betonicine,211218_Blk_MediaBlk_3430_pos,Dino_Green,0,0,0
Betonicine,211218_Blk_MediaBlk_N_pos,Dino_Green,0,0,0
Betonicine,211218_Blk_MediaBlk_O_pos,Dino_Green,3.1642762151004356e-5,2.214993350570305e-4,3.1642762151004356e-5
Betonicine,211218_Smp_449_A_pos,Dino_Green,3.149332309507202e-5,2.2045326166550416e-4,3.149332309507202e-5
Betonicine,211218_Smp_449_B_pos,Dino_Green,2.2277914645911758e-5,1.559454025213823e-4,2.2277914645911758e-5
Betonicine,211218_Smp_449_C_pos,Dino_Green,3.66355593274101e-5,2.564489152918707e-4,3.66355593274101e-5
Betonicine,211218_Smp_1314_A_pos,Dino_Green,1.9722123612402448e-5,1.3805486528681714e-4,1.9722123612402448e-5
Betonicine,211218_Smp_1314_B_pos,Dino_Green,3.98465831446227e-5,2.789260820123589e-4,3.98465831446227e-5
Betonicine,211218_Smp_1314_C_pos,Dino_Green,2.1530719366250117e-5,1.507150355637508e-4,2.1530719366250117e-5
Betonicine,211218_Smp_1545_A_pos,Dino_Green,3.563163541319805e-5,2.4942144789238637e-4,3.563163541319805e-5
Betonicine,211218_Smp_1545_B_pos,Dino_Green,2.9201924237442988e-5,2.044134696621009e-4,2.9201924237442988e-5
Betonicine,211218_Smp_1545_C_pos,Dino_Green,1.89136200021019e-5,1.3239534001471332e-4,1.89136200021019e-5
Betonicine,211218_Smp_1771_A_pos,Dino_Green,3.375023601671668e-5,2.3625165211701678e-4,3.375023601671668e-5
Betonicine,211218_Smp_1771_B_pos,Dino_Green,4.655218180825284e-5,3.2586527265776984e-4,4.655218180825284e-5
Betonicine,211218_Smp_1771_C_pos,Dino_Green,3.1945472033533944e-5,2.236183042347376e-4,3.1945472033533944e-5
Betonicine,211218_Smp_2021_A_pos,Dino_Green,0,0,0
Betonicine,211218_Smp_2021_B_pos,Dino_Green,0,0,0
Betonicine,211218_Smp_2021_C_pos,Dino_Green,0,0,0
Betonicine,211218_Smp_3430_A_pos,Dino_Green,4.714993803198215e-5,3.300495662238751e-4,4.714993803198215e-5
Betonicine,211218_Smp_3430_B_pos,Dino_Green,4.04673299923416e-5,2.8327130994639123e-4,4.04673299923416e-5
Betonicine,211218_Smp_3430_C_pos,Dino_Green,4.101144142676188e-5,2.870800899873332e-4,4.101144142676188e-5
Betonicine,220104_Blk_MediaBlk_C_pos,Haptophyte,0,0,0
