SampID,Batch,Organism,Compound,Area,min.area.flag,blk.flag,smp.remove
220111_Smp_DSS3_A_pos,Bacteria,DSS3,beta-Alaninebetaine,138925,NA,Flag,Smp_Remove
220111_Smp_DSS3_B_pos,Bacteria,DSS3,beta-Alaninebetaine,138925,NA,Flag,Smp_Remove
220111_Smp_DSS3_C_pos,Bacteria,DSS3,beta-Alaninebetaine,138925,Flag,Flag,Smp_Remove
220111_Smp_Och_A_pos,Bacteria,OCh114,beta-Alaninebetaine,138925,NA,Flag,Smp_Remove
220111_Smp_Och_B_pos,Bacteria,OCh114,beta-Alaninebetaine,138925,NA,Flag,Smp_Remove
220111_Smp_Och_C_pos,Bacteria,OCh114,beta-Alaninebetaine,138925,NA,Flag,Smp_Remove
220111_Smp_SA7_A_pos,Bacteria,SA7,beta-Alaninebetaine,138925,NA,Flag,Smp_Remove
220111_Smp_SA7_B_pos,Bacteria,SA7,beta-Alaninebetaine,138925,NA,Flag,Smp_Remove
220111_Smp_SA7_C_pos,Bacteria,SA7,beta-Alaninebetaine,138925,NA,Flag,Smp_Remove
220111_Smp_SA11_A_pos,Bacteria,SA11,beta-Alaninebetaine,49546208,NA,NA,NA
220111_Smp_SA11_B_pos,Bacteria,SA11,beta-Alaninebetaine,62852056,NA,NA,NA
220111_Smp_SA11_C_pos,Bacteria,SA11,beta-Alaninebetaine,54846476,NA,NA,NA
220111_Smp_SA16_A_pos,Bacteria,SA16,beta-Alaninebetaine,61411708,NA,NA,NA
220111_Smp_SA16_B_pos,Bacteria,SA16,beta-Alaninebetaine,64696944,NA,NA,NA
220111_Smp_SA16_C_pos,Bacteria,SA16,beta-Alaninebetaine,62978200,NA,NA,NA
220111_Smp_SA36_A_pos,Bacteria,SA36,beta-Alaninebetaine,138925,NA,Flag,Smp_Remove
220111_Smp_SA36_B_pos,Bacteria,SA36,beta-Alaninebetaine,853696,NA,NA,NA
220111_Smp_SA36_C_pos,Bacteria,SA36,beta-Alaninebetaine,138925,NA,Flag,Smp_Remove
220111_Smp_SA42_A_pos,Bacteria,SA42,beta-Alaninebetaine,138925,NA,Flag,Smp_Remove
220111_Smp_SA44_B_pos,Bacteria,SA44,beta-Alaninebetaine,2144493,NA,NA,NA
220111_Smp_SA44_C_pos,Bacteria,SA44,beta-Alaninebetaine,1416174,NA,NA,NA
220111_Smp_SA48_A_pos,Bacteria,SA48,beta-Alaninebetaine,138925,NA,Flag,NA
