SampID,Organism,Batch,Compound,Area,min.area.flag,blk.flag
220111_Smp_SA11_A_pos,SA11,Bacteria,beta-Alaninebetaine,49546208,NA,NA
220111_Smp_SA11_B_pos,SA11,Bacteria,beta-Alaninebetaine,62852056,NA,NA
220111_Smp_SA11_C_pos,SA11,Bacteria,beta-Alaninebetaine,54846476,NA,NA
220111_Smp_SA16_A_pos,SA16,Bacteria,beta-Alaninebetaine,61411708,NA,NA
220111_Smp_SA16_B_pos,SA16,Bacteria,beta-Alaninebetaine,64696944,NA,NA
220111_Smp_SA16_C_pos,SA16,Bacteria,beta-Alaninebetaine,62978200,NA,NA
220111_Smp_SA36_B_pos,SA36,Bacteria,beta-Alaninebetaine,853696,NA,NA
220111_Smp_SA44_B_pos,SA44,Bacteria,beta-Alaninebetaine,2144493,NA,NA
220111_Smp_SA44_C_pos,SA44,Bacteria,beta-Alaninebetaine,1416174,NA,NA
220111_Smp_SA48_A_pos,SA48,Bacteria,beta-Alaninebetaine,155795,NA,Flag
220111_Smp_SA48_B_pos,SA48,Bacteria,beta-Alaninebetaine,7615039,NA,NA
220111_Smp_SA48_C_pos,SA48,Bacteria,beta-Alaninebetaine,14552081,NA,NA
220111_Smp_SA53_A_pos,SA53,Bacteria,beta-Alaninebetaine,20850154,NA,NA
220111_Smp_SA53_B_pos,SA53,Bacteria,beta-Alaninebetaine,25834806,NA,NA
220111_Smp_SA53_C_pos,SA53,Bacteria,beta-Alaninebetaine,26119642,NA,NA
220111_Smp_SA59_A_pos,SA59,Bacteria,beta-Alaninebetaine,4010718,NA,NA
220111_Smp_SA59_B_pos,SA59,Bacteria,beta-Alaninebetaine,2668013,NA,NA
220111_Smp_SA59_C_pos,SA59,Bacteria,beta-Alaninebetaine,2713063,NA,NA
220111_Smp_DSS3_A_pos,DSS3,Bacteria,Betonicine,669400,NA,NA
220111_Smp_DSS3_B_pos,DSS3,Bacteria,Betonicine,1742117,NA,NA
220111_Smp_DSS3_C_pos,DSS3,Bacteria,Betonicine,2233332,NA,NA
220111_Smp_SA11_A_pos,SA11,Bacteria,Betonicine,516455,NA,NA
220111_Smp_SA11_B_pos,SA11,Bacteria,Betonicine,619950,NA,NA
220111_Smp_SA11_C_pos,SA11,Bacteria,Betonicine,188098,NA,NA
220111_Smp_SA16_A_pos,SA16,Bacteria,Betonicine,31689,Flag,NA
220111_Smp_SA16_B_pos,SA16,Bacteria,Betonicine,64841,NA,NA
220111_Smp_SA16_C_pos,SA16,Bacteria,Betonicine,112086,NA,NA
220111_Smp_SA36_B_pos,SA36,Bacteria,Betonicine,47816,NA,NA
220111_Smp_SA48_C_pos,SA48,Bacteria,Betonicine,209146,NA,NA
220111_Smp_SA53_A_pos,SA53,Bacteria,Betonicine,283854,NA,NA
220111_Smp_SA53_B_pos,SA53,Bacteria,Betonicine,423326,NA,NA
220111_Smp_SA53_C_pos,SA53,Bacteria,Betonicine,276310,NA,NA
220111_Smp_SCM1_Exp1_pos,Nmar,Bacteria,Betonicine,445732,NA,NA
220111_Smp_SCM1_Exp2_pos,Nmar,Bacteria,Betonicine,322151,NA,NA
220111_Smp_SCM1_Exp3_pos,Nmar,Bacteria,Betonicine,97995,NA,NA
220111_Smp_SCM1_St1_pos,Nmar,Bacteria,Betonicine,719039,NA,NA
220111_Smp_SCM1_St2_pos,Nmar,Bacteria,Betonicine,1907398,NA,NA
220111_Smp_SCM1_St3_pos,Nmar,Bacteria,Betonicine,72509,NA,NA
220111_Smp_SCM1_St4_pos,Nmar,Bacteria,Betonicine,1286512,NA,NA
220111_Smp_SA11_A_pos,SA11,Bacteria,Dimethylsulfoniopropionate,347411,NA,NA
220111_Smp_SA11_B_pos,SA11,Bacteria,Dimethylsulfoniopropionate,1385408,NA,NA
220111_Smp_SA11_C_pos,SA11,Bacteria,Dimethylsulfoniopropionate,811460,NA,NA
220111_Smp_SA16_A_pos,SA16,Bacteria,Dimethylsulfoniopropionate,859303,NA,NA
220111_Smp_SA16_B_pos,SA16,Bacteria,Dimethylsulfoniopropionate,637153,NA,NA
220111_Smp_SA16_C_pos,SA16,Bacteria,Dimethylsulfoniopropionate,622752,NA,NA
220111_Smp_SA42_A_pos,SA42,Bacteria,Dimethylsulfoniopropionate,268200944,NA,NA
220111_Smp_SA44_B_pos,SA44,Bacteria,Dimethylsulfoniopropionate,45527,NA,NA
220111_Smp_SCM1_St2_pos,Nmar,Bacteria,Dimethylsulfoniopropionate,146851,NA,NA
220111_Smp_DSS3_A_pos,DSS3,Bacteria,Glycine betaine,1117720448,NA,NA
220111_Smp_DSS3_B_pos,DSS3,Bacteria,Glycine betaine,1207003648,NA,NA
220111_Smp_DSS3_C_pos,DSS3,Bacteria,Glycine betaine,974537152,NA,NA
220111_Smp_SA7_A_pos,SA7,Bacteria,Glycine betaine,396224448,NA,NA
220111_Smp_SA7_B_pos,SA7,Bacteria,Glycine betaine,696945088,NA,NA
220111_Smp_SA7_C_pos,SA7,Bacteria,Glycine betaine,303200608,NA,NA
220111_Smp_SA16_A_pos,SA16,Bacteria,Glycine betaine,208842032,NA,NA
220111_Smp_SA16_B_pos,SA16,Bacteria,Glycine betaine,211861824,NA,NA
220111_Smp_SA16_C_pos,SA16,Bacteria,Glycine betaine,196305456,NA,NA
220111_Smp_SA36_A_pos,SA36,Bacteria,Glycine betaine,231300832,NA,NA
220111_Smp_SA36_B_pos,SA36,Bacteria,Glycine betaine,256981648,NA,NA
220111_Smp_SA36_C_pos,SA36,Bacteria,Glycine betaine,244863040,NA,NA
220111_Smp_SA44_B_pos,SA44,Bacteria,Glycine betaine,295314304,NA,NA
220111_Smp_SA44_C_pos,SA44,Bacteria,Glycine betaine,312232896,NA,NA
220111_Smp_SA53_A_pos,SA53,Bacteria,Glycine betaine,176763872,NA,NA
220111_Smp_SA53_B_pos,SA53,Bacteria,Glycine betaine,205155056,NA,NA
220111_Smp_SA53_C_pos,SA53,Bacteria,Glycine betaine,202899008,NA,NA
220111_Smp_SA55_A_pos,SA55,Bacteria,Glycine betaine,717338624,NA,NA
220111_Smp_SA55_B_pos,SA55,Bacteria,Glycine betaine,809690752,NA,NA
220111_Smp_SA55_C_pos,SA55,Bacteria,Glycine betaine,457473184,NA,NA
220111_Smp_SA59_A_pos,SA59,Bacteria,Glycine betaine,354192832,NA,NA
