MF,Cruise,Blk.Av,Blk.sd,Blk.max,Blk.LD
Betonicine,KM1906,68562.66666666667,37900.707406047026,169295,88059.51407507909
Betonicine,KinExp,1067846.8,439788.5189273525,2006175,1266905.0465154657
Betonicine,RC078,470351.64285714284,375491.8200224683,1315682,647075.759126294
Betonicine,TN397,81010.73333333334,58179.45602120915,243294,107344.07311003313
Dimethylsulfonioacetate,KM1906,1055,3654.6272039703313,12660,2935.01
Dimethylsulfonioacetate,KinExp,740.5333333333333,2868.0732673114658,11108,2038.6882666666666
Dimethylsulfonioacetate,RC078,4403.142857142857,9244.586755810898,29203,8754.080314572482
Dimethylsulfonioacetate,TN397,39606.666666666664,84534.78407281877,260821,77869.02496592568
Dimethylsulfoniopropionate,KM1906,0,0,0,20000
Dimethylsulfoniopropionate,KinExp,122149.73333333334,147052.53728148932,454958,188709.04299493632
Dimethylsulfoniopropionate,RC078,1404.2142857142858,5254.088754756351,19659,3877.0356428571426
Dimethylsulfoniopropionate,TN397,3561.733333333333,11502.592605064967,44601,8768.067322975798
Glycine betaine,KM1906,1254019097.3333333,1851648041.3349009,6706788864,2206542197.4755845
Glycine betaine,KinExp,115666581.33333333,90463646.38092655,409360896,156612477.0240687
Glycine betaine,RC078,142180408.7142857,60513088.782509945,255930368,170660715.25509357
Glycine betaine,TN397,58727560.53333333,42892818.52997769,159176000,78141821.88219276
Gonyol,KM1906,257890.33333333334,518761.73507678724,1749094,524751.272939481
Gonyol,KinExp,912396.0666666667,1675320.6871104864,6635128,1670684.1619099765
Gonyol,RC078,432375.64285714284,981864.5384200729,3183708,894487.2884262064
Gonyol,TN397,803753.4666666667,860016.3303679485,3027120,1193016.3403661689
Homarine,KM1906,39172.416666666664,43954.554149109164,119364,61783.47840672413
Homarine,KinExp,1527668.4,1118047.382516872,4454500,2033721.9732670593
Homarine,RC078,6186508.714285715,6111389.332198146,20030868,9062816.056599617
Homarine,TN397,225526,486827.10544225626,1874895,445874.97637139773
Proline betaine,KM1906,114060.91666666667,94228.25791898611,303216,162533.73134331004
Proline betaine,KinExp,4145683.3333333335,1666227.516438628,7079115,4899855.653536356
Proline betaine,RC078,401022.5,280224.76290889457,1122959,532909.4571615263
Proline betaine,TN397,203937.73333333334,141095.16191233016,621028,267800.59994610096
Trigonelline,KM1906,662260.6666666666,328519.8483463597,1564236,831257.5480499897
Trigonelline,KinExp,6163287.733333333,3229623.93882345,14811561,7625088.691063117
Trigonelline,RC078,1255008.9285714286,1255451.9466715173,4450498,1845883.6799325463
Trigonelline,TN397,2164780,2920612.490136126,9430245,3486715.375792973
Trimethylamine N-oxide,KM1906,202956.33333333334,130893.25528448628,495592,270290.322584015
Trimethylamine N-oxide,KinExp,3566412.6,1712517.7387066598,7839448,4341536.923447582
Trimethylamine N-oxide,RC078,783018.4285714285,427478.62918076233,1559139,984209.9830542878
Trimethylamine N-oxide,TN397,137575.46666666667,136854.0087569162,403537,199518.69128336917
beta-Alaninebetaine,KM1906,104916,50907.55701000857,180485,131103.81914347157
beta-Alaninebetaine,KinExp,906150.1333333333,596664.4996493742,2455731,1176214.0025491905
beta-Alaninebetaine,RC078,766252,1200918.5701039915,4818338,1331460.7787162485
beta-Alaninebetaine,TN397,165950.66666666666,150776.5293172395,613412,234195.53948594825
