MF,FinalBMIS,Orig_RSD,Cruise,FinalRSD,SampID,runDate,type,samp,replicate,Area,Adjusted_Area
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Poo_TruePooG3-CXSPE_Full1,220623,Poo,TruePooG3-CXSPE,Full1,2108213,2108213
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Poo_TruePooG3-CXSPE_Full2,220623,Poo,TruePooG3-CXSPE,Full2,2185447,2185447
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Poo_TruePooG3-CXSPE_Full3,220623,Poo,TruePooG3-CXSPE,Full3,1955398,1955398
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Poo_TruePooG3-CXSPE_Half1,220623,Poo,TruePooG3-CXSPE,Half1,912356,1824712
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Poo_TruePooG3-CXSPE_Half2,220623,Poo,TruePooG3-CXSPE,Half2,1094002,2188004
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Poo_TruePooG3-CXSPE_Half3,220623,Poo,TruePooG3-CXSPE,Half3,1263436,2526872
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_CXSPE_Blk1_A,220623,Smp,CXSPE,Blk1,50522,50522
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_CXSPE_Blk1_B,220623,Smp,CXSPE,Blk1,77990,77990
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_CXSPE_Blk1_C,220623,Smp,CXSPE,Blk1,169295,169295
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_CXSPE_Blk2_A,220623,Smp,CXSPE,Blk2,64288,64288
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_CXSPE_Blk2_B,220623,Smp,CXSPE,Blk2,70184,70184
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_CXSPE_Blk2_C,220623,Smp,CXSPE,Blk2,45674,45674
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_CXSPE_Blk3_A,220623,Smp,CXSPE,Blk3,73751,73751
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_CXSPE_Blk3_B,220623,Smp,CXSPE,Blk3,81128,81128
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_CXSPE_Blk3_C,220623,Smp,CXSPE,Blk3,19424,19424
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_CXSPE_Blk4_A,220623,Smp,CXSPE,Blk4,47442,47442
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_CXSPE_Blk4_B,220623,Smp,CXSPE,Blk4,33684,33684
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_CXSPE_Blk4_C,220623,Smp,CXSPE,Blk4,89370,89370
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MQBlk_1,220623,Smp,MQBlk,1,261801,261801
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MQBlk_2,220623,Smp,MQBlk,2,119229,119229
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MQBlk_3,220623,Smp,MQBlk,3,37225,37225
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MQBlk_4,220623,Smp,MQBlk,4,95268,95268
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MQBlk_5,220623,Smp,MQBlk,5,365909,365909
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MQBlk_6,220623,Smp,MQBlk,6,201704,201704
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU1_A,220623,Smp,MU1,A,1327776,1327776
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU1_B,220623,Smp,MU1,B,772153,772153
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU1_C,220623,Smp,MU1,C,1259862,1259862
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU10_A,220623,Smp,MU10,A,1851359,1851359
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU10_B,220623,Smp,MU10,B,2888882,2888882
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU10_C,220623,Smp,MU10,C,3202411,3202411
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU11_A,220623,Smp,MU11,A,1980414,1980414
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU11_B,220623,Smp,MU11,B,2769202,2769202
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU11_C,220623,Smp,MU11,C,2703343,2703343
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU12_A,220623,Smp,MU12,A,17582312,17582312
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU12_B,220623,Smp,MU12,B,4551121,4551121
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU12_C,220623,Smp,MU12,C,14265465,14265465
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU13_A,220623,Smp,MU13,A,1138083,1138083
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU13_B,220623,Smp,MU13,B,983907,983907
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU13_C,220623,Smp,MU13,C,801844,801844
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU14_A,220623,Smp,MU14,A,3105903,3105903
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU14_B,220623,Smp,MU14,B,2738415,2738415
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU14_C,220623,Smp,MU14,C,1399349,1399349
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU15_A,220623,Smp,MU15,A,505013,505013
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU15_B,220623,Smp,MU15,B,2790011,2790011
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU15_C,220623,Smp,MU15,C,1251717,1251717
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU16_A,220623,Smp,MU16,A,2349487,2349487
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU16_B,220623,Smp,MU16,B,1391173,1391173
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU16_C,220623,Smp,MU16,C,1289399,1289399
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU17_A,220623,Smp,MU17,A,1457754,1457754
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU17_B,220623,Smp,MU17,B,1661236,1661236
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU2_A,220623,Smp,MU2,A,1220040,1220040
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU2_B,220623,Smp,MU2,B,1228116,1228116
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU2_C,220623,Smp,MU2,C,1730048,1730048
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU3_A,220623,Smp,MU3,A,1082911,1082911
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU3_B,220623,Smp,MU3,B,1289157,1289157
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU3_C,220623,Smp,MU3,C,2117953,2117953
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU4_A,220623,Smp,MU4,A,1223106,1223106
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU4_B,220623,Smp,MU4,B,1409376,1409376
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU4_C,220623,Smp,MU4,C,1389814,1389814
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU5_A,220623,Smp,MU5,A,1050522,1050522
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU5_B,220623,Smp,MU5,B,1199075,1199075
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU5_C,220623,Smp,MU5,C,1502540,1502540
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU6_A,220623,Smp,MU6,A,1045117,1045117
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU6_B,220623,Smp,MU6,B,1673637,1673637
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU6_C,220623,Smp,MU6,C,1416361,1416361
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU7_A,220623,Smp,MU7,A,1326077,1326077
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU7_B,220623,Smp,MU7,B,1864491,1864491
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU7_C,220623,Smp,MU7,C,2220111,2220111
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU8_A,220623,Smp,MU8,A,3594199,3594199
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU8_B,220623,Smp,MU8,B,1644412,1644412
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU8_C,220623,Smp,MU8,C,1495459,1495459
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU9_A,220623,Smp,MU9,A,1140872,1140872
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU9_B,220623,Smp,MU9,B,1086742,1086742
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU9_C,220623,Smp,MU9,C,1219686,1219686
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Poo_PooKinDissSept23_Full1,240102,Poo,PooKinDissSept23,Full1,61166536,61166536
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Poo_PooKinDissSept23_Full2,240102,Poo,PooKinDissSept23,Full2,64691768,64691768
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Poo_PooKinDissSept23_Full3,240102,Poo,PooKinDissSept23,Full3,65537136,65537136
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Poo_PooKinDissSept23_Full4,240102,Poo,PooKinDissSept23,Full4,65805444,65805444
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Poo_PooKinDissSept23_Half1,240102,Poo,PooKinDissSept23,Half1,33580308,67160616
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Poo_PooKinDissSept23_Half2,240102,Poo,PooKinDissSept23,Half2,34210196,68420392
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Poo_PooKinDissSept23_Half3,240102,Poo,PooKinDissSept23,Half3,33156692,66313384
