Name,Cruise,RFmax,RFmin,RF,RFratio
Betonicine,KM1906,497241024,340688832,418964928,1.0150773004406652
Betonicine,KinExp,3060761344,2977280768,3019021056,0.922105244064003
Betonicine,RC078,1992168576,1866725504,1929447040,0.987935630241173
Betonicine,TN397,521673376,440764064,481218720,1.0383565315321535
Dimethylsulfonioacetate,KM1906,214066352,153603248,183834800,1.0117916736908426
Dimethylsulfonioacetate,KinExp,1507872640,1451344640,1479608640,0.852478408559471
Dimethylsulfonioacetate,RC078,1109141888,1101997312,1105569600,0.9791066668900472
Dimethylsulfonioacetate,TN397,227239008,188143280,207691144,1.0207174503563947
Dimethylsulfoniopropionate,KM1906,341265344,251986112,296625728,1.0280368828982274
Dimethylsulfoniopropionate,KinExp,1719167616,1308853248,1514010432,1.100481589097754
Dimethylsulfoniopropionate,RC078,1351515136,1288494464,1320004800,0.9767605668943715
Dimethylsulfoniopropionate,TN397,396579008,301438016,349008512,1.0936448447104763
Glycine betaine,KM1906,616957120,498183616,557570368,0.8111626344588495
Glycine betaine,KinExp,2903661312,2566015744,2734838528,1.0078215537347845
Glycine betaine,RC078,2318206208,2308079360,2313142784,0.9519982669670979
Glycine betaine,TN397,761755840,506524256,634140048,0.9764821364273779
Gonyol,KM1906,22248186,15070907,18659546.5,1.0775368400323015
Gonyol,KinExp,186434864,172405040,179419952,0.8690540611999181
Gonyol,RC078,90659120,87111960,88885540,0.9780276910979933
Gonyol,TN397,26165144,20534686,23349915,1.049458853527562
Homarine,KM1906,26086544,20929950,23508247,0.9368378010810962
Homarine,KinExp,4027645440,3623999232,3825822336,1.0087272300761967
Homarine,RC078,2301247744,2247553024,2274400384,0.9687179958373183
Homarine,TN397,29172456,22937592,26055024,1.0654309667823134
Proline betaine,KM1906,776937984,631088512,704013248,0.7855185889076465
Proline betaine,KinExp,4301134336,4108024320,4204579328,0.9299172297421723
Proline betaine,RC078,2467375616,2226120960,2346748288,0.9817684225396376
Proline betaine,TN397,925890944,718813248,822352096,0.9071417060609376
Trigonelline,KM1906,599519936,499588512,549554224,0.7567198463589921
Trigonelline,KinExp,2690809344,2541645056,2616227200,0.9433058931764843
Trigonelline,RC078,1642877952,1504955136,1573916544,0.9405579819911817
Trigonelline,TN397,721341376,542986048,632163712,0.9291664224402971
Trimethylamine N-oxide,KM1906,149177648,110044120,129610884,0.8756538746004993
Trimethylamine N-oxide,KinExp,616409152,515556960,565983056,1.0014589298670715
Trimethylamine N-oxide,RC078,423742528,401028576,412385552,0.9981150085109773
Trimethylamine N-oxide,TN397,149146320,128973208,139059764,0.9160412892791188
beta-Alaninebetaine,KM1906,305491136,205311776,255401456,1.0241615418477668
beta-Alaninebetaine,KinExp,2070611584,1817268480,1943940032,0.9405973186283382
beta-Alaninebetaine,RC078,1472398464,1425576704,1448987584,0.9971806791050848
beta-Alaninebetaine,TN397,334756608,279255968,307006288,1.0690898277217085
