Rep,SampID,replicate,Cruise,Compound,Area,min.area.flag,blk.lod.flag,Blk.Av
220623_Smp_MU1_A,MU1,A,KM1906,beta-Alaninebetaine,3549168,NA,NA,NA
220623_Smp_MU1_B,MU1,B,KM1906,beta-Alaninebetaine,2740540,NA,NA,NA
220623_Smp_MU1_C,MU1,C,KM1906,beta-Alaninebetaine,2801117,NA,NA,NA
220623_Smp_MU10_A,MU10,A,KM1906,beta-Alaninebetaine,15224717,NA,NA,NA
220623_Smp_MU10_B,MU10,B,KM1906,beta-Alaninebetaine,24660352,NA,NA,NA
220623_Smp_MU10_C,MU10,C,KM1906,beta-Alaninebetaine,34896460,NA,NA,NA
220623_Smp_MU11_A,MU11,A,KM1906,beta-Alaninebetaine,11844971,NA,NA,NA
220623_Smp_MU11_B,MU11,B,KM1906,beta-Alaninebetaine,15415373,NA,NA,NA
220623_Smp_MU11_C,MU11,C,KM1906,beta-Alaninebetaine,12037369,NA,NA,NA
220623_Smp_MU12_A,MU12,A,KM1906,beta-Alaninebetaine,257268608,NA,NA,NA
220623_Smp_MU12_B,MU12,B,KM1906,beta-Alaninebetaine,52591728,NA,NA,NA
220623_Smp_MU12_C,MU12,C,KM1906,beta-Alaninebetaine,189655344,NA,NA,NA
220623_Smp_MU13_A,MU13,A,KM1906,beta-Alaninebetaine,3318886,NA,NA,NA
220623_Smp_MU13_B,MU13,B,KM1906,beta-Alaninebetaine,3027299,NA,NA,NA
220623_Smp_MU13_C,MU13,C,KM1906,beta-Alaninebetaine,3021244,NA,NA,NA
220623_Smp_MU14_A,MU14,A,KM1906,beta-Alaninebetaine,25819934,NA,NA,NA
220623_Smp_MU14_B,MU14,B,KM1906,beta-Alaninebetaine,18446342,NA,NA,NA
220623_Smp_MU14_C,MU14,C,KM1906,beta-Alaninebetaine,10052827,NA,NA,NA
220623_Smp_MU15_A,MU15,A,KM1906,beta-Alaninebetaine,1389484,NA,NA,NA
220623_Smp_MU15_B,MU15,B,KM1906,beta-Alaninebetaine,9817440,NA,NA,NA
220623_Smp_MU15_C,MU15,C,KM1906,beta-Alaninebetaine,4862393,NA,NA,NA
220623_Smp_MU16_A,MU16,A,KM1906,beta-Alaninebetaine,7911619,NA,NA,NA
220623_Smp_MU16_B,MU16,B,KM1906,beta-Alaninebetaine,7612084,NA,NA,NA
220623_Smp_MU16_C,MU16,C,KM1906,beta-Alaninebetaine,6159743,NA,NA,NA
220623_Smp_MU17_A,MU17,A,KM1906,beta-Alaninebetaine,9706524,NA,NA,NA
220623_Smp_MU17_B,MU17,B,KM1906,beta-Alaninebetaine,15404222,NA,NA,NA
220623_Smp_MU2_A,MU2,A,KM1906,beta-Alaninebetaine,3672693,NA,NA,NA
220623_Smp_MU2_B,MU2,B,KM1906,beta-Alaninebetaine,2900889,NA,NA,NA
220623_Smp_MU2_C,MU2,C,KM1906,beta-Alaninebetaine,3522377,NA,NA,NA
220623_Smp_MU3_A,MU3,A,KM1906,beta-Alaninebetaine,2958899,NA,NA,NA
220623_Smp_MU3_B,MU3,B,KM1906,beta-Alaninebetaine,2870972,NA,NA,NA
220623_Smp_MU3_C,MU3,C,KM1906,beta-Alaninebetaine,4873826,NA,NA,NA
220623_Smp_MU4_A,MU4,A,KM1906,beta-Alaninebetaine,3354493,NA,NA,NA
220623_Smp_MU4_B,MU4,B,KM1906,beta-Alaninebetaine,3130902,NA,NA,NA
220623_Smp_MU4_C,MU4,C,KM1906,beta-Alaninebetaine,2671834,NA,NA,NA
220623_Smp_MU5_A,MU5,A,KM1906,beta-Alaninebetaine,1551496,NA,NA,NA
220623_Smp_MU5_B,MU5,B,KM1906,beta-Alaninebetaine,279013,NA,NA,NA
220623_Smp_MU5_C,MU5,C,KM1906,beta-Alaninebetaine,2564807,NA,NA,NA
220623_Smp_MU6_A,MU6,A,KM1906,beta-Alaninebetaine,928407,NA,NA,NA
220623_Smp_MU6_B,MU6,B,KM1906,beta-Alaninebetaine,3223672,NA,NA,NA
220623_Smp_MU6_C,MU6,C,KM1906,beta-Alaninebetaine,2034181,NA,NA,NA
220623_Smp_MU7_A,MU7,A,KM1906,beta-Alaninebetaine,1888714,NA,NA,NA
220623_Smp_MU7_B,MU7,B,KM1906,beta-Alaninebetaine,3205213,NA,NA,NA
220623_Smp_MU7_C,MU7,C,KM1906,beta-Alaninebetaine,3383328,NA,NA,NA
220623_Smp_MU8_A,MU8,A,KM1906,beta-Alaninebetaine,5719597,NA,NA,NA
220623_Smp_MU8_B,MU8,B,KM1906,beta-Alaninebetaine,4049476,NA,NA,NA
220623_Smp_MU8_C,MU8,C,KM1906,beta-Alaninebetaine,458689,NA,NA,NA
220623_Smp_MU9_A,MU9,A,KM1906,beta-Alaninebetaine,3485323,NA,NA,NA
220623_Smp_MU9_B,MU9,B,KM1906,beta-Alaninebetaine,3240328,NA,NA,NA
220623_Smp_MU9_C,MU9,C,KM1906,beta-Alaninebetaine,5647550,NA,NA,NA
220623_Smp_MU1_A,MU1,A,KM1906,Betonicine,1327776,NA,NA,NA
220623_Smp_MU1_B,MU1,B,KM1906,Betonicine,772153,NA,NA,NA
220623_Smp_MU1_C,MU1,C,KM1906,Betonicine,1259862,NA,NA,NA
220623_Smp_MU10_A,MU10,A,KM1906,Betonicine,1851359,NA,NA,NA
220623_Smp_MU10_B,MU10,B,KM1906,Betonicine,2888882,NA,NA,NA
220623_Smp_MU10_C,MU10,C,KM1906,Betonicine,3202411,NA,NA,NA
220623_Smp_MU11_A,MU11,A,KM1906,Betonicine,1980414,NA,NA,NA
220623_Smp_MU11_B,MU11,B,KM1906,Betonicine,2769202,NA,NA,NA
220623_Smp_MU11_C,MU11,C,KM1906,Betonicine,2703343,NA,NA,NA
220623_Smp_MU12_A,MU12,A,KM1906,Betonicine,17582312,NA,NA,NA
220623_Smp_MU12_B,MU12,B,KM1906,Betonicine,4551121,NA,NA,NA
220623_Smp_MU12_C,MU12,C,KM1906,Betonicine,14265465,NA,NA,NA
220623_Smp_MU13_A,MU13,A,KM1906,Betonicine,1138083,NA,NA,NA
220623_Smp_MU13_B,MU13,B,KM1906,Betonicine,983907,NA,NA,NA
220623_Smp_MU13_C,MU13,C,KM1906,Betonicine,801844,NA,NA,NA
220623_Smp_MU14_A,MU14,A,KM1906,Betonicine,3105903,NA,NA,NA
220623_Smp_MU14_B,MU14,B,KM1906,Betonicine,2738415,NA,NA,NA
220623_Smp_MU14_C,MU14,C,KM1906,Betonicine,1399349,NA,NA,NA
220623_Smp_MU15_A,MU15,A,KM1906,Betonicine,505013,NA,NA,NA
220623_Smp_MU15_B,MU15,B,KM1906,Betonicine,2790011,NA,NA,NA
220623_Smp_MU15_C,MU15,C,KM1906,Betonicine,1251717,NA,NA,NA
220623_Smp_MU16_A,MU16,A,KM1906,Betonicine,2349487,NA,NA,NA
220623_Smp_MU16_B,MU16,B,KM1906,Betonicine,1391173,NA,NA,NA
220623_Smp_MU16_C,MU16,C,KM1906,Betonicine,1289399,NA,NA,NA
220623_Smp_MU17_A,MU17,A,KM1906,Betonicine,1457754,NA,NA,NA
220623_Smp_MU17_B,MU17,B,KM1906,Betonicine,1661236,NA,NA,NA
220623_Smp_MU2_A,MU2,A,KM1906,Betonicine,1220040,NA,NA,NA
220623_Smp_MU2_B,MU2,B,KM1906,Betonicine,1228116,NA,NA,NA
220623_Smp_MU2_C,MU2,C,KM1906,Betonicine,1730048,NA,NA,NA
220623_Smp_MU3_A,MU3,A,KM1906,Betonicine,1082911,NA,NA,NA
220623_Smp_MU3_B,MU3,B,KM1906,Betonicine,1289157,NA,NA,NA
