Part.Rep,SampID,replicate,Cruise,Diss.Rep
220628_Smp_MU1_A,MU1,A,KM1906,220623_Smp_MU1_A
220628_Smp_MU1_B,MU1,B,KM1906,220623_Smp_MU1_B
220628_Smp_MU1_C,MU1,C,KM1906,220623_Smp_MU1_C
220628_Smp_MU10_A,MU10,A,KM1906,220623_Smp_MU10_A
220628_Smp_MU10_B,MU10,B,KM1906,220623_Smp_MU10_B
220628_Smp_MU10_C,MU10,C,KM1906,220623_Smp_MU10_C
220628_Smp_MU11_A,MU11,A,KM1906,220623_Smp_MU11_A
220628_Smp_MU11_B,MU11,B,KM1906,220623_Smp_MU11_B
220628_Smp_MU11_C,MU11,C,KM1906,220623_Smp_MU11_C
220628_Smp_MU14_A,MU14,A,KM1906,220623_Smp_MU14_A
220628_Smp_MU14_B,MU14,B,KM1906,220623_Smp_MU14_B
220628_Smp_MU14_C,MU14,C,KM1906,220623_Smp_MU14_C
220628_Smp_MU15_A,MU15,A,KM1906,220623_Smp_MU15_A
220628_Smp_MU15_B,MU15,B,KM1906,220623_Smp_MU15_B
220628_Smp_MU15_C,MU15,C,KM1906,220623_Smp_MU15_C
220628_Smp_MU16_A,MU16,A,KM1906,220623_Smp_MU16_A
220628_Smp_MU16_B,MU16,B,KM1906,220623_Smp_MU16_B
220628_Smp_MU16_C,MU16,C,KM1906,220623_Smp_MU16_C
220628_Smp_MU17_A,MU17,A,KM1906,220623_Smp_MU17_A
220628_Smp_MU17_B,MU17,B,KM1906,220623_Smp_MU17_B
220628_Smp_MU17_C,MU17,C,KM1906,NA
220628_Smp_MU18_A,MU18,A,KM1906,NA
220628_Smp_MU18_B,MU18,B,KM1906,NA
220628_Smp_MU18_C,MU18,C,KM1906,NA
220628_Smp_MU19_A,MU19,A,KM1906,NA
220628_Smp_MU19_B,MU19,B,KM1906,NA
220628_Smp_MU19_C,MU19,C,KM1906,NA
220628_Smp_MU2_A,MU2,A,KM1906,220623_Smp_MU2_A
220628_Smp_MU2_B,MU2,B,KM1906,220623_Smp_MU2_B
220628_Smp_MU2_C,MU2,C,KM1906,220623_Smp_MU2_C
220628_Smp_MU20_A,MU20,A,KM1906,NA
220628_Smp_MU20_B,MU20,B,KM1906,NA
220628_Smp_MU20_C,MU20,C,KM1906,NA
220628_Smp_MU21_A,MU21,A,KM1906,NA
220628_Smp_MU21_B,MU21,B,KM1906,NA
220628_Smp_MU21_C,MU21,C,KM1906,NA
220628_Smp_MU22_A,MU22,A,KM1906,NA
220628_Smp_MU22_B,MU22,B,KM1906,NA
220628_Smp_MU22_C,MU22,C,KM1906,NA
220628_Smp_MU23_A,MU23,A,KM1906,NA
220628_Smp_MU23_B,MU23,B,KM1906,NA
220628_Smp_MU23_C,MU23,C,KM1906,NA
220628_Smp_MU24_A,MU24,A,KM1906,NA
220628_Smp_MU24_B,MU24,B,KM1906,NA
220628_Smp_MU24_C,MU24,C,KM1906,NA
220628_Smp_MU3_A,MU3,A,KM1906,220623_Smp_MU3_A
220628_Smp_MU3_B,MU3,B,KM1906,220623_Smp_MU3_B
220628_Smp_MU3_C,MU3,C,KM1906,220623_Smp_MU3_C
220628_Smp_MU4_A,MU4,A,KM1906,220623_Smp_MU4_A
220628_Smp_MU4_B,MU4,B,KM1906,220623_Smp_MU4_B
220628_Smp_MU4_C,MU4,C,KM1906,220623_Smp_MU4_C
220628_Smp_MU5_A,MU5,A,KM1906,220623_Smp_MU5_A
220628_Smp_MU5_B,MU5,B,KM1906,220623_Smp_MU5_B
220628_Smp_MU5_C,MU5,C,KM1906,220623_Smp_MU5_C
220628_Smp_MU6_A,MU6,A,KM1906,220623_Smp_MU6_A
220628_Smp_MU6_B,MU6,B,KM1906,220623_Smp_MU6_B
220628_Smp_MU6_C,MU6,C,KM1906,220623_Smp_MU6_C
220628_Smp_MU7_A,MU7,A,KM1906,220623_Smp_MU7_A
220628_Smp_MU7_B,MU7,B,KM1906,220623_Smp_MU7_B
220628_Smp_MU7_C,MU7,C,KM1906,220623_Smp_MU7_C
220628_Smp_MU8_A,MU8,A,KM1906,220623_Smp_MU8_A
220628_Smp_MU8_B,MU8,B,KM1906,220623_Smp_MU8_B
220628_Smp_MU8_C,MU8,C,KM1906,220623_Smp_MU8_C
220628_Smp_MU9_A,MU9,A,KM1906,220623_Smp_MU9_A
220628_Smp_MU9_B,MU9,B,KM1906,220623_Smp_MU9_B
220628_Smp_MU9_C,MU9,C,KM1906,220623_Smp_MU9_C
220902_Smp_TN397_S1_U_A,S1,A,TN397,220602_Smp_TN397_S1_U_A
220902_Smp_TN397_S1_U_B,S1,B,TN397,220602_Smp_TN397_S1_U_B
220902_Smp_TN397_S1_U_C,S1,C,TN397,220602_Smp_TN397_S1_U_C
220902_Smp_TN397_S2_U_A,S2,A,TN397,220602_Smp_TN397_S2_U_A
220902_Smp_TN397_S2_U_B,S2,B,TN397,220602_Smp_TN397_S2_U_B
220902_Smp_TN397_S2_U_C,S2,C,TN397,220602_Smp_TN397_S2_U_C
220902_Smp_TN397_S3_U_A,S3,A,TN397,220602_Smp_TN397_S3_U_A
