Rep,SampID,replicate,Batch,SizeFrac,Compound,Area,min.area.flag,blk.ratio.flag,smp.remove
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Glycine betaine,5976833536,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Dimethylsulfonioacetate,400646144,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,beta-Alaninebetaine,929795712,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Dimethylsulfoniopropionate,6092083712,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Homarine,371331488,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Trigonelline,389005504,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Proline betaine,173402464,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Betonicine,171291440,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Gonyol,137496304,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Glycine betaine,2963163648,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Dimethylsulfonioacetate,172560048,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,beta-Alaninebetaine,436872544,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Dimethylsulfoniopropionate,1618461568,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Homarine,204781104,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Trigonelline,206641280,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Proline betaine,91007920,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Betonicine,74463592,NA,NA,NA
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Gonyol,83082968,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Glycine betaine,4443326464,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Dimethylsulfonioacetate,194551424,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,beta-Alaninebetaine,710387712,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Dimethylsulfoniopropionate,2136444672,NA,NA,NA
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Homarine,331482944,NA,NA,NA
