Rep,SampID,replicate,Batch,SizeFrac,Compound,min.area.flag,blk.ratio.flag,Adjusted_Area
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Glycine betaine,NA,NA,5976833536
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Dimethylsulfonioacetate,NA,NA,400646144
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,beta-Alaninebetaine,NA,NA,929795712
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Dimethylsulfoniopropionate,NA,NA,6092083712
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Homarine,NA,NA,371331488
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Trigonelline,NA,NA,389005504
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Proline betaine,NA,NA,173402464
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Betonicine,NA,NA,171291440
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Gonyol,NA,NA,225900424.00763437
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Glycine betaine,NA,NA,2963163648
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Dimethylsulfonioacetate,NA,NA,172560048
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,beta-Alaninebetaine,NA,NA,436872544
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Dimethylsulfoniopropionate,NA,NA,1618461568
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Homarine,NA,NA,204781104
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Trigonelline,NA,NA,206641280
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Proline betaine,NA,NA,91007920
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Betonicine,NA,NA,74463592
170706_Smp_S3E15D15_B,S3E15D15,B,G2,full,Gonyol,NA,NA,84794623.90928917
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Glycine betaine,NA,NA,4443326464
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Dimethylsulfonioacetate,NA,NA,194551424
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,beta-Alaninebetaine,NA,NA,710387712
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Dimethylsulfoniopropionate,NA,NA,2136444672
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Homarine,NA,NA,331482944
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Trigonelline,NA,NA,291213984
170706_Smp_S3E15D15_C,S3E15D15,C,G2,full,Proline betaine,NA,NA,138514880
