Rep,Compound,Area,Batch
170706_Std_4uM-StdsInH2O_1,Glycine betaine,3044742912,G2
170706_Std_4uM-StdsInH2O_2,Glycine betaine,3389491712,G2
170706_Std_4uM-StdsInH2O_3,Glycine betaine,3723117312,G2
170706_Std_4uM-StdsInH2O_4,Glycine betaine,2978614016,G2
170706_Std_4uM-StdsInH2O_5,Glycine betaine,3901255936,G2
170706_Std_4uM-StdsInH2O_6,Glycine betaine,3923445760,G2
170706_Std_4uM-StdsInAqMatrix_1,Glycine betaine,13004817408,G2
170706_Std_4uM-StdsInAqMatrix_2,Glycine betaine,11185370112,G2
170706_Std_4uM-StdsInAqMatrix_3,Glycine betaine,11768037376,G2
170706_Std_4uM-StdsInAqMatrix_4,Glycine betaine,8141869056,G2
170706_Std_4uM-StdsInAqMatrix_5,Glycine betaine,7102464000,G2
170706_Blk_Blk0p2_1,Glycine betaine,135508912,G2
170706_Blk_Blk0p2_2,Glycine betaine,21254772,G2
170706_Blk_BlkMQ_1,Glycine betaine,27639478,G2
170706_Blk_BlkMQ_3,Glycine betaine,99343360,G2
170706_Blk_MQBlk_2,Glycine betaine,18643254,G2
170706_Poo_TruePoo_Full1,Glycine betaine,8175322112,G2
170706_Poo_TruePoo_Full2,Glycine betaine,8588360192,G2
170706_Poo_TruePoo_Full3,Glycine betaine,8553222656,G2
170706_Poo_TruePoo_Full4,Glycine betaine,8989130752,G2
170706_Poo_TruePoo_Full5,Glycine betaine,9512054784,G2
170706_Poo_TruePoo_Full6,Glycine betaine,9085723648,G2
170706_Poo_TruePoo_Full7,Glycine betaine,9279706112,G2
170706_Poo_TruePoo_Half1,Glycine betaine,3948019712,G2
170706_Poo_TruePoo_Half2,Glycine betaine,4397179392,G2
170706_Poo_TruePoo_Half3,Glycine betaine,4336582656,G2
170706_Poo_TruePoo_Half4,Glycine betaine,4575654912,G2
170706_Poo_TruePoo_Half5,Glycine betaine,4840426496,G2
170706_Poo_TruePoo_Half6,Glycine betaine,4860781568,G2
170706_Poo_TruePoo_Half7,Glycine betaine,4736174592,G2
