Rep,Batch,Injec_vol
170706_Std_4uM-StdsInH2O_1,G2,2
170706_Std_4uM-StdsInH2O_2,G2,2
170706_Std_4uM-StdsInH2O_3,G2,2
170706_Std_4uM-StdsInH2O_4,G2,2
170706_Std_4uM-StdsInH2O_5,G2,2
170706_Std_4uM-StdsInH2O_6,G2,2
170706_Std_4uM-StdsInAqMatrix_1,G2,2
170706_Std_4uM-StdsInAqMatrix_2,G2,2
170706_Std_4uM-StdsInAqMatrix_3,G2,2
170706_Std_4uM-StdsInAqMatrix_4,G2,2
170706_Std_4uM-StdsInAqMatrix_5,G2,2
170706_Blk_Blk0p2_1,G2,2
170706_Blk_Blk0p2_2,G2,2
170706_Blk_BlkMQ_1,G2,2
170706_Blk_BlkMQ_3,G2,2
170706_Blk_MQBlk_2,G2,2
170706_Poo_TruePoo_Full1,G2,2
170706_Poo_TruePoo_Full2,G2,2
170706_Poo_TruePoo_Full3,G2,2
170706_Poo_TruePoo_Full4,G2,2
170706_Poo_TruePoo_Full5,G2,2
170706_Poo_TruePoo_Full6,G2,2
170706_Poo_TruePoo_Full7,G2,2
170706_Poo_TruePoo_Half1,G2,1
170706_Poo_TruePoo_Half2,G2,1
170706_Poo_TruePoo_Half3,G2,1
170706_Poo_TruePoo_Half4,G2,1
170706_Poo_TruePoo_Half5,G2,1
170706_Poo_TruePoo_Half6,G2,1
170706_Poo_TruePoo_Half7,G2,1
170706_Smp_S3E15D15_A,G2,2
170706_Smp_S3E15D15_B,G2,2
170706_Smp_S3E15D15_C,G2,2
170706_Smp_S3E15E15_Ds,G2,2
170706_Smp_S4E16D15_A,G2,2
170706_Smp_S4E16D15_B,G2,2
170706_Smp_S4E16D15_C,G2,2
170706_Smp_S4E16D15_Ds,G2,2
170706_Smp_S5E28D15_A,G2,2
170706_Smp_S5E28D15_B,G2,2
170706_Smp_S5E28D15_C,G2,2
170706_Smp_S5E28D15_Ds,G2,2
170706_Smp_S6E37D15_A,G2,2
170706_Smp_S6E37D15_B,G2,2
170706_Smp_S6E37D15_C,G2,2
170706_Smp_S6E37D15_Ds,G2,2
