Rep,Compound,Area,Cruise,EE,IS,mean.IS.rf,sd.IS.rf,nmol.conc,EE.adjust.conc
220602_Smp_KM1906_GBT_F2_T0_A,beta-Alaninebetaine,33920880,TN397,NA,NA,NA,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_B,beta-Alaninebetaine,18264806,TN397,NA,NA,NA,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_C,beta-Alaninebetaine,15049728,TN397,NA,NA,NA,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_A,Betonicine,4364757,TN397,NA,NA,NA,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_B,Betonicine,2400895,TN397,NA,NA,NA,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_C,Betonicine,1664277,TN397,NA,NA,NA,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_A,Dimethylsulfonioacetate,85884344,TN397,NA,NA,NA,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_B,Dimethylsulfonioacetate,59588628,TN397,NA,NA,NA,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_C,Dimethylsulfonioacetate,48383644,TN397,NA,NA,NA,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_A,Dimethylsulfoniopropionate,246874512,TN397,NA,NA,NA,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_B,Dimethylsulfoniopropionate,194005824,TN397,NA,NA,NA,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_C,Dimethylsulfoniopropionate,200149520,TN397,NA,NA,NA,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_A,Glycine betaine,587137536,TN397,100,"Glycine betaine, 13C5, 15N",275842519.3758865,49070274.859898604,21.285244106979615,21.285244106979615
220602_Smp_KM1906_GBT_F2_T0_B,Glycine betaine,358100256,TN397,100,"Glycine betaine, 13C5, 15N",275842519.3758865,49070274.859898604,12.982054282647487,12.982054282647487
220602_Smp_KM1906_GBT_F2_T0_C,Glycine betaine,277151808,TN397,100,"Glycine betaine, 13C5, 15N",275842519.3758865,49070274.859898604,10.047465076344134,10.047465076344134
220602_Smp_KM1906_GBT_F2_T0_A,Gonyol,2612464,TN397,NA,NA,NA,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_B,Gonyol,1422197,TN397,NA,NA,NA,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_C,Gonyol,1529641,TN397,NA,NA,NA,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_A,Homarine,239207200,TN397,50,"Homarine, 2H3",516382423.6028369,107121942.79196905,4.632365260053477,9.264730520106953
220602_Smp_KM1906_GBT_F2_T0_B,Homarine,114266744,TN397,50,"Homarine, 2H3",516382423.6028369,107121942.79196905,2.2128317846830026,4.425663569366005
220602_Smp_KM1906_GBT_F2_T0_C,Homarine,100024104,TN397,50,"Homarine, 2H3",516382423.6028369,107121942.79196905,1.937016045242685,3.87403209048537
220602_Smp_KM1906_GBT_F2_T0_A,Proline betaine,6460640,TN397,NA,NA,NA,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_B,Proline betaine,3236282,TN397,NA,NA,NA,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_C,Proline betaine,2034588,TN397,NA,NA,NA,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_A,Trigonelline,29401406,TN397,NA,NA,NA,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_B,Trigonelline,15211907,TN397,NA,NA,NA,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_C,Trigonelline,12071318,TN397,NA,NA,NA,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_A,Trimethylamine N-oxide,67964432,TN397,NA,NA,NA,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_B,Trimethylamine N-oxide,47251484,TN397,NA,NA,NA,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_C,Trimethylamine N-oxide,23507674,TN397,NA,NA,NA,NA,NA,NA
