Exp,Treatment,Samp_ID,Vol_Filt_L,Spike_time,Filt_time_start,Filt_time_end,Local_Date,Cruise
UCH1,Glucose,TN397_UCH1_Gluc_A,2,2021-11-23T14:44:00Z,2021-11-23T15:15:00Z,2021-11-23T15:30:00Z,23/11/21,TN397
UCH1,Glucose,TN397_UCH1_Gluc_B,2,2021-11-23T14:44:00Z,2021-11-23T15:15:00Z,2021-11-23T15:35:00Z,23/11/21,TN397
UCH1,Glucose,TN397_UCH1_Gluc_C,2,2021-11-23T14:44:00Z,2021-11-23T15:15:00Z,2021-11-23T15:30:00Z,23/11/21,TN397
UCH1,Homarine,TN397_UCH1_Hom_A,2,2021-11-23T14:42:00Z,2021-11-23T15:13:00Z,2021-11-23T15:21:00Z,23/11/21,TN397
UCH1,Homarine,TN397_UCH1_Hom_B,2,2021-11-23T14:42:00Z,2021-11-23T15:13:00Z,2021-11-23T15:23:00Z,23/11/21,TN397
UCH1,Homarine,TN397_UCH1_Hom_C,2,2021-11-23T14:42:00Z,2021-11-23T15:13:00Z,2021-11-23T15:20:00Z,23/11/21,TN397
UCH1,DMSP,TN397_UCH1_DMSP_A,2,2021-11-23T15:20:00Z,2021-11-23T15:50:00Z,2021-11-23T16:02:00Z,23/11/21,TN397
UCH1,DMSP,TN397_UCH1_DMSP_B,2,2021-11-23T15:20:00Z,2021-11-23T15:50:00Z,2021-11-23T15:59:00Z,23/11/21,TN397
UCH1,DMSP,TN397_UCH1_DMSP_C,2,2021-11-23T15:20:00Z,2021-11-23T15:50:00Z,2021-11-23T16:02:00Z,23/11/21,TN397
UCH1,Trigonelline,TN397_UCH1_Trig_A,2,2021-11-23T16:00:00Z,2021-11-23T16:32:00Z,2021-11-23T16:42:00Z,23/11/21,TN397
UCH1,Trigonelline,TN397_UCH1_Trig_B,2,2021-11-23T16:00:00Z,2021-11-23T16:32:00Z,2021-11-23T16:40:00Z,23/11/21,TN397
UCH1,Trigonelline,TN397_UCH1_Trig_C,2,2021-11-23T16:00:00Z,2021-11-23T16:32:00Z,2021-11-23T16:42:00Z,23/11/21,TN397
UCH1,TMAO,TN397_UCH1_TMAO_A,2,2021-11-23T15:43:00Z,2021-11-23T16:03:00Z,2021-11-23T16:16:00Z,23/11/21,TN397
UCH1,TMAO,TN397_UCH1_TMAO_B,2,2021-11-23T15:43:00Z,2021-11-23T16:04:00Z,2021-11-23T16:21:00Z,23/11/21,TN397
UCH1,TMAO,TN397_UCH1_TMAO_C,2,2021-11-23T15:43:00Z,2021-11-23T16:04:00Z,2021-11-23T16:17:00Z,23/11/21,TN397
UCH1,GBT,TN397_UCH1_GBT_A,2,2021-11-23T16:14:00Z,2021-11-23T16:45:00Z,2021-11-23T16:59:00Z,23/11/21,TN397
UCH1,GBT,TN397_UCH1_GBT_B,2,2021-11-23T16:14:00Z,2021-11-23T16:46:00Z,2021-11-23T17:04:00Z,23/11/21,TN397
UCH1,GBT,TN397_UCH1_GBT_C,2,2021-11-23T16:14:00Z,2021-11-23T16:47:00Z,2021-11-23T16:58:00Z,23/11/21,TN397
UKH1,0nM,TN397_UKH1_0nM_A,2,2021-11-26T12:53:00Z,2021-11-26T13:26:00Z,2021-11-26T13:34:00Z,26/11/2021,TN397
UKH1,0nM,TN397_UKH1_0nM_B,2,2021-11-26T12:53:00Z,2021-11-26T13:26:00Z,2021-11-26T13:34:00Z,26/11/2021,TN397
UKH1,0nM,TN397_UKH1_0nM_C,2,2021-11-26T12:53:00Z,2021-11-26T13:45:00Z,2021-11-26T13:50:00Z,26/11/2021,TN397
UKH1,2nM,TN397_UKH1_2nM_A,2,2021-11-26T12:53:00Z,2021-11-26T13:26:00Z,2021-11-26T13:37:00Z,26/11/2021,TN397
UKH1,2nM,TN397_UKH1_2nM_B,2,2021-11-26T12:53:00Z,2021-11-26T13:26:00Z,2021-11-26T13:37:00Z,26/11/2021,TN397
UKH1,2nM,TN397_UKH1_2nM_C,2,2021-11-26T12:53:00Z,2021-11-26T13:26:00Z,2021-11-26T13:37:00Z,26/11/2021,TN397
UKH1,5nM,TN397_UKH1_5nM_A,2,2021-11-26T13:33:00Z,2021-11-26T14:05:00Z,2021-11-26T14:10:00Z,26/11/2021,TN397
