Name,Cruise,RFmax,RFmin,RF,RFratio
Betonicine,KM1906,487911232,427922272,457916752,0.9445214560537694
Betonicine,RC078,567212672,400278720,483745696,0.9155365456620682
Betonicine,TN397,1888957952,1462562304,1675760128,0.7628624172657431
Dimethylsulfonioacetate,KM1906,203234400,187062464,195148432,0.8593280483407248
Dimethylsulfonioacetate,RC078,223226624,161272336,192249480,0.8442693076282192
Dimethylsulfonioacetate,TN397,708028032,591867648,649947840,0.7155791440393627
Dimethylsulfoniopropionate,KM1906,324630656,301683328,313156992,0.6984747502001194
Dimethylsulfoniopropionate,RC078,293105472,190100176,241602824,0.8043399686915471
Dimethylsulfoniopropionate,TN397,883886656,700091840,791989248,0.5402923633842152
Glycine betaine,KM1906,574366080,474395136,524380608,0.942834855135249
Glycine betaine,RC078,590455360,466133056,528294208,0.9607300379831188
Glycine betaine,TN397,2267021568,1615036544,1941029056,0.8926501935646569
Gonyol,KM1906,21764196,19612148,20688172,0.5321814070242185
Gonyol,RC078,22587012,15571459,19079235.5,1.8089805441441715
Gonyol,TN397,80380016,56552688,68466352,0.8725359562923445
Homarine,KM1906,26489134,25453696,25971415,-0.9958593994058834
Homarine,RC078,21397248,15096261,18246754.5,1.5522649434958709
Homarine,TN397,85008920,59588848,72298884,0.1202189261949993
Proline betaine,KM1906,735319808,619752832,677536320,1.0206433968815054
Proline betaine,RC078,728920576,552679488,640800032,1.0708460392512775
Proline betaine,TN397,2931275264,1975225472,2453250368,1.0856080738364104
Trigonelline,KM1906,555433152,471231872,513332512,0.9952494563594279
Trigonelline,RC078,598746944,439424000,519085472,1.034083930041819
Trigonelline,TN397,1950772352,1441216512,1695994432,0.9178842065702146
Trimethylamine N-oxide,KM1906,145015040,125942232,135478636,0.914267161809508
Trimethylamine N-oxide,RC078,124373912,102377680,113375796,0.9297632018815684
Trimethylamine N-oxide,TN397,511999136,392413664,452206400,0.9952074270873017
beta-Alaninebetaine,KM1906,285726656,260868640,273297648,0.767887822725698
beta-Alaninebetaine,RC078,289194528,191910464,240552496,0.8848962028274249
beta-Alaninebetaine,TN397,937471680,721656512,829564096,0.6413450699666235
