Rep,SampID,replicate,Cruise,Compound,Area,min.area.flag,blk.ratio.flag
220628_Smp_MU1_A,MU1,A,KM1906,beta-Alaninebetaine,510779680,NA,NA
220628_Smp_MU1_B,MU1,B,KM1906,beta-Alaninebetaine,625434560,NA,NA
220628_Smp_MU1_C,MU1,C,KM1906,beta-Alaninebetaine,611753664,NA,NA
220628_Smp_MU10_A,MU10,A,KM1906,beta-Alaninebetaine,482825888,NA,NA
220628_Smp_MU10_B,MU10,B,KM1906,beta-Alaninebetaine,462783168,NA,NA
220628_Smp_MU10_C,MU10,C,KM1906,beta-Alaninebetaine,304993600,NA,NA
220628_Smp_MU11_A,MU11,A,KM1906,beta-Alaninebetaine,1930823680,NA,NA
220628_Smp_MU11_B,MU11,B,KM1906,beta-Alaninebetaine,1779971712,NA,NA
220628_Smp_MU11_C,MU11,C,KM1906,beta-Alaninebetaine,1436588800,NA,NA
220628_Smp_MU14_A,MU14,A,KM1906,beta-Alaninebetaine,997013440,NA,NA
220628_Smp_MU14_B,MU14,B,KM1906,beta-Alaninebetaine,1291204864,NA,NA
220628_Smp_MU14_C,MU14,C,KM1906,beta-Alaninebetaine,1212083456,NA,NA
220628_Smp_MU15_A,MU15,A,KM1906,beta-Alaninebetaine,819118208,NA,NA
220628_Smp_MU15_B,MU15,B,KM1906,beta-Alaninebetaine,1277423232,NA,NA
220628_Smp_MU15_C,MU15,C,KM1906,beta-Alaninebetaine,928741696,NA,NA
220628_Smp_MU16_A,MU16,A,KM1906,beta-Alaninebetaine,815882624,NA,NA
220628_Smp_MU16_B,MU16,B,KM1906,beta-Alaninebetaine,1365605248,NA,NA
220628_Smp_MU16_C,MU16,C,KM1906,beta-Alaninebetaine,1091357696,NA,NA
220628_Smp_MU17_A,MU17,A,KM1906,beta-Alaninebetaine,987841536,NA,NA
220628_Smp_MU17_B,MU17,B,KM1906,beta-Alaninebetaine,1211741824,NA,NA
220628_Smp_MU17_C,MU17,C,KM1906,beta-Alaninebetaine,1468897664,NA,NA
220628_Smp_MU18_A,MU18,A,KM1906,beta-Alaninebetaine,852872320,NA,NA
220628_Smp_MU18_B,MU18,B,KM1906,beta-Alaninebetaine,1362367360,NA,NA
220628_Smp_MU18_C,MU18,C,KM1906,beta-Alaninebetaine,1181657728,NA,NA
220628_Smp_MU19_A,MU19,A,KM1906,beta-Alaninebetaine,2170702848,NA,NA
220628_Smp_MU19_B,MU19,B,KM1906,beta-Alaninebetaine,2134324736,NA,NA
220628_Smp_MU19_C,MU19,C,KM1906,beta-Alaninebetaine,1748966272,NA,NA
220628_Smp_MU2_A,MU2,A,KM1906,beta-Alaninebetaine,372971200,NA,NA
220628_Smp_MU2_B,MU2,B,KM1906,beta-Alaninebetaine,498939840,NA,NA
220628_Smp_MU2_C,MU2,C,KM1906,beta-Alaninebetaine,533310496,NA,NA
220628_Smp_MU20_A,MU20,A,KM1906,beta-Alaninebetaine,920438272,NA,NA
220628_Smp_MU20_B,MU20,B,KM1906,beta-Alaninebetaine,1490182400,NA,NA
220628_Smp_MU20_C,MU20,C,KM1906,beta-Alaninebetaine,1259209216,NA,NA
220628_Smp_MU21_A,MU21,A,KM1906,beta-Alaninebetaine,484456864,NA,NA
220628_Smp_MU21_B,MU21,B,KM1906,beta-Alaninebetaine,762918400,NA,NA
220628_Smp_MU21_C,MU21,C,KM1906,beta-Alaninebetaine,507410304,NA,NA
220628_Smp_MU22_A,MU22,A,KM1906,beta-Alaninebetaine,362291456,NA,NA
220628_Smp_MU22_B,MU22,B,KM1906,beta-Alaninebetaine,485810048,NA,NA
220628_Smp_MU22_C,MU22,C,KM1906,beta-Alaninebetaine,479704320,NA,NA
220628_Smp_MU23_A,MU23,A,KM1906,beta-Alaninebetaine,393878528,NA,NA
220628_Smp_MU23_B,MU23,B,KM1906,beta-Alaninebetaine,428086720,NA,NA
220628_Smp_MU23_C,MU23,C,KM1906,beta-Alaninebetaine,493879520,NA,NA
220628_Smp_MU24_A,MU24,A,KM1906,beta-Alaninebetaine,366533312,NA,NA
220628_Smp_MU24_B,MU24,B,KM1906,beta-Alaninebetaine,447118368,NA,NA
220628_Smp_MU24_C,MU24,C,KM1906,beta-Alaninebetaine,417623616,NA,NA
220628_Smp_MU3_A,MU3,A,KM1906,beta-Alaninebetaine,391983872,NA,NA
220628_Smp_MU3_B,MU3,B,KM1906,beta-Alaninebetaine,635735552,NA,NA
220628_Smp_MU3_C,MU3,C,KM1906,beta-Alaninebetaine,497811488,NA,NA
220628_Smp_MU4_A,MU4,A,KM1906,beta-Alaninebetaine,487118304,NA,NA
