Name,Region,mean.perc.diss,sd.perc.diss,max.perc.diss,min.perc.diss,median.perc.diss,mean.nM.part,sd.nM.part,max.nM.part,min.nM.part,median.nM.part,mean.nM.diss,sd.nM.diss,max.nM.diss,min.nM.diss,median.nM.diss
Betonicine,California_Current,0.7918577008991352,0.07870358244343552,0.971171707886576,0.6400942432370758,0.8083275086930245,0.01689323685183239,0.00875476879849829,0.03350371090161085,0.00217395046305046,0.015300961458023005,0.06956274715529802,0.043032563115754284,0.17215664204898756,0.02793910234523174,0.060310970897853054
Betonicine,Equator,0.8197318796232532,0.04005675270770795,0.8835225311240782,0.6440304980573147,0.8219268578651175,0.011700896769421472,0.0034350669631752163,0.02220508407506245,0.00652931661986607,0.011075611336003231,0.05568048712103936,0.020107011992221334,0.10777971170034244,0.01714510287090285,0.0542781787655293
Betonicine,Gyre,0.8008174964503687,0.058649793935447,0.9290918267849787,0.6957349084889226,0.80534230933023,0.010485761886913423,0.0027822313493004185,0.01651155338896482,0.00558954983191173,0.01040852664991931,0.045050863901308566,0.01687117185131787,0.1028213701258556,0.0203545602214027,0.03978658590152496
Betonicine,NPTZ,0.8038032269154571,0.11082350888525629,0.9760756371000527,0.5582617393614026,0.8253861986970586,0.012267190864217238,0.010200750843230164,0.04573386785661546,0.00206915172677745,0.01011496652996165,0.05111668574651663,0.02130112563679627,0.0844180720053959,0.01331253977008603,0.04629738307103516
Glycine betaine,California_Current,0.9163343708353768,0.02995747081483908,0.9832733516853243,0.8585185578650325,0.9189326256763164,0.6097465500060384,0.4053045570766457,1.7604657074317878,0.14763819445599083,0.5612462706085644,6.68287824161234,3.2503631424979655,12.598298198021388,3.0223479785527423,5.389338984429964
Glycine betaine,Equator,0.917666178832125,0.020902951166311995,0.9726425967405323,0.8656491680805486,0.9213524866653008,0.6925259540820585,0.2588445139989957,1.3751537174226085,0.19076964300834243,0.6830193348472076,8.32346525177547,4.296225581245775,26.606239231771628,2.1147628547282173,8.02639684267252
Glycine betaine,Gyre,0.9313105964647818,0.02249302052864581,0.9858241122273078,0.9046525022478593,0.9249191730425612,0.3402902082068529,0.07249636443892234,0.4964707165277587,0.23570237982021625,0.323590880671353,5.723202339252489,4.116749200214267,18.333007045879647,2.8217732024514093,4.393706978899299
Homarine,California_Current,0.7386620372181327,0.12079131554879013,0.9696180357606248,0.5454431481545668,0.7456776673193644,0.3719707286039612,0.5266898538399788,1.897100398788041,0.00677943693443079,0.1502200120744616,0.7346868387014992,0.8217128832116956,2.992563180827406,0.04746741481092861,0.47068871574634075
Homarine,Equator,0.6488064152097003,0.11671306877273696,0.8757820396190847,0.38096945387170883,0.6431047588494809,0.20725616566576704,0.0856346434801425,0.4206272328682514,0.0194576901903731,0.19988739658904664,0.4439796770266082,0.33365853250112915,1.3799864026821402,0.1045521708385967,0.32137117621330824
Homarine,Gyre,0.8768191877321172,0.07995610462204925,0.9921395609075981,0.6557423517674154,0.8923617705064776,0.02825770395822806,0.0258480221223081,0.12025240596912488,0.00634675408144203,0.01607983921430957,0.30617307485592293,0.40875553120978647,1.9858622931846064,0.0404610771825751,0.136358629893218
Homarine,NPTZ,0.8744340810272687,0.06313574417913445,0.967932543119056,0.7369358572582354,0.8801115474633652,0.3074741685090762,0.10041012153906408,0.4689860117425363,0.1559335652945129,0.30026092384752007,2.5618591791029144,1.2309333453106117,5.745108258482018,0.9158692116330132,2.304983160574195
Proline betaine,California_Current,0.7768230615964947,0.0790448815117971,0.9414100592516889,0.642512899889542,0.7757503628812856,0.014198694108312118,0.006519184551650371,0.02844918570448817,0.00152859112295632,0.014239909972624035,0.05838894886001976,0.04755610198481841,0.2294678401225935,0.01458091689665431,0.04861813119748214
Proline betaine,Equator,0.7095299829436787,0.1304479893225658,0.8527260750306761,0.03759636830867402,0.7305489546921717,0.01039111526144807,0.0021204065396557845,0.01601080076406911,0.00612756480694732,0.0103804559882298,0.029652350197192996,0.01346750825230628,0.07135070917798027,4.597779385186942e-4,0.027510242432303184
Proline betaine,Gyre,0.777342834499909,0.12075686638206276,0.9620349475957146,0.44241627166423614,0.8168477618665538,0.007868306277769497,0.0032601398769246726,0.01352992534666106,0.00295289383747909,0.00865495582139059,0.03279217936787487,0.022574870596451163,0.1412837351632061,0.00890859487216707,0.02834666192675949
Proline betaine,NPTZ,0.9061129152173006,0.05464117133310675,0.988246846443853,0.7492070823571798,0.9173580808386448,0.006369355483073652,0.004482123811860821,0.01928531093872102,0.00156668750741549,0.00538582600340411,0.06569599138176635,0.024428118661018274,0.13173264359815767,0.0306192369322989,0.06300801636465928
Trigonelline,California_Current,0.8521554838597223,0.0510578822006132,0.9455560733744792,0.7535193925837966,0.8624046749828493,0.057380688840743085,0.031420571676484925,0.14030101361437766,0.01556725168134613,0.05776607183993593,0.3727225419747666,0.23190877353570397,0.9542452775171094,0.090979912416223,0.3344476386218812
Trigonelline,Equator,0.8817620603879687,0.08162288345687724,0.9611679556026899,0.4063184835056212,0.9007099014934281,0.018865611872241516,0.0033620734519990494,0.02757120255982097,0.01286769648627541,0.01898744685873345,0.17939899464162837,0.08560173599971468,0.4007223962028576,0.0123872015582917,0.16180071745547955
Trigonelline,Gyre,0.8598401273581618,0.07725664917118438,0.9868914656777789,0.6098351972750023,0.867093371996838,0.019939752699448653,0.006069093877212148,0.03178732658337954,0.00981471253748036,0.01947742024728553,0.17969914093110428,0.1885081804416148,1.0909421697783743,0.03584956055473003,0.13034845470672987
Trigonelline,NPTZ,0.9100464813163152,0.045207646492751684,0.9868610556437291,0.8303854923714244,0.9081171588636971,0.04944165614616462,0.02060106602003899,0.09521773312770844,0.01910766915230427,0.04934918875973389,0.6656568460946795,0.459573813555672,2.0735577663995173,0.201321841132644,0.5985261363600619
beta-Alaninebetaine,California_Current,0.6895234684208787,0.09059966224868293,0.8147974410244359,0.5054972330487744,0.6864357133591668,0.26433677657449484,0.2961747781364622,1.4667333678145065,0.04865299148222941,0.19333764261745207,0.5378949908576612,0.41980195128938,1.5418338905020268,0.18677755700927037,0.341867569466634
beta-Alaninebetaine,Equator,0.8098318219107533,0.0686025278978704,0.9196779831891877,0.6485239597605176,0.8149910559453952,0.393980318825367,0.11816501529660711,0.6952521625034589,0.14826249732425748,0.3931709090397265,1.9329940137264452,0.8825866712970288,3.8237338216312313,0.3740130027686788,1.9941866464497913
beta-Alaninebetaine,Gyre,0.6598860893910173,0.1430864454809277,0.8977447115371562,0.15744586831514,0.6903080488073848,0.14550817761127802,0.06960707351058153,0.2976166531820041,0.05614449304806832,0.11805475113959564,0.3758100293808348,0.2873916738325222,1.1067154982578191,0.01474808970998632,0.2782437918653462
beta-Alaninebetaine,NPTZ,0.7384386934465126,0.13272072808544,0.966632381466637,0.4923909947254647,0.7142733198688049,0.194083288241122,0.08210917469868953,0.368017891746759,0.05813223798262837,0.18915816893507953,0.7736491890313552,0.5749164848219004,2.4132781470484046,0.15144456075906937,0.5930830860003311
