Rep,Compound,Area,Batch
220111_Std_4uMStdsMix1InH2O_1,beta-Alaninebetaine,670893,Bacteria
220111_Std_4uMStdsMix1InH2O_2,beta-Alaninebetaine,67857,Bacteria
220111_Std_4uMStdsMix1InMatrix_1,beta-Alaninebetaine,8734554,Bacteria
220111_Std_4uMStdsMix1InMatrix_2,beta-Alaninebetaine,4893809,Bacteria
220111_Std_4uMStdsMix2InH2O_1,beta-Alaninebetaine,884889408,Bacteria
220111_Std_4uMStdsMix2InH2O_2,beta-Alaninebetaine,1197277568,Bacteria
220111_Std_4uMStdsMix2InMatrix_1,beta-Alaninebetaine,708194304,Bacteria
220111_Std_4uMStdsMix2InMatrix_2,beta-Alaninebetaine,869179968,Bacteria
220111_Std_H2OinMatrix_1,beta-Alaninebetaine,7390780,Bacteria
220111_Std_H2OinMatrix_2,beta-Alaninebetaine,5096411,Bacteria
220111_Blk_MediaBlk_A_pos,beta-Alaninebetaine,162721,Bacteria
220111_Blk_MediaBlk_AMS_pos,beta-Alaninebetaine,84041,Bacteria
220111_Blk_MediaBlk_AOA_pos,beta-Alaninebetaine,60884,Bacteria
220111_Blk_MediaBlk_B_pos,beta-Alaninebetaine,392979,Bacteria
220111_Poo_TruePooBacteria_Full1,beta-Alaninebetaine,16052326,Bacteria
220111_Poo_TruePooBacteria_Full2,beta-Alaninebetaine,10111859,Bacteria
220111_Poo_TruePooBacteria_Full3,beta-Alaninebetaine,8579682,Bacteria
220111_Poo_TruePooBacteria_Half1,beta-Alaninebetaine,6962788,Bacteria
220111_Poo_TruePooBacteria_Half2,beta-Alaninebetaine,1204086,Bacteria
220111_Poo_TruePooBacteria_Half3,beta-Alaninebetaine,5770167,Bacteria
220111_Smp_DSS3_A_pos,beta-Alaninebetaine,704827,Bacteria
220111_Smp_DSS3_B_pos,beta-Alaninebetaine,201373,Bacteria
220111_Smp_DSS3_C_pos,beta-Alaninebetaine,22543,Bacteria
220111_Smp_Och_A_pos,beta-Alaninebetaine,406805,Bacteria
220111_Smp_Och_B_pos,beta-Alaninebetaine,322730,Bacteria
220111_Smp_Och_C_pos,beta-Alaninebetaine,732367,Bacteria
220111_Smp_SA7_A_pos,beta-Alaninebetaine,157505,Bacteria
220111_Smp_SA7_B_pos,beta-Alaninebetaine,338087,Bacteria
220111_Smp_SA7_C_pos,beta-Alaninebetaine,589392,Bacteria
220111_Smp_SA11_A_pos,beta-Alaninebetaine,49546208,Bacteria
220111_Smp_SA11_B_pos,beta-Alaninebetaine,62852056,Bacteria
220111_Smp_SA11_C_pos,beta-Alaninebetaine,54846476,Bacteria
220111_Smp_SA16_A_pos,beta-Alaninebetaine,61411708,Bacteria
220111_Smp_SA16_B_pos,beta-Alaninebetaine,64696944,Bacteria
220111_Smp_SA16_C_pos,beta-Alaninebetaine,62978200,Bacteria
220111_Smp_SA36_A_pos,beta-Alaninebetaine,363307,Bacteria
220111_Smp_SA36_B_pos,beta-Alaninebetaine,853696,Bacteria
220111_Smp_SA36_C_pos,beta-Alaninebetaine,171977,Bacteria
220111_Smp_SA42_A_pos,beta-Alaninebetaine,49118,Bacteria
220111_Smp_SA44_B_pos,beta-Alaninebetaine,2144493,Bacteria
220111_Smp_SA44_C_pos,beta-Alaninebetaine,1416174,Bacteria
220111_Smp_SA48_A_pos,beta-Alaninebetaine,155795,Bacteria
220111_Smp_SA48_B_pos,beta-Alaninebetaine,7615039,Bacteria
220111_Smp_SA48_C_pos,beta-Alaninebetaine,14552081,Bacteria
220111_Smp_SA53_A_pos,beta-Alaninebetaine,20850154,Bacteria
220111_Smp_SA53_B_pos,beta-Alaninebetaine,25834806,Bacteria
220111_Smp_SA53_C_pos,beta-Alaninebetaine,26119642,Bacteria
220111_Smp_SA55_A_pos,beta-Alaninebetaine,0,Bacteria
220111_Smp_SA55_B_pos,beta-Alaninebetaine,0,Bacteria
220111_Smp_SA55_C_pos,beta-Alaninebetaine,0,Bacteria
220111_Smp_SA59_A_pos,beta-Alaninebetaine,4010718,Bacteria
220111_Smp_SA59_B_pos,beta-Alaninebetaine,2668013,Bacteria
220111_Smp_SA59_C_pos,beta-Alaninebetaine,2713063,Bacteria
220111_Smp_SA60_A_pos,beta-Alaninebetaine,814843,Bacteria
220111_Smp_SA60_B_pos,beta-Alaninebetaine,200761,Bacteria
220111_Smp_SAR11_AB_pos,beta-Alaninebetaine,157264,Bacteria
220111_Smp_SAR11_C_pos,beta-Alaninebetaine,127444,Bacteria
