Rep,Batch,Injec_vol
220111_Std_4uMStdsMix1InH2O_1,Bacteria,2
220111_Std_4uMStdsMix1InH2O_2,Bacteria,2
220111_Std_4uMStdsMix1InMatrix_1,Bacteria,2
220111_Std_4uMStdsMix1InMatrix_2,Bacteria,2
220111_Std_4uMStdsMix2InH2O_1,Bacteria,2
220111_Std_4uMStdsMix2InH2O_2,Bacteria,2
220111_Std_4uMStdsMix2InMatrix_1,Bacteria,2
220111_Std_4uMStdsMix2InMatrix_2,Bacteria,2
220111_Std_H2OinMatrix_1,Bacteria,2
220111_Std_H2OinMatrix_2,Bacteria,2
220111_Blk_MediaBlk_A_pos,Bacteria,2
220111_Blk_MediaBlk_AMS_pos,Bacteria,2
220111_Blk_MediaBlk_AOA_pos,Bacteria,2
220111_Blk_MediaBlk_B_pos,Bacteria,2
220111_Poo_TruePooBacteria_Full1,Bacteria,2
220111_Poo_TruePooBacteria_Full2,Bacteria,2
220111_Poo_TruePooBacteria_Full3,Bacteria,2
220111_Poo_TruePooBacteria_Half1,Bacteria,1
220111_Poo_TruePooBacteria_Half2,Bacteria,1
220111_Poo_TruePooBacteria_Half3,Bacteria,1
220111_Smp_DSS3_A_pos,Bacteria,2
220111_Smp_DSS3_B_pos,Bacteria,2
220111_Smp_DSS3_C_pos,Bacteria,2
220111_Smp_Och_A_pos,Bacteria,2
220111_Smp_Och_B_pos,Bacteria,2
220111_Smp_Och_C_pos,Bacteria,2
220111_Smp_SA7_A_pos,Bacteria,2
220111_Smp_SA7_B_pos,Bacteria,2
220111_Smp_SA7_C_pos,Bacteria,2
220111_Smp_SA11_A_pos,Bacteria,2
220111_Smp_SA11_B_pos,Bacteria,2
220111_Smp_SA11_C_pos,Bacteria,2
220111_Smp_SA16_A_pos,Bacteria,2
220111_Smp_SA16_B_pos,Bacteria,2
220111_Smp_SA16_C_pos,Bacteria,2
220111_Smp_SA36_A_pos,Bacteria,2
220111_Smp_SA36_B_pos,Bacteria,2
220111_Smp_SA36_C_pos,Bacteria,2
220111_Smp_SA42_A_pos,Bacteria,2
220111_Smp_SA44_B_pos,Bacteria,2
220111_Smp_SA44_C_pos,Bacteria,2
220111_Smp_SA48_A_pos,Bacteria,2
220111_Smp_SA48_B_pos,Bacteria,2
220111_Smp_SA48_C_pos,Bacteria,2
220111_Smp_SA53_A_pos,Bacteria,2
220111_Smp_SA53_B_pos,Bacteria,2
220111_Smp_SA53_C_pos,Bacteria,2
220111_Smp_SA55_A_pos,Bacteria,2
220111_Smp_SA55_B_pos,Bacteria,2
220111_Smp_SA55_C_pos,Bacteria,2
220111_Smp_SA59_A_pos,Bacteria,2
220111_Smp_SA59_B_pos,Bacteria,2
220111_Smp_SA59_C_pos,Bacteria,2
220111_Smp_SA60_A_pos,Bacteria,2
220111_Smp_SA60_B_pos,Bacteria,2
220111_Smp_SAR11_AB_pos,Bacteria,2
220111_Smp_SAR11_C_pos,Bacteria,2
220111_Smp_SAR11_DE_pos,Bacteria,2
220111_Smp_SAR11_F_pos,Bacteria,2
220111_Smp_SAR11_GH_pos,Bacteria,2
220111_Smp_SAR11_I_pos,Bacteria,2
220111_Smp_SCM1_Exp1_pos,Bacteria,2
220111_Smp_SCM1_Exp2_pos,Bacteria,2
220111_Smp_SCM1_Exp3_pos,Bacteria,2
220111_Smp_SCM1_St1_pos,Bacteria,2
220111_Smp_SCM1_St2_pos,Bacteria,2
220111_Smp_SCM1_St3_pos,Bacteria,2
220111_Smp_SCM1_St4_pos,Bacteria,2
211221_Std_4uMStdsMix1InH2O_1,Cyano,2
211221_Std_4uMStdsMix1InH2O_2,Cyano,2
211221_Std_4uMStdsMix1InMatrix_1,Cyano,2
211221_Std_4uMStdsMix1InMatrix_2,Cyano,2
211221_Std_4uMStdsMix2InH2O_1,Cyano,2
211221_Std_4uMStdsMix2InH2O_2,Cyano,2
211221_Std_4uMStdsMix2InMatrix_1,Cyano,2
211221_Std_4uMStdsMix2InMatrix_2,Cyano,2
211221_Std_H2OinMatrix_1,Cyano,2
211221_Std_H2OinMatrix_2,Cyano,2
211102_Poo_TruePooCyanos_Full1,Cyano,2
211102_Poo_TruePooCyanos_Full2,Cyano,2
211102_Poo_TruePooCyanos_Full3,Cyano,2
211102_Poo_TruePooCyanos_Half1,Cyano,1
211102_Poo_TruePooCyanos_Half2,Cyano,1
211102_Poo_TruePooCyanos_Half3,Cyano,1
211221_Blk_MediaBlk_1314P_pos,Cyano,2
211221_Blk_MediaBlk_A_pos,Cyano,2
211221_Blk_MediaBlk_As9601_pos,Cyano,2
211221_Blk_MediaBlk_C_pos,Cyano,2
211221_Blk_MediaBlk_Nat_pos,Cyano,2
211221_Smp_1314P_A_pos,Cyano,2
211221_Smp_1314P_B_pos,Cyano,2
211221_Smp_1314P_C_pos,Cyano,2
211221_Smp_7803_B_pos,Cyano,2
211221_Smp_7803_F_pos,Cyano,2
211221_Smp_8102_A_pos,Cyano,2
211221_Smp_8102_F_pos,Cyano,2
211221_Smp_8501_B_pos,Cyano,2
211221_Smp_8501_C_pos,Cyano,2
211221_Smp_8501_D_pos,Cyano,2
211221_Smp_As9601_A_pos,Cyano,2
211221_Smp_As9601_B_pos,Cyano,2
211221_Smp_As9601_C_pos,Cyano,2
211221_Smp_MED4_D_pos,Cyano,2
211221_Smp_MED4_E_pos,Cyano,2
211221_Smp_MED4_F_pos,Cyano,2
211221_Smp_Nat_A_pos,Cyano,2
211221_Smp_Nat_B_pos,Cyano,2
211221_Smp_Nat_C_pos,Cyano,2
211215_Std_4uMStdsMix1InH2O_1,Diatom,2
211215_Std_4uMStdsMix1InH2O_2,Diatom,2
211215_Std_4uMStdsMix1InMatrix_1,Diatom,2
211215_Std_4uMStdsMix1InMatrix_2,Diatom,2
211215_Std_4uMStdsMix2InH2O_1,Diatom,2
211215_Std_4uMStdsMix2InH2O_2,Diatom,2
211215_Std_4uMStdsMix2InMatrix_1,Diatom,2
211215_Std_4uMStdsMix2InMatrix_2,Diatom,2
211215_Std_H2OinMatrix_1,Diatom,2
211215_Std_H2OinMatrix_2,Diatom,2
211215_Poo_TruePooDiatoms_Full1,Diatom,2
211215_Poo_TruePooDiatoms_Full2,Diatom,2
211215_Poo_TruePooDiatoms_Full3,Diatom,2
211215_Poo_TruePooDiatoms_Half1,Diatom,1
211215_Poo_TruePooDiatoms_Half2,Diatom,1
211215_Poo_TruePooDiatoms_Half3,Diatom,1
211215_Blk_MediaBlk_A_pos,Diatom,2
211215_Blk_MediaBlk_B_pos,Diatom,2
211215_Blk_MediaBlk_Fc_pos,Diatom,2
211215_Blk_MediaBlk_Pc55x_pos,Diatom,2
211215_Blk_MediaBlk_Z_pos,Diatom,2
211215_Smp_Cy_A_pos,Diatom,2
211215_Smp_Cy_B_pos,Diatom,2
211215_Smp_Cy_C_pos,Diatom,2
211215_Smp_Fc_A_pos,Diatom,2
211215_Smp_Fc_B_pos,Diatom,2
211215_Smp_Fc_C_pos,Diatom,2
211215_Smp_Np_A_pos,Diatom,2
211215_Smp_Np_C_pos,Diatom,2
211215_Smp_Np_F_pos,Diatom,2
211215_Smp_Pc55x_A_pos,Diatom,2
211215_Smp_Pc55x_B_pos,Diatom,2
211215_Smp_Pc55x_C_pos,Diatom,2
211215_Smp_Pt_C_pos,Diatom,2
211215_Smp_Pt_F_pos,Diatom,2
211215_Smp_To_A_pos,Diatom,2
211215_Smp_To_B_pos,Diatom,2
211215_Smp_To_C_pos,Diatom,2
211215_Smp_Tp_A_pos,Diatom,2
211215_Smp_Tp_E_pos,Diatom,2
211215_Smp_Tp_F_pos,Diatom,2
211218_Std_4uMStdsMix1InH2O_1,Dino_Green,2
211218_Std_4uMStdsMix1InMatrix_1,Dino_Green,2
211218_Std_4uMStdsMix1InMatrix_2,Dino_Green,2
211218_Std_4uMStdsMix2InH2O_1,Dino_Green,2
211218_Std_4uMStdsMix2InMatrix_1,Dino_Green,2
211218_Std_4uMStdsMix2InMatrix_2,Dino_Green,2
211218_Std_H2OinMatrix_1,Dino_Green,2
211218_Std_H2OinMatrix_2,Dino_Green,2
211218_Poo_TruePooDinosGreens_Full1,Dino_Green,2
211218_Poo_TruePooDinosGreens_Full2,Dino_Green,2
211218_Poo_TruePooDinosGreens_Full3,Dino_Green,2
211218_Poo_TruePooDinosGreens_Half1,Dino_Green,1
211218_Poo_TruePooDinosGreens_Half2,Dino_Green,1
211218_Poo_TruePooDinosGreens_Half3,Dino_Green,1
211218_Blk_MediaBlk_21_pos,Dino_Green,2
211218_Blk_MediaBlk_49_pos,Dino_Green,2
211218_Blk_MediaBlk_71_pos,Dino_Green,2
211218_Blk_MediaBlk_3430_pos,Dino_Green,2
211218_Blk_MediaBlk_N_pos,Dino_Green,2
211218_Blk_MediaBlk_O_pos,Dino_Green,2
211218_Smp_449_A_pos,Dino_Green,2
211218_Smp_449_B_pos,Dino_Green,2
211218_Smp_449_C_pos,Dino_Green,2
211218_Smp_1314_A_pos,Dino_Green,2
211218_Smp_1314_B_pos,Dino_Green,2
211218_Smp_1314_C_pos,Dino_Green,2
211218_Smp_1545_A_pos,Dino_Green,2
211218_Smp_1545_B_pos,Dino_Green,2
211218_Smp_1545_C_pos,Dino_Green,2
211218_Smp_1771_A_pos,Dino_Green,2
211218_Smp_1771_B_pos,Dino_Green,2
211218_Smp_1771_C_pos,Dino_Green,2
211218_Smp_2021_A_pos,Dino_Green,2
211218_Smp_2021_B_pos,Dino_Green,2
211218_Smp_2021_C_pos,Dino_Green,2
211218_Smp_3430_A_pos,Dino_Green,2
211218_Smp_3430_B_pos,Dino_Green,2
211218_Smp_3430_C_pos,Dino_Green,2
220104_Std_4uMStdsMix1InH2O_1,Haptophyte,2
220104_Std_4uMStdsMix1InH2O_2,Haptophyte,2
220104_Std_4uMStdsMix1InMatrix_1,Haptophyte,2
220104_Std_4uMStdsMix1InMatrix_2,Haptophyte,2
220104_Std_4uMStdsMix2InH2O_1,Haptophyte,2
220104_Std_4uMStdsMix2InH2O_2,Haptophyte,2
220104_Std_4uMStdsMix2InMatrix_1,Haptophyte,2
220104_Std_4uMStdsMix2InMatrix_2,Haptophyte,2
220104_Std_H2OinMatrix_1,Haptophyte,2
220104_Std_H2OinMatrix_2,Haptophyte,2
220104_Blk_MediaBlk_C_pos,Haptophyte,2
220104_Blk_MediaBlk_H_pos,Haptophyte,2
220104_Blk_MediaBlk_LInoSi_pos,Haptophyte,2
220104_Blk_MediaBlk_RAC5_pos,Haptophyte,2
220104_Poo_TruePooHaptophytes_Full1,Haptophyte,2
220104_Poo_TruePooHaptophytes_Full2,Haptophyte,2
220104_Poo_TruePooHaptophytes_Full3,Haptophyte,2
220104_Poo_TruePooHaptophytes_Half1,Haptophyte,1
220104_Poo_TruePooHaptophytes_Half2,Haptophyte,1
220104_Poo_TruePooHaptophytes_Half3,Haptophyte,1
220104_Smp_116-1_A_pos,Haptophyte,2
220104_Smp_116-1_B_pos,Haptophyte,2
220104_Smp_116-1_C_pos,Haptophyte,2
220104_Smp_371_A_pos,Haptophyte,2
220104_Smp_371_B_pos,Haptophyte,2
220104_Smp_371_C_pos,Haptophyte,2
220104_Smp_2090_A_pos,Haptophyte,2
220104_Smp_2090_B_pos,Haptophyte,2
220104_Smp_2090_C_pos,Haptophyte,2
220104_Smp_Ca_A_pos,Haptophyte,2
220104_Smp_Ca_B_pos,Haptophyte,2
220104_Smp_Ca_C_pos,Haptophyte,2
220104_Smp_Cr_A_pos,Haptophyte,2
220104_Smp_Cr_B_pos,Haptophyte,2
220104_Smp_Cr_C_pos,Haptophyte,2
220104_Smp_Cs_A_pos,Haptophyte,2
220104_Smp_Cs_B_pos,Haptophyte,2
220104_Smp_Cs_C_pos,Haptophyte,2
220104_Smp_P3_A_pos,Haptophyte,2
220104_Smp_P3_B_pos,Haptophyte,2
220104_Smp_P3_C_pos,Haptophyte,2
220104_Smp_P5-5_A_pos,Haptophyte,2
220104_Smp_P5-5_B_pos,Haptophyte,2
220104_Smp_P5-5_C_pos,Haptophyte,2
