Rep,Compound,Area,Cruise
220623_Std_4uMStdsMix1InH2O_1,beta-Alaninebetaine,71936,KM1906
220623_Std_4uMStdsMix1InH2O_2,beta-Alaninebetaine,1281292,KM1906
220623_Std_4uMStdsMix1InMatrix_1,beta-Alaninebetaine,6898320,KM1906
220623_Std_4uMStdsMix1InMatrix_2,beta-Alaninebetaine,8997785,KM1906
220623_Std_4uMStdsMix2InH2O_1,beta-Alaninebetaine,821247104,KM1906
220623_Std_4uMStdsMix2InH2O_2,beta-Alaninebetaine,1221964544,KM1906
220623_Std_4uMStdsMix2InMatrix_1,beta-Alaninebetaine,882364800,KM1906
220623_Std_4uMStdsMix2InMatrix_2,beta-Alaninebetaine,1209996416,KM1906
220623_Std_H2OinMatrix_1,beta-Alaninebetaine,7737398,KM1906
220623_Std_H2OinMatrix_2,beta-Alaninebetaine,8409336,KM1906
220623_Poo_TruePooG3-CXSPE_Full1,beta-Alaninebetaine,14683829,KM1906
220623_Poo_TruePooG3-CXSPE_Full2,beta-Alaninebetaine,13921338,KM1906
220623_Poo_TruePooG3-CXSPE_Full3,beta-Alaninebetaine,16780644,KM1906
220623_Poo_TruePooG3-CXSPE_Half1,beta-Alaninebetaine,6461266,KM1906
220623_Poo_TruePooG3-CXSPE_Half2,beta-Alaninebetaine,7933919,KM1906
220623_Poo_TruePooG3-CXSPE_Half3,beta-Alaninebetaine,8640156,KM1906
220623_Smp_CXSPE_Blk1_A,beta-Alaninebetaine,54510,KM1906
220623_Smp_CXSPE_Blk1_B,beta-Alaninebetaine,179847,KM1906
220623_Smp_CXSPE_Blk1_C,beta-Alaninebetaine,71663,KM1906
220623_Smp_CXSPE_Blk2_A,beta-Alaninebetaine,55688,KM1906
220623_Smp_CXSPE_Blk2_B,beta-Alaninebetaine,176760,KM1906
220623_Smp_CXSPE_Blk2_C,beta-Alaninebetaine,105526,KM1906
220623_Smp_CXSPE_Blk3_A,beta-Alaninebetaine,180485,KM1906
220623_Smp_CXSPE_Blk3_B,beta-Alaninebetaine,69605,KM1906
220623_Smp_CXSPE_Blk3_C,beta-Alaninebetaine,52427,KM1906
220623_Smp_CXSPE_Blk4_A,beta-Alaninebetaine,101263,KM1906
220623_Smp_CXSPE_Blk4_B,beta-Alaninebetaine,136705,KM1906
220623_Smp_CXSPE_Blk4_C,beta-Alaninebetaine,74513,KM1906
220623_Smp_MQBlk_1,beta-Alaninebetaine,76026,KM1906
220623_Smp_MQBlk_2,beta-Alaninebetaine,85064,KM1906
220623_Smp_MQBlk_3,beta-Alaninebetaine,107269,KM1906
220623_Smp_MQBlk_4,beta-Alaninebetaine,372703,KM1906
220623_Smp_MQBlk_5,beta-Alaninebetaine,104559,KM1906
220623_Smp_MQBlk_6,beta-Alaninebetaine,311583,KM1906
220623_Smp_MU1_A,beta-Alaninebetaine,3549168,KM1906
220623_Smp_MU1_B,beta-Alaninebetaine,2740540,KM1906
220623_Smp_MU1_C,beta-Alaninebetaine,2801117,KM1906
