Rep,Cruise,Injec_vol
220623_Std_4uMStdsMix1InH2O_1,KM1906,2
220623_Std_4uMStdsMix1InH2O_2,KM1906,2
220623_Std_4uMStdsMix1InMatrix_1,KM1906,2
220623_Std_4uMStdsMix1InMatrix_2,KM1906,2
220623_Std_4uMStdsMix2InH2O_1,KM1906,2
220623_Std_4uMStdsMix2InH2O_2,KM1906,2
220623_Std_4uMStdsMix2InMatrix_1,KM1906,2
220623_Std_4uMStdsMix2InMatrix_2,KM1906,2
220623_Std_H2OinMatrix_1,KM1906,2
220623_Std_H2OinMatrix_2,KM1906,2
220623_Poo_TruePooG3-CXSPE_Full1,KM1906,2
220623_Poo_TruePooG3-CXSPE_Full2,KM1906,2
220623_Poo_TruePooG3-CXSPE_Full3,KM1906,2
220623_Poo_TruePooG3-CXSPE_Half1,KM1906,1
220623_Poo_TruePooG3-CXSPE_Half2,KM1906,1
220623_Poo_TruePooG3-CXSPE_Half3,KM1906,1
220623_Smp_CXSPE_Blk1_A,KM1906,2
220623_Smp_CXSPE_Blk1_B,KM1906,2
220623_Smp_CXSPE_Blk1_C,KM1906,2
220623_Smp_CXSPE_Blk2_A,KM1906,2
220623_Smp_CXSPE_Blk2_B,KM1906,2
220623_Smp_CXSPE_Blk2_C,KM1906,2
220623_Smp_CXSPE_Blk3_A,KM1906,2
220623_Smp_CXSPE_Blk3_B,KM1906,2
220623_Smp_CXSPE_Blk3_C,KM1906,2
220623_Smp_CXSPE_Blk4_A,KM1906,2
220623_Smp_CXSPE_Blk4_B,KM1906,2
220623_Smp_CXSPE_Blk4_C,KM1906,2
220623_Smp_MQBlk_1,KM1906,2
220623_Smp_MQBlk_2,KM1906,2
220623_Smp_MQBlk_3,KM1906,2
220623_Smp_MQBlk_4,KM1906,2
220623_Smp_MQBlk_5,KM1906,2
220623_Smp_MQBlk_6,KM1906,2
220623_Smp_MU1_A,KM1906,2
220623_Smp_MU1_B,KM1906,2
220623_Smp_MU1_C,KM1906,2
220623_Smp_MU10_A,KM1906,2
220623_Smp_MU10_B,KM1906,2
220623_Smp_MU10_C,KM1906,2
220623_Smp_MU11_A,KM1906,2
220623_Smp_MU11_B,KM1906,2
220623_Smp_MU11_C,KM1906,2
220623_Smp_MU12_A,KM1906,2
220623_Smp_MU12_B,KM1906,2
220623_Smp_MU12_C,KM1906,2
220623_Smp_MU13_A,KM1906,2
220623_Smp_MU13_B,KM1906,2
220623_Smp_MU13_C,KM1906,2
220623_Smp_MU14_A,KM1906,2
220623_Smp_MU14_B,KM1906,2
220623_Smp_MU14_C,KM1906,2
220623_Smp_MU15_A,KM1906,2
220623_Smp_MU15_B,KM1906,2
220623_Smp_MU15_C,KM1906,2
220623_Smp_MU16_A,KM1906,2
220623_Smp_MU16_B,KM1906,2
220623_Smp_MU16_C,KM1906,2
220623_Smp_MU17_A,KM1906,2
220623_Smp_MU17_B,KM1906,2
220623_Smp_MU2_A,KM1906,2
220623_Smp_MU2_B,KM1906,2
220623_Smp_MU2_C,KM1906,2
220623_Smp_MU3_A,KM1906,2
220623_Smp_MU3_B,KM1906,2
220623_Smp_MU3_C,KM1906,2
220623_Smp_MU4_A,KM1906,2
220623_Smp_MU4_B,KM1906,2
220623_Smp_MU4_C,KM1906,2
220623_Smp_MU5_A,KM1906,2
220623_Smp_MU5_B,KM1906,2
220623_Smp_MU5_C,KM1906,2
220623_Smp_MU6_A,KM1906,2
220623_Smp_MU6_B,KM1906,2
220623_Smp_MU6_C,KM1906,2
220623_Smp_MU7_A,KM1906,2
220623_Smp_MU7_B,KM1906,2
220623_Smp_MU7_C,KM1906,2
220623_Smp_MU8_A,KM1906,2
220623_Smp_MU8_B,KM1906,2
220623_Smp_MU8_C,KM1906,2
220623_Smp_MU9_A,KM1906,2
220623_Smp_MU9_B,KM1906,2
220623_Smp_MU9_C,KM1906,2
220602_Std_4uMStdsMix1InH2O_1,TN397,2
