Rep,Compound,Area,Cruise
220628_Std_4uMStdsMix1InH2O_1,beta-Alaninebetaine,327417,KM1906
220628_Std_4uMStdsMix1InH2O_2,beta-Alaninebetaine,473030,KM1906
220628_Std_4uMStdsMix1InMatrix_1,beta-Alaninebetaine,638148416,KM1906
220628_Std_4uMStdsMix1InMatrix_2,beta-Alaninebetaine,500543072,KM1906
220628_Std_4uMStdsMix2InH2O_1,beta-Alaninebetaine,1043474560,KM1906
220628_Std_4uMStdsMix2InH2O_2,beta-Alaninebetaine,1142906624,KM1906
220628_Std_4uMStdsMix2InMatrix_1,beta-Alaninebetaine,1445455616,KM1906
220628_Std_4uMStdsMix2InMatrix_2,beta-Alaninebetaine,1395183616,KM1906
220628_Std_H2OinMatrix_1,beta-Alaninebetaine,671261312,KM1906
220628_Std_H2OinMatrix_2,beta-Alaninebetaine,487902272,KM1906
220628_Poo_TruePooG3_Full1,beta-Alaninebetaine,908791424,KM1906
220628_Poo_TruePooG3_Full2,beta-Alaninebetaine,836168000,KM1906
220628_Poo_TruePooG3_Full3,beta-Alaninebetaine,802250624,KM1906
220628_Poo_TruePooG3_Half1,beta-Alaninebetaine,484062176,KM1906
220628_Poo_TruePooG3_Half2,beta-Alaninebetaine,399949280,KM1906
220628_Poo_TruePooG3_Half3,beta-Alaninebetaine,415027904,KM1906
220628_Smp_MBlk1_A,beta-Alaninebetaine,23153594,KM1906
220628_Smp_MBlk1_B,beta-Alaninebetaine,2617106,KM1906
220628_Smp_MMQBlk1_A,beta-Alaninebetaine,1231320,KM1906
220628_Smp_MMQBlk1_B,beta-Alaninebetaine,105437,KM1906
220628_Smp_MU1_A,beta-Alaninebetaine,510779680,KM1906
220628_Smp_MU1_B,beta-Alaninebetaine,625434560,KM1906
220628_Smp_MU1_C,beta-Alaninebetaine,611753664,KM1906
220628_Smp_MU10_A,beta-Alaninebetaine,482825888,KM1906
220628_Smp_MU10_B,beta-Alaninebetaine,462783168,KM1906
220628_Smp_MU10_C,beta-Alaninebetaine,304993600,KM1906
220628_Smp_MU11_A,beta-Alaninebetaine,1930823680,KM1906
220628_Smp_MU11_B,beta-Alaninebetaine,1779971712,KM1906
220628_Smp_MU11_C,beta-Alaninebetaine,1436588800,KM1906
220628_Smp_MU14_A,beta-Alaninebetaine,997013440,KM1906
220628_Smp_MU14_B,beta-Alaninebetaine,1291204864,KM1906
220628_Smp_MU14_C,beta-Alaninebetaine,1212083456,KM1906
220628_Smp_MU15_A,beta-Alaninebetaine,819118208,KM1906
220628_Smp_MU15_B,beta-Alaninebetaine,1277423232,KM1906
220628_Smp_MU15_C,beta-Alaninebetaine,928741696,KM1906
220628_Smp_MU16_A,beta-Alaninebetaine,815882624,KM1906
220628_Smp_MU16_B,beta-Alaninebetaine,1365605248,KM1906
220628_Smp_MU16_C,beta-Alaninebetaine,1091357696,KM1906
220628_Smp_MU17_A,beta-Alaninebetaine,987841536,KM1906
220628_Smp_MU17_B,beta-Alaninebetaine,1211741824,KM1906
220628_Smp_MU17_C,beta-Alaninebetaine,1468897664,KM1906
220628_Smp_MU18_A,beta-Alaninebetaine,852872320,KM1906
220628_Smp_MU18_B,beta-Alaninebetaine,1362367360,KM1906
220628_Smp_MU18_C,beta-Alaninebetaine,1181657728,KM1906
220628_Smp_MU19_A,beta-Alaninebetaine,2170702848,KM1906
220628_Smp_MU19_B,beta-Alaninebetaine,2134324736,KM1906
220628_Smp_MU19_C,beta-Alaninebetaine,1748966272,KM1906
220628_Smp_MU2_A,beta-Alaninebetaine,372971200,KM1906
220628_Smp_MU2_B,beta-Alaninebetaine,498939840,KM1906
220628_Smp_MU2_C,beta-Alaninebetaine,533310496,KM1906
220628_Smp_MU20_A,beta-Alaninebetaine,920438272,KM1906
220628_Smp_MU20_B,beta-Alaninebetaine,1490182400,KM1906
220628_Smp_MU20_C,beta-Alaninebetaine,1259209216,KM1906
220628_Smp_MU21_A,beta-Alaninebetaine,484456864,KM1906
220628_Smp_MU21_B,beta-Alaninebetaine,762918400,KM1906
220628_Smp_MU21_C,beta-Alaninebetaine,507410304,KM1906
220628_Smp_MU22_A,beta-Alaninebetaine,362291456,KM1906
220628_Smp_MU22_B,beta-Alaninebetaine,485810048,KM1906
220628_Smp_MU22_C,beta-Alaninebetaine,479704320,KM1906
220628_Smp_MU23_A,beta-Alaninebetaine,393878528,KM1906
220628_Smp_MU23_B,beta-Alaninebetaine,428086720,KM1906
220628_Smp_MU23_C,beta-Alaninebetaine,493879520,KM1906
220628_Smp_MU24_A,beta-Alaninebetaine,366533312,KM1906
220628_Smp_MU24_B,beta-Alaninebetaine,447118368,KM1906
