KinExp_ID,sample,cell_abundance_bacteria,diameter_bacteria,carbon_quota_bacteria,carbon_biomass_bacteria
TN412_UKG,G5_UKG_A,556.3099204,0.39441,0.013568339,7.548201329
TN412_UKG,G5_UKG_B,695.6672633,0.42355,0.016307245,11.34441648
RC078_UKH2,RC078_S5_uway_A,725.3118893,0.58541,0.037586738,27.26210789
RC078_UKH2,RC078_S5_uway_B,652.3028367,0.61732,0.04310244,28.11584364
RC078_UKH2,RC078_S5_uway_C,742.0936164,0.58911,0.038202508,28.34983724
RC078_UKH1,RC078_UKH1_A,1025.455547,0.48547,0.0231885,23.77877592
RC078_UKH1,RC078_UKH1_B,990.6831877,0.47301,0.021684684,21.48265212
RC078_UKH1,RC078_UKH1_C,985.0989431,0.47623,0.022067369,21.73854162
RC104_UKG1,RC104_UCH1_FCM_CON_T30_A,766.115793,0.45525,0.019645521,15.05074376
RC104_UKG1,RC104_UCH1_FCM_CON_T30_B,649.6980065,0.4611,0.02030308,13.19087064
RC104_UKG1,RC104_UCH1_FCM_CON_T30_C,474.3221927,0.45286,0.019380169,9.192444027
RC104_UKH1,RC104_UKH1_A,627.1604203,0.4332,0.017283871,10.8397598
RC104_UKH1,RC104_UKH1_B,620.8680177,0.44411,0.018429243,11.44212746
RC104_UKH1,RC104_UKH1_C,732.804715,0.44332,0.018345074,13.44335688
