time,lat,lon,depth,station,cast,niskin,pc,stdev_pc,pn,stdev_pn
2017-05-29T15:49:29.000Z,25.79,-158.22,25,2,2,23,2.926,0.006,0.433,0.006999999999999999
2017-05-29T15:49:29.000Z,25.79,-158.22,95,2,2,17,3.403,0.8270000000000001,0.516,0.121
2017-05-29T15:49:29.000Z,25.79,-158.22,120,2,2,6,3.22,0.062,0.447,0.045
2017-06-03T15:03:47.000Z,44.79,-158.26,15,7,2,22,10.308,0.591,1.88,0.182
2017-06-03T15:03:47.000Z,44.79,-158.26,25,7,2,12,10.075,0.87,1.8090000000000002,0.294
2017-06-03T15:03:47.000Z,44.79,-158.26,45,7,2,10,6.117000000000001,0.665,0.8959999999999999,0.13699999999999998
2017-06-03T15:03:47.000Z,44.79,-158.26,120,7,2,6,1.6980000000000002,0.204,0.215,0.017
2017-06-04T21:24:42.000Z,39.76,-158.15,25,8,2,13,11.744000000000002,0.047,1.905,0.013999999999999999
2017-06-04T21:24:42.000Z,39.76,-158.15,45,8,2,10,5.072,0.8959999999999999,0.871,0.11
2017-06-04T21:24:42.000Z,39.76,-158.15,120,8,2,5,2.013,0.153,0.28300000000000003,0.033
2017-06-05T14:59:47.000Z,38.26,-158.26,15,9,2,24,2.714,0.094,0.452,0.025
2017-06-05T14:59:47.000Z,38.26,-158.26,25,9,2,21,7.039,0.161,1.151,0.017
2017-06-05T14:59:47.000Z,38.26,-158.26,38,9,2,17,8.568999999999999,0.319,1.432,0.022000000000000002
2017-06-05T14:59:47.000Z,38.26,-158.26,45,9,2,9,5.912000000000001,0.545,0.978,0.03
2017-06-05T14:59:47.000Z,38.26,-158.26,120,9,2,6,1.6280000000000001,0.166,0.195,0.003
2017-06-06T16:01:16.000Z,39.57,-158,15,11,2,24,4.015,0.501,0.611,0.062
2017-06-06T16:01:16.000Z,39.57,-158,50,11,2,14,2.859,0.8640000000000001,0.451,0.158
2017-06-06T16:01:16.000Z,39.57,-158,120,11,2,6,1.3630000000000002,0.021,0.218,0.027999999999999997
2017-06-07T15:14:02.000Z,36,-158,15,12,2,24,3.8110000000000004,0.6679999999999999,0.598,0.024
2017-06-07T15:14:02.000Z,36,-158,53,12,2,14,4.059,0.507,0.669,0.009000000000000001
2017-06-07T15:14:02.000Z,36,-158,120,12,2,5,1.158,0.04,0.174,0.005
2017-06-09T00:56:32.000Z,34.51,-158.02,15,14,3,24,3.3819999999999997,0.391,0.478,0.036000000000000004
2017-06-09T00:56:32.000Z,34.51,-158.02,80,14,3,10,5.609,0.11199999999999999,0.867,0.02
2017-06-09T00:56:32.000Z,34.51,-158.02,120,14,3,5,1.4909999999999999,0.445,0.215,0.048
2017-06-09T14:56:07.000Z,34.02,-158.26,25,15,2,22,2.864,0.053,0.39,0.004
2017-06-09T14:56:07.000Z,34.02,-158.26,57,15,2,10,5.511,0.182,0.8370000000000001,0.015
2017-06-09T14:56:07.000Z,34.02,-158.26,120,15,2,5,1.278,0.155,0.159,0.02
2017-06-10T15:17:09.000Z,32.01,-158.26,25,17,2,20,2.75,0.618,0.376,0.05
2017-06-10T15:17:09.000Z,32.01,-158.26,91,17,2,14,3.693,0.588,0.5539999999999999,0.107
2017-06-10T15:17:09.000Z,32.01,-158.26,120,17,2,11,1.633,0.04,0.251,0.013000000000000001

