time,lat,lon,depth,sst,sss,SRP
2017-05-28T21:01:00.000Z,23.14,-158,5,25.32,34.17,69.9531954022991
2017-05-28T21:02:00.000Z,23.14,-158,5,25.29,34.17,66.8622528735636
2017-05-28T21:03:00.000Z,23.14,-158,5,25.3,34.17,63.9000565291129
2017-05-28T21:04:00.000Z,23.15,-158,5,25.28,34.17,65.8529655172418
2017-05-28T21:05:00.000Z,23.15,-158,5,25.27,34.16,65.1275402298854
2017-05-28T21:06:00.000Z,23.15,-158,5,25.26,34.16,66.1999080459774
2017-05-28T21:07:00.000Z,23.15,-158,5,25.27,34.17,65.4822385528551
2017-05-28T21:08:00.000Z,23.16,-158,5,25.27,34.16,63.9589479836357
2017-05-28T21:09:00.000Z,23.16,-158,5,25.26,34.16,60.7977388355006
2017-05-28T21:10:00.000Z,23.16,-158,5,25.24,34.16,61.7778609000588
2017-05-28T21:11:00.000Z,23.17,-158,5,25.25,34.16,63.6061250730571
2017-05-28T21:12:00.000Z,23.17,-158,5,25.26,34.16,62.3799208592429
2017-05-28T21:13:00.000Z,23.17,-158,5,25.27,34.17,59.7026206896555
2017-05-28T21:14:00.000Z,23.17,-158,5,25.27,34.16,60.1126436781613
2017-05-28T21:15:00.000Z,23.18,-158,5,25.27,34.16,60.6736461277561
2017-05-28T21:16:00.000Z,23.18,-158,5,25.29,34.16,63.4457510227941
2017-05-28T21:17:00.000Z,23.18,-158,5,25.3,34.16,62.4729903900512
2017-05-28T21:18:00.000Z,23.19,-158,5,25.3,34.16,60.6488275862072
2017-05-28T21:19:00.000Z,23.19,-158,5,25.29,34.16,60.9326896551728
2017-05-28T21:20:00.000Z,23.19,-158,5,25.28,34.16,65.1906206896556
2017-05-28T21:21:00.000Z,23.2,-158,5,25.32,34.16,65.9475862068969
2017-05-28T21:22:00.000Z,23.2,-158,5,25.32,34.16,66.0422068965521
2017-05-28T21:23:00.000Z,23.2,-158,5,25.34,34.16,65.3167816091958
2017-05-28T21:24:00.000Z,23.2,-158,5,25.34,34.16,64.7066591294521
2017-05-28T21:25:00.000Z,23.21,-158,5,25.36,34.16,61.842010520164
2017-05-28T21:26:00.000Z,23.21,-158,5,25.36,34.16,61.5422950819676
2017-05-28T21:27:00.000Z,23.21,-158,5,25.36,34.16,64.6544367816096
2017-05-28T21:28:00.000Z,23.22,-158,5,25.34,34.16,65.4664640561079
2017-05-28T21:29:00.000Z,23.22,-158,5,25.37,34.16,65.2537011494257
2017-05-28T21:30:00.000Z,23.22,-158,5,25.38,34.16,63.1089655172418
2017-05-28T21:31:00.000Z,23.23,-158,5,25.38,34.16,60.4627936879022
2017-05-28T21:32:00.000Z,23.23,-158,5,25.41,34.16,60.9011494252877
2017-05-28T21:33:00.000Z,23.23,-158,5,25.41,34.17,63.8659310344832
2017-05-28T21:34:00.000Z,23.24,-158,5,25.43,34.17,63.2795929903905
2017-05-28T21:35:00.000Z,23.24,-158,5,25.42,34.17,63.235126436782
2017-05-28T21:36:00.000Z,23.24,-158,5,25.42,34.16,63.235126436782
2017-05-28T21:37:00.000Z,23.24,-158,5,25.45,34.16,63.8659310344832
2017-05-28T21:38:00.000Z,23.25,-158,5,25.45,34.17,64.2723346523463
2017-05-28T21:39:00.000Z,23.25,-158,5,25.44,34.17,63.5419754529519
2017-05-28T21:40:00.000Z,23.25,-158,5,25.43,34.17,64.3033578292825
2017-05-28T21:41:00.000Z,23.26,-158,5,25.43,34.17,63.8627235534779
2017-05-28T21:42:00.000Z,23.26,-158,5,25.43,34.17,66.1647484454497
