sample_id,analyte_short,concentration,units,sample_fration,sample_type,analyte_long,station,cast,depth_m,parent_id,collection_timestamp_UTC
S5_UWAY_A,PO4,0.335485563,umol/L,dissolved,nutrients,phosphate,5,NA,NA,S5_UWAY,2022-06-07T15:00:00Z
S5_UWAY_A,Si(OH)4,18.5544022,umol/L,dissolved,nutrients,silicate,5,NA,NA,S5_UWAY,2022-06-07T15:00:00Z
S5_UWAY_A,NO3,0.680184328,umol/L,dissolved,nutrients,nitrate,5,NA,NA,S5_UWAY,2022-06-07T15:00:00Z
S5_UWAY_A,NO2,0.07444506,umol/L,dissolved,nutrients,nitrite,5,NA,NA,S5_UWAY,2022-06-07T15:00:00Z
S5_UWAY_A,NH4,0.249939754,umol/L,dissolved,nutrients,ammonium,5,NA,NA,S5_UWAY,2022-06-07T15:00:00Z
S5_UWAY_B,PO4,0.340255074,umol/L,dissolved,nutrients,phosphate,5,NA,NA,S5_UWAY,2022-06-07T15:00:00Z
S5_UWAY_B,Si(OH)4,18.70468378,umol/L,dissolved,nutrients,silicate,5,NA,NA,S5_UWAY,2022-06-07T15:00:00Z
S5_UWAY_B,NO3,0.812396482,umol/L,dissolved,nutrients,nitrate,5,NA,NA,S5_UWAY,2022-06-07T15:00:00Z
S5_UWAY_B,NO2,0.082272666,umol/L,dissolved,nutrients,nitrite,5,NA,NA,S5_UWAY,2022-06-07T15:00:00Z
S5_UWAY_B,NH4,0.30146761,umol/L,dissolved,nutrients,ammonium,5,NA,NA,S5_UWAY,2022-06-07T15:00:00Z
S5_UWAY_C,PO4,0.32036614,umol/L,dissolved,nutrients,phosphate,5,NA,NA,S5_UWAY,2022-06-07T15:00:00Z
S5_UWAY_C,Si(OH)4,18.47772733,umol/L,dissolved,nutrients,silicate,5,NA,NA,S5_UWAY,2022-06-07T15:00:00Z
S5_UWAY_C,NO3,0.644272317,umol/L,dissolved,nutrients,nitrate,5,NA,NA,S5_UWAY,2022-06-07T15:00:00Z
S5_UWAY_C,NO2,0.080846217,umol/L,dissolved,nutrients,nitrite,5,NA,NA,S5_UWAY,2022-06-07T15:00:00Z
S5_UWAY_C,NH4,0.284413581,umol/L,dissolved,nutrients,ammonium,5,NA,NA,S5_UWAY,2022-06-07T15:00:00Z
S5_C3_D3_A,PO4,0.272692996,umol/L,dissolved,nutrients,phosphate,5,3,4,S5_C3_D3,2022-06-07T16:16:00Z
S5_C3_D3_A,Si(OH)4,18.05361516,umol/L,dissolved,nutrients,silicate,5,3,4,S5_C3_D3,2022-06-07T16:16:00Z
S5_C3_D3_A,NO3,0.940189501,umol/L,dissolved,nutrients,nitrate,5,3,4,S5_C3_D3,2022-06-07T16:16:00Z
S5_C3_D3_A,NO2,0.075044349,umol/L,dissolved,nutrients,nitrite,5,3,4,S5_C3_D3,2022-06-07T16:16:00Z
S5_C3_D3_A,NH4,0.270335426,umol/L,dissolved,nutrients,ammonium,5,3,4,S5_C3_D3,2022-06-07T16:16:00Z
S5_C3_D3_B,PO4,0.271911516,umol/L,dissolved,nutrients,phosphate,5,3,4,S5_C3_D3,2022-06-07T16:16:00Z
S5_C3_D3_B,Si(OH)4,18.09762112,umol/L,dissolved,nutrients,silicate,5,3,4,S5_C3_D3,2022-06-07T16:16:00Z
S5_C3_D3_B,NO3,1.103233428,umol/L,dissolved,nutrients,nitrate,5,3,4,S5_C3_D3,2022-06-07T16:16:00Z
S5_C3_D3_B,NO2,0.081579992,umol/L,dissolved,nutrients,nitrite,5,3,4,S5_C3_D3,2022-06-07T16:16:00Z
S5_C3_D3_B,NH4,1.562719408,umol/L,dissolved,nutrients,ammonium,5,3,4,S5_C3_D3,2022-06-07T16:16:00Z
S5_C3_D3_C,PO4,0.268209535,umol/L,dissolved,nutrients,phosphate,5,3,4,S5_C3_D3,2022-06-07T16:16:00Z
S5_C3_D3_C,Si(OH)4,18.69970917,umol/L,dissolved,nutrients,silicate,5,3,4,S5_C3_D3,2022-06-07T16:16:00Z
S5_C3_D3_C,NO3,1.165730309,umol/L,dissolved,nutrients,nitrate,5,3,4,S5_C3_D3,2022-06-07T16:16:00Z
S5_C3_D3_C,NO2,0.091342771,umol/L,dissolved,nutrients,nitrite,5,3,4,S5_C3_D3,2022-06-07T16:16:00Z
S5_C3_D3_C,NH4,1.496640616,umol/L,dissolved,nutrients,ammonium,5,3,4,S5_C3_D3,2022-06-07T16:16:00Z
S5_C3_D2_A,PO4,0.608892354,umol/L,dissolved,nutrients,phosphate,5,3,9,S5_C3_D2,2022-06-07T15:58:00Z
S5_C3_D2_A,Si(OH)4,21.37426661,umol/L,dissolved,nutrients,silicate,5,3,9,S5_C3_D2,2022-06-07T15:58:00Z
S5_C3_D2_A,NO3,6.300850088,umol/L,dissolved,nutrients,nitrate,5,3,9,S5_C3_D2,2022-06-07T15:58:00Z
S5_C3_D2_A,NO2,0.207755573,umol/L,dissolved,nutrients,nitrite,5,3,9,S5_C3_D2,2022-06-07T15:58:00Z
S5_C3_D2_A,NH4,1.577938118,umol/L,dissolved,nutrients,ammonium,5,3,9,S5_C3_D2,2022-06-07T15:58:00Z
S5_C3_D2_B,PO4,0.597029417,umol/L,dissolved,nutrients,phosphate,5,3,9,S5_C3_D2,2022-06-07T15:58:00Z
S5_C3_D2_B,Si(OH)4,21.29145563,umol/L,dissolved,nutrients,silicate,5,3,9,S5_C3_D2,2022-06-07T15:58:00Z
S5_C3_D2_B,NO3,6.316202069,umol/L,dissolved,nutrients,nitrate,5,3,9,S5_C3_D2,2022-06-07T15:58:00Z
S5_C3_D2_B,NO2,0.214716016,umol/L,dissolved,nutrients,nitrite,5,3,9,S5_C3_D2,2022-06-07T15:58:00Z
S5_C3_D2_B,NH4,0.553011941,umol/L,dissolved,nutrients,ammonium,5,3,9,S5_C3_D2,2022-06-07T15:58:00Z
S5_C3_D2_C,PO4,0.599767354,umol/L,dissolved,nutrients,phosphate,5,3,9,S5_C3_D2,2022-06-07T15:58:00Z
S5_C3_D2_C,Si(OH)4,21.29349339,umol/L,dissolved,nutrients,silicate,5,3,9,S5_C3_D2,2022-06-07T15:58:00Z
S5_C3_D2_C,NO3,6.577668495,umol/L,dissolved,nutrients,nitrate,5,3,9,S5_C3_D2,2022-06-07T15:58:00Z
S5_C3_D2_C,NO2,0.225548666,umol/L,dissolved,nutrients,nitrite,5,3,9,S5_C3_D2,2022-06-07T15:58:00Z
S5_C3_D2_C,NH4,1.485580707,umol/L,dissolved,nutrients,ammonium,5,3,9,S5_C3_D2,2022-06-07T15:58:00Z
S5_C3_D1_A,PO4,1.847009371,umol/L,dissolved,nutrients,phosphate,5,3,30,S5_C3_D1,2022-06-07T15:50:00Z
S5_C3_D1_A,Si(OH)4,33.7806405,umol/L,dissolved,nutrients,silicate,5,3,30,S5_C3_D1,2022-06-07T15:50:00Z
S5_C3_D1_A,NO3,21.74565939,umol/L,dissolved,nutrients,nitrate,5,3,30,S5_C3_D1,2022-06-07T15:50:00Z
S5_C3_D1_A,NO2,0.531628245,umol/L,dissolved,nutrients,nitrite,5,3,30,S5_C3_D1,2022-06-07T15:50:00Z
S5_C3_D1_A,NH4,2.428767478,umol/L,dissolved,nutrients,ammonium,5,3,30,S5_C3_D1,2022-06-07T15:50:00Z
S5_C3_D1_B,PO4,1.848661489,umol/L,dissolved,nutrients,phosphate,5,3,30,S5_C3_D1,2022-06-07T15:50:00Z
S5_C3_D1_B,Si(OH)4,33.86096332,umol/L,dissolved,nutrients,silicate,5,3,30,S5_C3_D1,2022-06-07T15:50:00Z
S5_C3_D1_B,NO3,21.8239587,umol/L,dissolved,nutrients,nitrate,5,3,30,S5_C3_D1,2022-06-07T15:50:00Z
S5_C3_D1_B,NO2,0.526815483,umol/L,dissolved,nutrients,nitrite,5,3,30,S5_C3_D1,2022-06-07T15:50:00Z
S5_C3_D1_B,NH4,1.142776126,umol/L,dissolved,nutrients,ammonium,5,3,30,S5_C3_D1,2022-06-07T15:50:00Z
