numbered,parent_id,sample_id,am_sample_id,vol_l,c_counts,c_mol,c_mol_l,h_counts,h_mol,h_mol_l,n_counts,n_mol,n_mol_l,station,depth_m,cast,sample_type,local_date,collection_timestamp_utc,vol_filt_l,approximate_salinity,lat_n,long_w,notes,x12
1,Blk,Blk1,Susan A1,0.25,470,1.6730292993693796e-6,6.6921171974775185e-6,2988,2.4865885840066116e-5,9.946354336026446e-5,52,1.7890940065409176e-6,7.15637602616367e-6,NA,0,NA,POCPN,2022-06-08T00:00:00Z,2022-06-09T03:08:00Z,0.25,NA,NA,NA,NA,NA
2,S3_C1_D2,S3_C1_D2_C,Susan A2,1,2274,8.236869609318332e-6,8.236869609318332e-6,7912,9.633283243192305e-5,9.633283243192305e-5,164,6.931122190682662e-6,6.931122190682662e-6,3,100,1,POCPN,2022-06-05T00:00:00Z,2022-06-05T16:40:00Z,1,31.7,NA,NA,NA,NA
3,S2_C4_D6,S2_C4_D6_B,Susan A3,1.5,4146,1.5048127403234318e-5,1.0032084935489546e-5,11095,1.425309012787712e-4,9.502060085251414e-5,313,1.0255061205736106e-5,6.836707470490737e-6,2,4,4,POCPN,2022-06-04T00:00:00Z,2022-06-04T18:20:00Z,1.5,30,NA,NA,NA,NA
4,S7_C1_D1,S7_C1_D1_B,Susan A4,1,5012,1.8199061831402716e-5,1.8199061831402716e-5,9933,1.2566563077923067e-4,1.2566563077923067e-4,367,9.041609388113706e-6,9.041609388113706e-6,7,156,1,POCPN,2022-06-08T00:00:00Z,2022-06-08T15:30:00Z,1,30.5,NA,NA,NA,NA
5,S2_C9_D1,S2_C9_D1_C,Susan A5,1,3579,1.298510220603861e-5,1.298510220603861e-5,8423,1.037494875311186e-4,1.037494875311186e-4,290,7.4647485924081775e-6,7.4647485924081775e-6,2,10,9,POCPN,2022-06-06T00:00:00Z,2022-06-06T13:50:00Z,1,29.9,NA,NA,"""HPLC and POC from same 2L, POC may be over-estimated""",NA
6,S7_C2_D3,S7_C2_D3_A,Susan A6,0.6,1791,6.4794777746701365e-6,1.0799129624450228e-5,7889,9.599901038244848e-5,1.5999835063741413e-4,149,6.907103781211649e-6,1.151183963535275e-5,7,30,1,POCPN,2022-06-08T00:00:00Z,2022-06-08T17:20:00Z,0.6,28.9,NA,NA,NA,NA
7,S6_C1_D2,S6_C1_D2_B,Susan A7,0.6,9895,3.59658202756825e-5,5.994303379280417e-5,9387,1.1774098560474775e-4,1.9623497600791296e-4,400,8.47143323284535e-6,1.4119055388075582e-5,6,4,1,POCPN,2022-06-07T00:00:00Z,2022-06-08T00:07:00Z,0.6,21,NA,NA,NA,NA
8,S3_C2_D3,S3_C2_D3_B,Susan A8,1,3114,1.1293203234793454e-5,1.1293203234793454e-5,8752,1.0852459423881982e-4,1.0852459423881982e-4,240,7.808316275710903e-6,7.808316275710903e-6,3,10,2,POCPN,2022-06-05T00:00:00Z,2022-06-05T18:33:00Z,1,30.5,NA,NA,NA,NA
9,S2_C4_D5,S2_C4_D5_A,Susan A9,1.5,3998,1.4509630526364892e-5,9.673087017576594e-6,10686,1.365946743989846e-4,9.106311626598972e-5,317,9.827951228621166e-6,6.551967485747444e-6,2,15,4,POCPN,2022-06-04T00:00:00Z,2022-06-04T18:20:00Z,1.5,30,NA,NA,NA,NA
10,S2_C3_D3,S2_C3_D3_A,Susan A10,1.5,3071,1.113674806110842e-5,7.424498707405614e-6,10612,1.355206382398056e-4,9.03470921598704e-5,219,9.75067460684487e-6,6.50044973789658e-6,2,45,3,POCPN,2022-06-04T00:00:00Z,2022-06-04T15:35:00Z,1.5,31.6,NA,NA,NA,NA
