time,lat,lon,depth,Station,Cast,RosPos,SiO4,NO3_NO2,NO2,TDN,DON,PO4,TDP,DOP,NH4,PC,PN,PP,PATP,PATP_outlier_flag
2021-11-19T16:52:00.000Z,31.13,-119.82,4.5,underway,,,,,,,,,,,,,,43,59.4,0
2021-11-19T19:55:00.000Z,30.76,-120.46,4.5,underway,,,,,,,,,,,,,,27.2,49.4,0
2021-11-20T01:30:00.000Z,30.1,-121.58,4.5,underway,,,0.94,0.003,0,4.73,4.73,0.339,0.512,0.173,0.014,,,33.3,80.3,0
2021-11-20T18:01:27.000Z,28.44,-124.4,5.1,1,1,23,1.68,0.003,,,,0.262,,,0.01,2.02,0.28,19.7,12.6,0
2021-11-20T18:01:27.000Z,28.44,-124.4,15,1,1,19,1.64,0.002,,,,0.246,,,0.007,2.39,0.32,18,25.2,0
2021-11-20T18:01:27.000Z,28.44,-124.4,44.8,1,1,14,1.5,0.001,,,,0.264,,,0.014,2.35,0.3,20.3,17.5,0
2021-11-20T18:01:27.000Z,28.44,-124.4,75.3,1,1,9,1.41,0.002,,,,0.231,,,0.009,1.94,0.28,17.2,32.7,0
2021-11-20T18:01:27.000Z,28.44,-124.4,85.5,1,1,6,1.91,0.036,,,,0.298,,,0.03,1.49,0.23,15.3,13.1,0
2021-11-20T18:01:27.000Z,28.44,-124.4,100.4,1,1,5,1.66,0.024,,,,0.29,,,0.036,1.82,0.28,17.3,16.8,0
2021-11-20T18:01:27.000Z,28.44,-124.4,200.9,1,1,2,10.91,14.29,,,,0.97,,,0.01,2.13,0.23,4.9,0.3,0
2021-11-21T12:36:53.000Z,27.07,-126.67,5,2,1,23,1.67,0.008,,,,0.191,,,0.006,1.98,0.29,26.6,24.5,0
2021-11-21T12:36:53.000Z,27.07,-126.67,45.4,2,1,15,1.68,0.006,,,,0.206,,,0.007,1.95,0.32,27.8,26.2,0
2021-11-21T12:36:53.000Z,27.07,-126.67,101.6,2,1,8,2.2,0.247,,,,0.247,,,0.027,1.18,0.19,15.1,15.3,0
2021-11-21T12:36:53.000Z,27.07,-126.67,151.1,2,1,7,9.31,10.28,,,,0.938,,,0.018,1,0.13,7.9,0.7,0
2021-11-21T12:36:53.000Z,27.07,-126.67,201.4,2,1,6,17.76,17.14,,,,1.281,,,0.008,,,,,
2021-11-21T15:07:00.000Z,27.07,-126.67,4.5,underway,,,1.5,0.003,0.003,4.45,4.45,0.23,0.395,0.165,0.026,,,24.2,22.8,0
2021-11-22T02:16:00.000Z,25.96,-128.5,4.5,underway,,,1.16,0.004,0.005,3.22,3.22,0.15,0.274,0.124,0.01,,,18.7,38.3,0
2021-11-22T16:07:00.000Z,24.29,-131.23,4.5,underway,,,1.54,0.005,0.003,4.57,4.57,0.131,0.321,0.191,0.049,,,19,26.8,0
2021-11-23T00:02:00.000Z,23.1,-133.14,4.5,underway,,,1.45,0.003,0,4.65,4.64,0.141,0.34,0.199,0.013,,,19.9,27.7,0
2021-11-23T13:26:35.000Z,21.74,-135.31,5,3,1,24,1.53,0.001,,,,0.154,,,0.009,2.24,0.32,28.2,21.8,0
2021-11-23T13:26:35.000Z,21.74,-135.31,45.4,3,1,15,1.51,0.005,,,,0.16,,,0.034,2.07,0.3,18.7,20.3,0
2021-11-23T13:26:35.000Z,21.74,-135.31,105.1,3,1,11,2.12,0.005,,,,0.162,,,0.016,1.72,0.28,19.5,12.4,0
2021-11-23T13:26:35.000Z,21.74,-135.31,150.9,3,1,7,3.37,2.66,,,,0.358,,,0.006,1,0.15,14,,
2021-11-23T13:26:35.000Z,21.74,-135.31,202.7,3,1,6,10.37,11.85,,,,0.95,,,0.003,,,,,
2021-11-25T18:44:45.000Z,19.51,-138.58,5.8,4,7,24,1.34,0.003,0,5.29,5.29,0.118,0.324,0.206,0.007,1.95,0.28,16.6,33.9,0
2021-11-25T18:44:45.000Z,19.51,-138.58,15,4,7,22,1.33,0.002,0.002,4.95,4.95,0.112,0.318,0.207,0.011,2.15,0.28,18.3,80.2,1
2021-11-25T18:44:45.000Z,19.51,-138.58,25.4,4,7,21,1.33,0.001,0.002,4.89,4.89,0.12,0.324,0.204,0.009,1.98,0.29,16.7,28.3,0
2021-11-25T18:44:45.000Z,19.51,-138.58,45.2,4,7,19,1.34,0,0.002,4.9,4.9,0.12,0.319,0.199,0.011,2.05,0.29,18,37.1,0
2021-11-25T18:44:45.000Z,19.51,-138.58,76.2,4,7,16,1.69,0.003,0.002,4.64,4.64,0.112,0.29,0.178,0.015,2.04,0.31,17.3,26.7,0
2021-11-25T18:44:45.000Z,19.51,-138.58,86.7,4,7,14,1.71,0.001,0.002,4.21,4.21,0.122,0.292,0.17,0.014,1.64,0.27,15.5,29.6,0
2021-11-25T18:44:45.000Z,19.51,-138.58,108.5,4,7,13,1.8,0.098,0.076,4.36,4.27,0.135,0.279,0.144,0.021,1.45,0.22,15.9,12.7,0
2021-11-25T18:44:45.000Z,19.51,-138.58,125.8,4,7,10,1.54,0.39,0.107,3.62,3.23,0.137,0.251,0.114,0.018,0.97,0.16,8.6,10.9,0
2021-11-25T18:44:45.000Z,19.51,-138.58,150.8,4,7,9,3.17,3.06,0.019,6.78,3.72,0.318,0.431,0.113,0.02,0.71,0.1,5.4,4.3,0
2021-11-25T18:44:45.000Z,19.51,-138.58,176.5,4,7,6,5.48,6.41,0.01,9.8,3.39,0.543,0.647,0.104,0.011,0.66,0.08,5,3.1,0
2021-11-25T18:44:45.000Z,19.51,-138.58,200.4,4,7,3,8.53,9.69,0.008,12.97,3.27,0.785,0.871,0.087,0.01,0.64,0.08,4.4,0.3,0
2021-11-26T13:30:36.000Z,17.67,-140.16,5,5,1,15,1.34,0.019,,,,0.161,,,0.011,1.92,0.28,15.4,24.5,0
2021-11-26T13:30:36.000Z,17.67,-140.16,15,5,1,9,1.42,0.002,,,,0.161,,,0.015,0,,,,
2021-11-26T13:30:36.000Z,17.67,-140.16,26,5,1,8,1.43,0.003,,,,0.163,,,0.009,0,,,,
2021-11-26T13:30:36.000Z,17.67,-140.16,45.2,5,1,6,1.41,0.002,,,,0.16,,,0.013,1.89,0.29,15.5,32.1,0
2021-11-26T13:30:36.000Z,17.67,-140.16,75.1,5,1,5,1.42,0.001,,,,0.154,,,0.035,0,,,,
2021-11-26T13:30:36.000Z,17.67,-140.16,100.1,5,1,3,2.5,0.009,,,,0.203,,,0.029,1.94,0.32,17.1,22.9,0
2021-11-26T13:30:36.000Z,17.67,-140.16,150.8,5,1,2,7.63,9.18,,,,0.844,,,0.01,0.8,0.13,7,8.5,0
2021-11-26T13:30:36.000Z,17.67,-140.16,200.1,5,1,1,17.62,17.27,,,,1.39,,,0.013,0,,,,
2021-11-27T13:27:52.000Z,13.95,-140,5,6,1,19,1.57,0.01,0.001,4.59,4.58,0.153,0.36,0.207,0.014,2.44,0.39,24.5,46.2,0
2021-11-27T13:27:52.000Z,13.95,-140,45.2,6,1,14,1.48,0.003,0,4.68,4.68,0.143,0.342,0.2,0.02,2.41,0.32,23.1,44.5,0
2021-11-27T13:27:52.000Z,13.95,-140,78.5,6,1,10,2.35,0.432,0.017,4.62,4.19,0.244,0.411,0.167,0.031,2.65,0.43,23.9,74.5,0
2021-11-27T13:27:52.000Z,13.95,-140,150.3,6,1,7,28.47,30.5,0.008,33.71,3.22,2.622,2.705,0.084,0.014,0.84,0.14,6.7,4.9,0
2021-11-27T13:27:52.000Z,13.95,-140,201.2,6,1,6,30.86,33.47,0.004,36.79,3.32,2.697,2.713,0.015,0.012,0,,,,
2021-11-27T16:33:48.000Z,13.95,-140,15.2,6,2,19,1.48,0.002,0.001,5.11,5.11,0.212,0.438,0.226,0.014,0,,,,
2021-11-27T16:33:48.000Z,13.95,-140,25.5,6,2,17,1.48,0.004,0.018,4.78,4.78,0.212,0.431,0.219,0.016,0,,,,
2021-11-27T16:33:48.000Z,13.95,-140,75,6,2,15,2.43,0.436,0.02,4.91,4.48,0.205,0.389,0.184,0.02,0,,,,
2021-11-27T16:33:48.000Z,13.95,-140,101.8,6,2,4,11.63,14.85,0.397,19.06,4.22,1.29,1.403,0.113,0.03,0,,,,
2021-11-27T21:40:00.000Z,13.85,-140.01,4.5,underway,,,1.76,0.007,0,5.01,5.01,0.208,0.417,0.209,0.014,,,,,
2021-11-28T01:30:00.000Z,12.44,-140,4.5,underway,,,1.89,0.006,0,5.38,5.37,0.224,0.456,0.232,0.03,,,29,169.9,0
2021-11-28T05:30:00.000Z,11.62,-140,4.5,underway,,,1.45,0.006,0.003,4.72,4.71,0.166,0.386,0.22,0.02,,,,,
2021-11-28T22:03:26.000Z,10.7,-139.99,4.5,7,4,24,1.66,0.06,0.005,4.61,4.55,0.167,0.36,0.192,0.041,2.92,0.43,19.2,41.8,0
2021-11-28T22:03:26.000Z,10.7,-139.99,14.9,7,4,22,1.6,0.01,0.005,4.64,4.63,0.146,0.342,0.196,0.016,2.68,0.37,16.6,80.9,1
2021-11-28T22:03:26.000Z,10.7,-139.99,25.6,7,4,21,1.69,0.07,0.003,4.85,4.78,0.168,0.354,0.186,0.017,2.78,0.39,21.5,57.3,0
2021-11-28T22:03:26.000Z,10.7,-139.99,54.6,7,4,19,8.43,10.19,0.171,14.51,4.32,0.967,1.094,0.127,0.044,4.54,0.73,40,81.6,0
2021-11-28T22:03:26.000Z,10.7,-139.99,74.3,7,4,16,22.23,28.73,0.379,32.38,3.65,2.323,2.432,0.109,0.117,2.61,0.44,18.5,54.3,0
2021-11-28T22:03:26.000Z,10.7,-139.99,85.2,7,4,15,25.68,31.15,0.186,34.46,3.31,2.522,2.582,0.06,0.075,1.62,0.26,12.4,114.3,1
2021-11-28T22:03:26.000Z,10.7,-139.99,100.6,7,4,13,27.27,31.72,0.043,35.05,3.33,2.54,2.6,0.06,0.047,1.21,0.19,9.5,3.4,1
2021-11-28T22:03:26.000Z,10.7,-139.99,125.5,7,4,11,28.53,33.87,0.007,36.74,2.87,2.538,2.618,0.079,0.017,0.4,0.07,7.1,15.9,0
2021-11-28T22:03:26.000Z,10.7,-139.99,149.9,7,4,7,30.87,34.56,0.008,37.34,2.78,2.546,2.628,0.082,0.023,0.68,0.08,5.5,22.9,0
2021-11-28T22:03:26.000Z,10.7,-139.99,176.8,7,4,4,31,34.55,0.008,37.66,3.11,2.554,2.593,0.039,0.019,0.94,0.11,3.7,2.3,0
2021-11-28T22:03:26.000Z,10.7,-139.99,200.4,7,4,2,31.23,34.6,0.004,37.73,3.13,2.532,2.582,0.05,0.022,1.51,0.19,3.8,1.3,0
2021-11-30T05:30:00.000Z,9.67,-140,4.5,underway,,,1.33,0.006,0.004,4.53,4.52,0.149,0.346,0.197,0.019,,,,,
2021-11-30T09:30:00.000Z,7.93,-140,4.5,underway,,,1.3,0.007,,4.47,4.46,0.154,0.348,0.195,0.019,,,,,
2021-11-30T13:29:16.000Z,8.39,-140,5,8,1,20,1.54,0.006,,,,0.361,,,0.02,2.25,0.36,21.9,36.4,0
2021-11-30T13:29:16.000Z,8.39,-140,15.7,8,1,11,1.51,0.003,,,,0.161,,,0.017,2.37,0.36,23.2,36.7,0
2021-11-30T13:29:16.000Z,8.39,-140,26.7,8,1,9,1.49,0.003,,,,0.168,,,0.013,2.37,0.34,20.3,28.2,0
2021-11-30T13:29:16.000Z,8.39,-140,65.3,8,1,7,27.28,31.12,,,,2.339,,,0.055,3.34,0.51,28.2,53.6,0
2021-11-30T13:29:16.000Z,8.39,-140,151.4,8,1,3,,,,,,,,,0.011,0.97,0.14,6.8,19.1,0
2021-12-01T04:00:00.000Z,6.66,-140.01,4.5,underway,,,1.49,0.4,0.033,5.29,4.89,0.219,0.413,0.194,0.07,,,,,
2021-12-01T06:00:00.000Z,5.91,-140,4.5,underway,,,1.81,1.07,0.043,5.84,4.77,0.268,0.47,0.202,0.122,,,,,
2021-12-01T08:49:00.000Z,5.36,-140,4.5,underway,,,2.33,2.91,0.155,7.9,4.99,0.409,0.572,0.163,0.179,,,,,
2021-12-01T22:04:11.000Z,4.77,-139.99,5.2,9,4,24,2.56,2.93,0.087,6.7,3.76,0.453,0.646,0.193,0.249,3.19,0.51,40.6,63.7,0
2021-12-01T22:04:11.000Z,4.77,-139.99,15,9,4,23,2.5,2.9,0.089,7.72,4.81,0.437,0.607,0.17,0.244,3.83,0.63,39,112,0
2021-12-01T22:04:11.000Z,4.77,-139.99,24.5,9,4,21,2.61,3.17,0.094,8.66,5.49,0.462,0.652,0.19,0.249,4.13,0.67,41.4,64.3,0
2021-12-01T22:04:11.000Z,4.77,-139.99,45.4,9,4,18,2.64,3.35,0.108,8.75,5.4,0.465,0.641,0.176,0.271,4.07,0.66,43.2,69.9,0
2021-12-01T22:04:11.000Z,4.77,-139.99,75.1,9,4,16,2.85,3.9,0.144,7.69,3.79,0.498,0.695,0.197,0.303,3.21,0.53,43.2,58.6,0
2021-12-01T22:04:11.000Z,4.77,-139.99,84.4,9,4,15,3,4.35,0.138,8.71,4.36,0.522,0.71,0.188,0.328,2.85,0.48,39.9,69.9,0
2021-12-01T22:04:11.000Z,4.77,-139.99,99.7,9,4,13,3.66,5.77,0.152,9.42,3.66,0.62,0.792,0.172,0.507,2.34,0.39,24.3,33.3,0
2021-12-01T22:04:11.000Z,4.77,-139.99,125.2,9,4,10,4.69,7.87,0.756,12.61,4.74,0.766,0.916,0.15,0.645,1.6,0.27,16.3,21.7,0
2021-12-01T22:04:11.000Z,4.77,-139.99,150.2,9,4,7,7.07,11.45,0.855,15.97,4.52,0.987,1.136,0.149,0.501,1.47,0.21,13.1,14.4,0
2021-12-01T22:04:11.000Z,4.77,-139.99,176.2,9,4,6,15.2,19.88,0.03,23.36,3.48,1.528,1.645,0.117,0.009,1.07,0.15,10.5,16.9,0
2021-12-01T22:04:11.000Z,4.77,-139.99,201.3,9,4,3,26.1,29.72,0.007,31.94,2.21,2.215,2.33,0.115,0.021,0.9,0.13,31.9,0,0
2021-12-02T22:40:00.000Z,3.58,-140,4.5,underway,,,2.25,2.16,0.063,7.56,5.4,0.395,0.577,0.181,0.135,,,,,
2021-12-03T01:07:00.000Z,3.18,-140,4.5,underway,,,2.06,1.76,0.051,6.85,5.09,0.359,0.544,0.185,0.132,,,,,
2021-12-03T04:32:00.000Z,2.54,-140,4.5,underway,,,2.08,1.87,0.073,7.22,5.35,0.346,0.548,0.202,0.121,,,,,
2021-12-03T09:28:00.000Z,1.63,-140,4.5,underway,,,2.11,1.85,0.151,7.07,5.22,0.325,0.506,0.181,0.143,,,,,
2021-12-03T13:27:38.000Z,1.12,-140.01,5,10,1,18,2.27,2.12,,,,0.371,,,0.117,3.75,0.61,40.8,46.5,0
2021-12-03T13:27:38.000Z,1.12,-140.01,25.1,10,1,10,2.27,2.11,,,,0.368,,,0.116,3.19,0.52,38.4,54.6,0
2021-12-03T13:27:38.000Z,1.12,-140.01,45.5,10,1,7,2.39,2.35,,,,0.389,,,0.144,4.55,0.82,39.6,60.3,0
2021-12-03T13:27:38.000Z,1.12,-140.01,99.7,10,1,5,13,20.47,,,,1.515,,,0.018,1.3,0.21,12.3,18.6,0
2021-12-03T13:27:38.000Z,1.12,-140.01,151.2,10,1,3,20.21,28.76,,,,1.871,,,0.016,0.97,0.14,9.4,4.7,0
2021-12-03T21:25:00.000Z,0.46,-140,4.5,underway,,,1.97,2.65,0.323,5.98,3.32,0.388,0.509,0.121,0.265,,,,,
2021-12-04T05:58:55.000Z,0,-140,5,11,1,24,3.59,5.87,0.648,11.08,5.21,0.623,0.8,0.178,0.057,4.5,0.7,45,96.6,0
2021-12-04T05:58:55.000Z,0,-140,15,11,1,23,3.57,5.86,0.675,11.52,5.66,0.604,0.796,0.192,0.057,4.64,0.7,49,88.1,0
2021-12-04T05:58:55.000Z,0,-140,25.1,11,1,20,3.6,6.07,0.807,11.22,5.15,0.624,0.798,0.174,0.042,4.57,0.72,48.5,101.5,0
2021-12-04T05:58:55.000Z,0,-140,44.9,11,1,18,4.01,7.09,0.739,12.84,5.75,0.697,0.863,0.166,0.201,3.87,0.61,36.9,277.6,1
2021-12-04T05:58:55.000Z,0,-140,75.4,11,1,16,7.47,12.24,0.891,16.87,4.63,0.993,1.132,0.139,0.022,1.91,0.32,17.7,24.9,0
2021-12-04T05:58:55.000Z,0,-140,85.2,11,1,15,8.49,12.99,0.541,17.48,4.49,1.04,1.165,0.124,0.014,1.58,0.26,15.5,20.3,0
2021-12-04T05:58:55.000Z,0,-140,100.3,11,1,13,10.32,13.63,0.101,16.78,3.16,1.055,1.164,0.109,0.014,1.17,0.19,12.3,15,0
2021-12-04T05:58:55.000Z,0,-140,124.9,11,1,11,8.99,13.85,0.023,17.03,3.18,1.103,1.215,0.111,0.017,1.05,0.17,11.4,9.9,0
2021-12-04T05:58:55.000Z,0,-140,151.3,11,1,8,11.06,15.97,0.007,18.87,2.9,1.232,1.321,0.088,0.012,0.73,0.1,7,4.3,0
2021-12-04T05:58:55.000Z,0,-140,175.6,11,1,6,12.09,17.21,0.009,19.31,2.1,1.314,1.414,0.1,0.02,0.86,0.1,6.8,4.5,0
