Batch,Organism,Blk_ID
Bacteria,DSS3,220111_Blk_MediaBlk_A_pos
Bacteria,OCh114,220111_Blk_MediaBlk_A_pos
Bacteria,SA7,220111_Blk_MediaBlk_A_pos
Bacteria,SA11,220111_Blk_MediaBlk_A_pos
Bacteria,SA16,220111_Blk_MediaBlk_A_pos
Bacteria,SA36,220111_Blk_MediaBlk_A_pos
Bacteria,SA42,220111_Blk_MediaBlk_A_pos
Bacteria,SA44,220111_Blk_MediaBlk_A_pos
Bacteria,SA48,220111_Blk_MediaBlk_A_pos
Bacteria,SA53,220111_Blk_MediaBlk_A_pos
Bacteria,SA55,220111_Blk_MediaBlk_A_pos
Bacteria,SA59,220111_Blk_MediaBlk_A_pos
Bacteria,SA60,220111_Blk_MediaBlk_A_pos
Bacteria,Nmar,220111_Blk_MediaBlk_AOA_pos
Bacteria,DSS3,220111_Blk_MediaBlk_B_pos
Bacteria,OCh114,220111_Blk_MediaBlk_B_pos
Bacteria,SA7,220111_Blk_MediaBlk_B_pos
Bacteria,SA11,220111_Blk_MediaBlk_B_pos
Bacteria,SA16,220111_Blk_MediaBlk_B_pos
Bacteria,SA36,220111_Blk_MediaBlk_B_pos
Bacteria,SA42,220111_Blk_MediaBlk_B_pos
Bacteria,SA44,220111_Blk_MediaBlk_B_pos
Bacteria,SA48,220111_Blk_MediaBlk_B_pos
Bacteria,SA53,220111_Blk_MediaBlk_B_pos
Bacteria,SA55,220111_Blk_MediaBlk_B_pos
Bacteria,SA59,220111_Blk_MediaBlk_B_pos
Bacteria,SA60,220111_Blk_MediaBlk_B_pos
Bacteria,Nmar,220111_Blk_MediaBlk_B_pos
Cyano,1314P,211221_Blk_MediaBlk_1314P_pos
Cyano,7803,211221_Blk_MediaBlk_C_pos
Cyano,8102,211221_Blk_MediaBlk_C_pos
Cyano,WH8501,211221_Blk_MediaBlk_A_pos
Cyano,As9601,211221_Blk_MediaBlk_As9601_pos
Cyano,MED4,211221_Blk_MediaBlk_C_pos
Cyano,NATL2A,211221_Blk_MediaBlk_Nat_pos
Diatom,Cy,211215_Blk_MediaBlk_A_pos
Diatom,Fc,211215_Blk_MediaBlk_Fc_pos
Diatom,Np,211215_Blk_MediaBlk_Z_pos
Diatom,Pc55x,211215_Blk_MediaBlk_Pc55x_pos
Diatom,Pt,211215_Blk_MediaBlk_Z_pos
Diatom,To,211215_Blk_MediaBlk_B_pos
Diatom,Tp,211215_Blk_MediaBlk_Z_pos
Dino_Green,449,211218_Blk_MediaBlk_49_pos
Dino_Green,1314,211218_Blk_MediaBlk_N_pos
Dino_Green,1314,211218_Blk_MediaBlk_O_pos
Dino_Green,1545,211218_Blk_MediaBlk_N_pos
Dino_Green,1545,211218_Blk_MediaBlk_O_pos
Dino_Green,1771,211218_Blk_MediaBlk_71_pos
Dino_Green,2021,211218_Blk_MediaBlk_21_pos
Dino_Green,3430,211218_Blk_MediaBlk_3430_pos
Haptophyte,116,220104_Blk_MediaBlk_RAC5_pos
Haptophyte,371,220104_Blk_MediaBlk_H_pos
Haptophyte,2090,220104_Blk_MediaBlk_C_pos
Haptophyte,Ca,220104_Blk_MediaBlk_LInoSi_pos
Haptophyte,Cr,220104_Blk_MediaBlk_LInoSi_pos
Haptophyte,Cs,220104_Blk_MediaBlk_LInoSi_pos
Haptophyte,P3,220104_Blk_MediaBlk_RAC5_pos
Haptophyte,P5,220104_Blk_MediaBlk_RAC5_pos
