Samp_ID,Batch,Organism,Vol_mL,cells_filt,cell_volume_on_filter_uL,
220111_Smp_DSS3_A_pos,Bacteria,DSS3,30,4475028000,,
220111_Smp_DSS3_B_pos,Bacteria,DSS3,30,5213700000,,
220111_Smp_DSS3_C_pos,Bacteria,DSS3,30,4784448000,,
220111_Smp_Och_A_pos,Bacteria,OCh114,30,174627000,,
220111_Smp_Och_B_pos,Bacteria,OCh114,30,156178731.8,,
220111_Smp_Och_C_pos,Bacteria,OCh114,30,222528000,,
220111_Smp_SA7_A_pos,Bacteria,SA7,30,283452000,,
220111_Smp_SA7_B_pos,Bacteria,SA7,25,374670000,,
220111_Smp_SA7_C_pos,Bacteria,SA7,25,354340000,,
220111_Smp_SA11_A_pos,Bacteria,SA11,30,4045536000,,
220111_Smp_SA11_B_pos,Bacteria,SA11,30,4091220000,,
220111_Smp_SA11_C_pos,Bacteria,SA11,30,3661488000,,
220111_Smp_SA16_A_pos,Bacteria,SA16,30,3189528000,,
220111_Smp_SA16_B_pos,Bacteria,SA16,30,3762636000,,
220111_Smp_SA16_C_pos,Bacteria,SA16,30,3630012000,,
220111_Smp_SA36_A_pos,Bacteria,SA36,30,11590512000,,
220111_Smp_SA36_B_pos,Bacteria,SA36,30,13925648712,,
220111_Smp_SA36_C_pos,Bacteria,SA36,30,11666856000,,
220111_Smp_SA42_A_pos,Bacteria,SA42,30,5809488000,,
220111_Smp_SA44_B_pos,Bacteria,SA44,30,4568196000,,
220111_Smp_SA44_C_pos,Bacteria,SA44,30,5476944000,,
220111_Smp_SA48_A_pos,Bacteria,SA48,20,2170080000,,
220111_Smp_SA48_B_pos,Bacteria,SA48,20,1682880000,,
220111_Smp_SA48_C_pos,Bacteria,SA48,30,3990192000,,
220111_Smp_SA53_A_pos,Bacteria,SA53,30,5435388000,,
220111_Smp_SA53_B_pos,Bacteria,SA53,25,5601480000,,
220111_Smp_SA53_C_pos,Bacteria,SA53,25,6707280000,,
220111_Smp_SA55_A_pos,Bacteria,SA55,30,7750872000,,
220111_Smp_SA55_B_pos,Bacteria,SA55,30,3632928000,,
220111_Smp_SA55_C_pos,Bacteria,SA55,30,1607352000,,
220111_Smp_SA59_A_pos,Bacteria,SA59,30,3386280000,,
220111_Smp_SA59_B_pos,Bacteria,SA59,30,3313188000,,
220111_Smp_SA59_C_pos,Bacteria,SA59,30,3475224000,,
220111_Smp_SA60_A_pos,Bacteria,SA60,30,1642140000,,
220111_Smp_SA60_B_pos,Bacteria,SA60,25,1896700000,,
220111_Smp_SCM1_Exp1_pos,Bacteria,Nmar,,,0.11362,
220111_Smp_SCM1_Exp2_pos,Bacteria,Nmar,,,0.10396,
220111_Smp_SCM1_Exp3_pos,Bacteria,Nmar,,,0.09982,
