SampID,Station,Lat,Long,Vol_L,Replicate,Size_Fraction
170706_Smp_S3E15D15_A,3,28.46,158,10,A,F
170706_Smp_S3E15D15_B,3,28.46,158,10,B,F
170706_Smp_S3E15D15_C,3,28.46,158,10,C,F
170706_Smp_S3E15E15_Ds,3,28.46,158,10,D,S
170706_Smp_S4E16D15_A,4,32.35,158,10,A,F
170706_Smp_S4E16D15_B,4,32.35,158,10,B,F
170706_Smp_S4E16D15_C,4,32.35,158,10,C,F
170706_Smp_S4E16D15_Ds,4,32.35,158,10,D,S
170706_Smp_S5E28D15_A,5,36.05,158,10,A,F
170706_Smp_S5E28D15_B,5,36.05,158,10,B,F
170706_Smp_S5E28D15_C,5,36.05,158,10,C,F
170706_Smp_S5E28D15_Ds,5,36.05,158,9.5,D,S
170706_Smp_S6E37D15_A,6,39.75,158,10,A,F
170706_Smp_S6E37D15_B,6,39.75,158,10,B,F
170706_Smp_S6E37D15_C,6,39.75,158,10,C,F
170706_Smp_S6E37D15_Ds,6,39.75,158,8.5,D,S
