Sample ID,Vol Filtered (L)
MU1_A,10 L
MU1_B,10 L
MU1_C,10 L
MU2_A,10 L
MU2_B,10 L
MU2_C,10 L
MU3_A,10 L
MU3_B,10 L
MU3_C,10 L
MU4_A,10 L
MU4_B,10 L
MU4_C,10 L
MU5_A,10 L
MU5_B,10 L
MU5_C,10 L
MBlk1_A,10 L
MBlk1_B,10 L
MU6_A,10 L
MU6_B,10 L
MU6_C,10 L
MU7_A,10 L
MU7_B,10 L
MU7_C,10 L
MU8_A,10 L
MU8_B,10 L
MU8_C,10 L
MU9_A,10 L
MU9_B,10 L
MU9_C,10 L
MU10_A,10 L
MU10_B,10 L
MU10_C,10 L
MS3C1_A,10 L
MS3C1_B,10 L
MS3C1_C,10 L
MU11_A,10 L
MU11_B,10 L
MU11_C,10 L
MMQBlk1_A,2L
MMQBlk1_B,2L
MS4C3D15_A,10L
MS4C3D15_B,10L
MS4C3D15_C,10L
MS4C4D15_A,10L
MS4C4D15_B,10L
MS4C4D15_C,10L
MS4C7D15_A,10L
MS4C7D15_B,10L
MS4C7D15_C,10L
MS4C8D15_A,10L
MS4C8D15_B,10L
MS4C8D15_C,10L
MS4C11D15_A,10L
MS4C11D15_B,10L
MS4C11D15_C,10L
MS4C13D15_A,10L
MS4C13D15_B,10L
MS4C13D15_C,10L
MS4C15D15_A,10L
MS4C15D15_B,10L
MS4C15D15_C,10L
MS4C16D15_A,10L
MS4C16D15_B,10L
MS4C16D15_C,10L
MS4C18D15_A,10L
MS4C18D15_B,10L
MS4C18D15_C,10L
MS4C19D15_A,10L
MS4C19D15_B,10L
MS4C19D15_C,10L
MS4C21D15_A,10L
MS4C21D15_B,10L
MS4C21D15_C,10L
MS4C23D15_A,10L
MS4C23D15_B,10L
MS4C23D15_C,10L
MS4C25D15_A,10L
MS4C25D15_B,8L
MS4C25D15_C,8L
MS4C27D40_A,10L
MS4C27D40_B,10L
MS4C27D40_C,10L
MS4C27D70_A,10L
MS4C27D70_B,10L
MS4C27D70_C,10L
MS4C27D125_A,10L
MS4C27D125_B,10L
MS4C27D125_C,10L
MS4C27D300_A,20L
MS4C27D300_B,20L
MS4C27D300_C,20L
MS4C27D500_A,20L
MS4C27D500_B,20L
MS4C27D500_C,20L
MS4C28D15_A,10L
MS4C28D15_B,10L
MS4C28D15_C,10L
MS4C30D15_A,10L
MS4C30D15_B,10L
MS4C30D15_C,10L
MS4C31D15_A,10L
MS4C31D15_B,10L
MS4C31D15_C,10L
MS5C3D1000_A,20L
MS5C3D1000_B,20L
MS5C3D1000_C,20L
MS5C3D400_A,20L
MS5C3D400_B,20L
MS5C3D400_C,20L
MS5C3D200_A,10L
MS5C3D200_B,10L
MS5C3D200_C,10.5L
MS5C3D125_A,10L
MS5C3D125_B,10L
MS5C3D125_C,10L
MS5C3D80_A,10L
MS5C3D80_B,10L
MS5C3D80_C,10L
MU12_A,10L
MU12_B,10L
MU12_C,10L
MS6C3D1000_A,20L
MS6C3D1000_B,20L
MS6C3D1000_C,20L
MS6C3D400_A,20L
MS6C3D400_B,20L
MS6C3D400_C,20L
MS6C3D200_A,10L
MS6C3D200_B,10L
MS6C3D200_C,10L
MS6C3D115_A,10L
MS6C3D115_B,10L
MS6C3D115_C,10L
MS6C3D75_A,10L
MS6C3D75_B,10L
MS6C3D75_C,10L
MU13_A,10L
MU13_B,10L
MU13_C,10L
MS6C31000_BlkA,10L
MS6C31000_BlkB,10L
MS6C31000_BlkC,10L
MU14_A,10L
MU14_B,10L
MU14_C,10L
MU14_BlkC,10L
MU15_A,10L
MU15_B,10L
MU15_C,10L
MU16_A,10L
MU16_B,10L
MU16_C,10L
MU17_A,10L
MU17_B,10L
MU17_C,10L
MU18_A,10L
MU18_B,10L
MU18_C,10L
MU19_A,10L
MU19_B,10L
MU19_C,10L
QC_1,40L
QC_2,41L
MU0.2_Blk1,2.1L
MU0.2_Blk2,2.1L
MU0.3_Blk1,2.1L
MU0.3_Blk2,2.1L
MU0.2_PreBlk1,2.1L
MU0.2_PreBlk2,2.1L
MU0.3_PreBlk1,2.1L
MU0.3_PreBlk2,2.1L
MU20_A,10L
MU20_B,10L
MU20_C,10L
MU21_A,10L
MU21_B,10L
MU21_C,10L
MU22_A,10L
MU22_B,10L
MU22_C,10L
MU23_A,10L
MU23_B,10L
MU23_C,10L
MU24_A,10L
MU24_B,10L
MU24_C,10L
MU25_A,60L
MU25_B,60L
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
