Samp_ID,Local_Date,Local_Time,Lat_N,Long_W
TN397_U1_A,18/11/2021,22:00,32.25921,117.3388
TN397_U1_B,18/11/2021,22:00,32.25921,117.3388
TN397_U1_C,18/11/2021,22:00,32.25921,117.3388
TN397_U2_A,19/11/2021,0:00,32.11654,117.58582
TN397_U2_B,19/11/2021,0:00,32.11654,117.58582
TN397_U2_C,19/11/2021,0:00,32.11654,117.58582
TN397_U3_A,19/11/2021,2:09,31.5634,118.25816
TN397_U3_B,19/11/2021,2:09,31.5634,118.25816
TN397_U3_C,19/11/2021,2:09,31.5634,118.25816
TN397_U4_A,19/11/2021,6:10,31.26598,119.15959
TN397_U4_B,19/11/2021,6:10,31.26598,119.15959
TN397_U4_C,19/11/2021,6:10,31.26598,119.15959
TN397_MQBlk1_A,19/11/2021,14:30,NA,NA
TN397_MQBlk1_B,19/11/2021,14:30,NA,NA
TN397_MQBlk1_C,19/11/2021,14:30,NA,NA
TN397_UnfiltMQ1_A,19/11/2021,14:55,NA,NA
TN397_UnfiltMQ1_B,19/11/2021,14:55,NA,NA
TN397_UnfiltMQ1_C,19/11/2021,14:55,NA,NA
TN397_U5_A,19/11/2021,17:11,30.10413,121.27565
TN397_U5_B,19/11/2021,17:11,30.10413,121.27565
TN397_U5_C,19/11/2021,17:11,30.10413,121.27565
TN397_DFBlk1_A,19/11/2021,17:11,30.10413,121.27565
TN397_DFBlk1_B,19/11/2021,17:11,30.10413,121.27565
TN397_DFBlk1_C,19/11/2021,17:11,30.10413,121.27565
TN397_S1_U_A,20/11/2021,6:22,28.32288,124.13627
TN397_S1_U_B,20/11/2021,6:22,28.32288,124.13627
TN397_S1_U_C,20/11/2021,6:22,28.32288,124.13627
TN397_S2_U_A,21/11/2021,6:45,27.0673,126.6739
TN397_S2_U_B,21/11/2021,6:45,27.0673,126.6739
TN397_S2_U_C,21/11/2021,6:45,27.0673,126.6739
TN397_U6_A,21/11/2021,17:50,25.98,128.46
TN397_U6_B,21/11/2021,17:55,25.98,128.46
TN397_U6_C,21/11/2021,18:00,25.98,128.46
TN397_U7_A,22/11/2021,6:54,24.43,130.99
TN397_U7_B,22/11/2021,6:54,24.43,130.99
TN397_U7_C,22/11/2021,6:54,24.43,130.99
TN397_U8_BB,22/11/2021,13:40,,
TN397_S3_U_A,23/11/2021,6:10,21,135
TN397_S3_U_B,23/11/2021,6:10,21,135
TN397_S3_U_C,23/11/2021,6:10,21,135
TN397_S4_U_600_A,24/11/2021,6:19,19.6377,138.6154
TN397_S4_U_600_B,24/11/2021,6:19,19.6377,138.6154
TN397_S4_U_600_C,24/11/2021,6:19,19.6377,138.6154
TN397_S4_U_1800_A,24/11/2021,17:36,19.69,138.58
TN397_S4_U_1800_B,24/11/2021,17:40,19.69,138.58
TN397_S4_U_1800_C,24/11/2021,17:41,19.69,138.58
TN397_S4_2400_U_A,24/11/2021,23:04,19.639,138.6135
TN397_S4_2400_U_B,24/11/2021,23:05,19.639,138.6135
TN397_S4_2400_U_C,24/11/2021,23:06,19.639,138.6135
TN397_S6_U_A,27/11/2021,6:24,13.9487,140.0016
TN397_S6_U_B,27/11/2021,6:24,13.9487,140.0016
TN397_S6_U_C,27/11/2021,6:24,13.9487,140.0016
TN397_U9_A,27/11/2021,17:54,12.389,139.9989
TN397_U9_B,27/11/2021,17:54,12.389,139.9989
TN397_U9_C,27/11/2021,17:54,12.389,139.9989
TN397_S7_600_U_A,28/11/2021,6:18,10.6974,139.998
TN397_S7_600_U_B,28/11/2021,6:18,10.6974,139.998
TN397_S7_600_U_C,28/11/2021,6:18,10.6974,139.998
TN397_S7_1800_U_A,28/11/2021,17:52,10.6979,-139.9975
TN397_S7_1800_U_B,28/11/2021,17:52,10.6979,-139.9975
TN397_S7_1800_U_C,28/11/2021,17:52,10.6979,-139.9975
TN397_S8_U_A,30/11/2021,6:17,8.388,-139.9961
TN397_S8_U_B,30/11/2021,6:17,8.388,-139.9961
TN397_S8_U_C,30/11/2021,6:17,8.388,-139.9961
TN397_U10_A,30/11/2021,17:48,6.7602,-140.002
TN397_U10_B,30/11/2021,17:48,6.7602,-140.002
TN397_U10_C,30/11/2021,17:48,6.7602,-140.002
TN397_S9_600_U_A,1/12/21,6:15,4.7508,-140.0005
TN397_S9_600_U_B,1/12/21,6:15,4.7508,-140.0005
TN397_S9_600_U_C,1/12/21,6:15,4.7508,-140.0005
TN397_S9_BB_A,1/12/21,8:30,4.7508,-140.0005
TN397_S9_BB_B,1/12/21,8:30,4.7508,-140.0005
TN397_S9_1800_U_A,1/12/21,18:00,4.7695,-139.9879
TN397_S9_1800_U_B,1/12/21,18:00,4.7695,-139.9879
TN397_S9_1800_U_C,1/12/21,18:00,4.7695,-139.9879
TN397_U11_A,2/12/21,18:00,3.015,-140.0059
TN397_U11_B,2/12/21,18:00,3.015,-140.0059
TN397_U11_C,2/12/21,18:00,3.015,-140.0059
TN397_S10_U_A,3/12/21,6:00,1.1248,-140.0051
TN397_S10_U_B,3/12/21,6:00,1.1248,-140.0051
TN397_S10_U_C,3/12/21,6:00,1.1248,-140.0051
TN397_S11_600_U_A,4/12/21,6:00,0.1459,-139.9081
TN397_S11_600_U_B,4/12/21,6:00,0.1459,-139.9081
TN397_S11_600_U_C,4/12/21,6:00,0.1459,-139.9081
TN397_S11_1800_U_A,4/12/21,18:05,0.299,-139.8577
TN397_S11_1800_U_B,4/12/21,18:05,0.299,-139.8577
TN397_S11_1800_U_C,4/12/21,18:05,0.299,-139.8577
TN397_U12_A,5/12/21,18:00,-1.06,-140.0009
TN397_U12_B,5/12/21,18:00,-1.06,-140.0009
TN397_U12_C,5/12/21,18:00,-1.06,-140.0009
TN397_S12_800_U_A,6/12/21,8:00,-2.489,-140.01
TN397_S12_800_U_B,6/12/21,8:00,-2.489,-140.01
TN397_S12_800_U_C,6/12/21,8:00,-2.489,-140.01
TN397_S12_800_U_Vit,6/12/21,8:00,-2.489,-140.01
TN397_S12_1800_U_A,6/12/21,18:00,-2.489,-140.01
TN397_S12_1800_U_B,6/12/21,18:00,-2.489,-140.01
TN397_S12_1800_U_C,6/12/21,18:00,-2.489,-140.01
TN397_S12_Blk_A,6/12/21,18:00,-2.489,-140.01
TN397_S12_Blk_B,6/12/21,18:00,-2.489,-140.01
TN397_S12_Blk_C,6/12/21,18:00,-2.489,-140.01
TN397_S12_600_U_A,7/12/21,6:06,-2.249,-140.26
TN397_S12_600_U_B,7/12/21,6:06,-2.249,-140.26
TN397_S12_600_U_C,7/12/21,6:06,-2.249,-140.26
TN397_U13_A,7/12/21,11:09,-1.3236,-140.8926
TN397_U13_B,7/12/21,11:09,-1.3236,-140.8926
TN397_U13_C,7/12/21,11:09,-1.3236,-140.8926
TN397_S13_1800_U_A,7/12/21,18:22,0.01,-141.8458
TN397_S13_1800_U_B,7/12/21,18:22,0.01,-141.8458
TN397_S13_1800_U_C,7/12/21,18:22,0.01,-141.8458
TN397_S14_U_A,9/12/21,6:27,3.5272,-144.4492
TN397_S14_U_B,9/12/21,6:27,3.5272,-144.4492
TN397_S14_U_C,9/12/21,6:27,3.5272,-144.4492
TN397_S15_U_A,10/12/21,6:30,6.4995,-146.652
TN397_S15_U_B,10/12/21,6:30,6.4995,-146.652
TN397_S15_U_C,10/12/21,6:30,6.4995,-146.652
TN397_S16_U_A,11/12/21,6:00,9.2497,-148.6967
TN397_S16_U_B,11/12/21,6:00,9.2497,-148.6967
TN397_S16_U_C,11/12/21,6:00,9.2497,-148.6967
TN397_S17_U_A,12/12/21,6:00,11.92,-150.6948
TN397_S17_U_B,12/12/21,6:00,11.92,-150.6948
TN397_S17_U_C,12/12/21,6:00,11.92,-150.6948
TN397_S18_U_A,13/12/2021,6:40,14.772,-152.8644
TN397_S18_U_B,13/12/2022,6:40,14.772,-152.8644
TN397_S18_U_C,13/12/2023,6:40,14.772,-152.8644
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
