KinExp_ID,Diss_Samp_ID,Compound,Lat,Long,Region
KM1906_UKG1,KM1906_GBTK1,GBt,41.68,-158.05,NPTZ
KM1906_UKG2,MU12,GBt,37,-158,NPTZ
RC078_UKG1,RC078_S7_C3_D6,GBt,47.8208,-122.4661,Coastal
RC104_UKG1,RC104_UCH1,GBt,,,Coastal
TN412_UKG,G5_UKG1,GBt,8.54,147.27,Gyre
RC078_UKH1,RC078_UKH1,Homarine,48.2485,-122.9931,Coastal
RC078_UKH2,RC078_UKH2,Homarine,48.8224,-122.894,Coastal
RC104_UKH1,RC104_UKH1,Homarine,,,Coastal
TN397_UKH1,TN397_UKH1,Homarine,17.116,-140.001,Gyre
TN397_UKH2,TN397_UKH2,Homarine,10.6996,-139.99,Gyre
TN397_UKH3,TN397_UKH3,Homarine,4.7687,-139.9881,Equatorial
TN397_UKH4,TN397_UKH4,Homarine,-0.192,-140.001,Equatorial
TN397_UKH5,TN397_UKH5,Homarine,6.9778,-147.0038,Equatorial
