KinExp_ID,Diss_Samp_ID,Compound,Lat,Long,Region,Exp_Time_Local,Exp_Date_Local,Exp_Time_UTC,Exp_Date_UTC,RC078_CTD_matching
KM1906_UKG1,KM1906_GBTK1_0nM,GBt,41.68,-158.05,NPTZ,6:00,4/16/19,15:00,4/16/19,
KM1906_UKG2,KM1906_GBT_F2_T0,GBt,37,-158,NPTZ,6:00,4/20/19,13:00,4/20/19,
RC078_UKG1,RC078_S7_C3_D6,GBt,47.8208,-122.4661,Coastal,13:55,6/8/22,20:55,6/8/22,S7_C3_D6
RC104_UKG1,RC104_UCH1,GBt,48.1517,-123.001,Coastal,15:57,9/3/23,22:57,9/3/23,
TN412_UKG,G5_UKG1,GBt,25.4883,-129.298,Gyre,7:22,2/14/23,16:22,2/14/23,
RC078_UKH1,RC078_UKH1,Homarine,48.2485,-122.9931,Coastal,14:11,6/4/22,21:11,6/4/22,S2_C4_D6
RC078_UKH2,RC078_UKH2,Homarine,48.8224,-122.894,Coastal,8:17,6/7/22,15:17,6/7/22,S5_C3_D3
RC104_UKH1,RC104_UKH1,Homarine,48.1538,-123.0172,Coastal,13:52,9/1/23,20:52,9/1/23,
TN397_UKH1,UKH1_0nM,Homarine,17.116,-140.001,Gyre,12:53,11/26/21,20:53,11/26/21,
TN397_UKH2,UKH2_0nM,Homarine,10.6996,-139.99,Gyre,13:11,11/28/21,21:11,11/28/21,
TN397_UKH3,UKH3_0nM,Homarine,4.7687,-139.9881,Equatorial,13:41,12/1/21,21:41,12/1/21,
TN397_UKH4,UKH4_0nM,Homarine,-0.192,-140.001,Equatorial,13:15,12/5/21,21:15,12/5/21,
TN397_UKH5,UKH5_0nM,Homarine,6.9778,-147.0038,Equatorial,13:31,12/10/21,22:31,12/10/21,
TN397_UCH1,UCH1_Gluc,Homarine,21.17,-136.213,Gyre,14:44,11/23/21,22:44,11/23/21,
RC104_UCH1,RC104_UCH1,Homarine,48.1517,-123.001,Coastal,15:57,9/3/23,22:57,9/3/23,
