Cruise,Station,Cast,pressure_db,depth_m,temperature_degC,practical_salinity_psu,absolute_salinity_psu,potential_temp_degC,conservative_temp_degC,in_situ_density_kgpm3,potential_density_kgpm3,oxygen_V,beam_attenuation_pm,beam_transmission_percent,fluorescence_mgpm3,latitude,longitude
RC0078,S1,C1,13.11,13,10.0407,29.4786,29.620449506913467,10.039296622511976,10.131875243409254,1022.5925601755408,1022.5327462006802,2.359,0.6922,84.1089,3.6565,47.98464,-122.61938
RC0078,S1,C1,14.119,14,10.0161,29.5051,29.647060410870704,10.014590603539235,10.106523288122878,1022.6216275925215,1022.5572229289631,2.3636,0.6865,84.2299,4.0144,47.98464,-122.61919
RC0078,S1,C1,15.129,15,10.0191,29.5018,29.643727905639118,10.017482263379254,10.109493955508738,1022.6231991953528,1022.5542044016084,2.3568,0.6842,84.2778,3.9775,47.98464,-122.61919
RC0078,S1,C1,16.134,16,10.0174,29.5041,29.646022423916378,10.01567485085954,10.10763297541605,1022.6298382110206,1022.5562752456226,2.3541,0.6718,84.5406,3.9212,47.98464,-122.61918
RC0078,S1,C1,17.144,17,10.0174,29.5041,29.646005794961116,10.015566747035335,10.107524091454113,1022.6344458770047,1022.5562923888939,2.3517,0.6571,84.8522,3.7948,47.98464,-122.61918
RC0078,S1,C1,18.153,18,10.0168,29.5037,29.6455872588164,10.014858830896731,10.106818112911986,1022.6388340630094,1022.5560943495992,2.3497,0.679,84.3887,3.8443,47.98464,-122.61918
RC0078,S1,C1,19.161,19,10.0125,29.5089,29.650795667588685,10.010451398021113,10.102287299791946,1022.6481490781221,1022.5608270800171,2.3467,0.6752,84.4689,3.6329,47.98464,-122.61918
RC0078,S1,C1,20.17,20,10.001,29.5247,29.66664963673674,9.998844679850523,10.090318894478191,1022.6668341551148,1022.5749238632765,2.3445,0.6623,84.7402,3.4815,47.98464,-122.61918
RC0078,S1,C1,21.179,21,10.0098,29.5058,29.647610230908434,10.007535907058708,10.099405368871944,1022.6553798466697,1022.5588843805175,2.3406,0.6583,84.8266,3.4593,47.98464,-122.61917
RC0078,S1,C1,22.187,22,10.0064,29.5178,29.659619395562792,10.004028186426043,10.095661120414352,1022.6698253648526,1022.5687495559453,2.3334,0.6581,84.8303,3.4563,47.98464,-122.61916
RC0078,S1,C1,23.18,23,9.9794,29.5523,29.69423730229763,9.976925449672487,10.067757244615024,1022.7054036904634,1022.5998075250204,2.3293,0.6463,85.081,3.2658,47.98462,-122.61892
RC0078,S1,C1,24.205,24,9.98,29.5493,29.691173513601118,9.977415869523064,10.068303884191813,1022.707657390864,1022.5974023796292,2.3241,0.6373,85.2709,3.214,47.98462,-122.61888
RC0078,S1,C1,25.213,25,9.9768,29.5559,29.697756629957166,9.97410846107607,10.064856878921276,1022.7178829396184,1022.6030464004522,2.3205,0.6334,85.3559,3.2732,47.98462,-122.61888
RC0078,S1,C1,26.219,26,9.9693,29.5707,29.7125791643224,9.96650181868142,10.056936044612272,1022.7351423484273,1022.6157327191778,2.3194,0.639,85.2354,3.2066,47.98462,-122.61888
RC0078,S1,C1,27.231,27,9.9739,29.5608,29.70258289179799,9.970993092364521,10.061633196649158,1022.7313494045871,1022.6073410665938,2.3163,0.6348,85.325,3.166,47.98462,-122.61886
RC0078,S1,C1,28.238,28,9.9726,29.5638,29.705548744076125,9.969585569824144,10.060162943435639,1022.7384761512284,1022.6098913532684,2.3139,0.6236,85.5634,3.1248,47.98462,-122.61886
RC0078,S1,C1,29.246,29,9.9763,29.556,29.697662773583247,9.973177298533093,10.063917309005241,1022.7364364552652,1022.6032713410953,2.3133,0.6253,85.5287,3.0325,47.98462,-122.61886
RC0078,S1,C1,30.257,30,9.9694,29.5686,29.71028622175569,9.966170176138814,10.05663891395168,1022.7519168115847,1022.6141558589123,2.3126,0.63,85.4266,3.1624,47.98462,-122.61885
RC0078,S1,C1,31.263,31,9.9629,29.5864,29.72816918161383,9.959563307138534,10.049672568263789,1022.7713439203025,1022.6290116000098,2.3121,0.6348,85.325,3.0085,47.98462,-122.61884
RC0078,S1,C1,32.275,32,9.9587,29.598,29.739822416668023,9.955255564055845,10.045130693826303,1022.7856241984719,1022.6386932789949,2.3088,0.6449,85.1112,3.0113,47.98462,-122.61884
RC0078,S1,C1,33.28,33,9.955,29.6068,29.748662249813513,9.95144859830195,10.041142378559423,1022.7976213412144,1022.6461232729218,2.3045,0.6421,85.1706,2.9394,47.98462,-122.61884
RC0078,S1,C1,34.291,34,9.9345,29.654,29.796086059851913,9.930843420083825,10.019564591253255,1022.8420990161511,1022.6860046618518,2.3006,0.6364,85.2923,2.7327,47.98462,-122.61883
RC0078,S1,C1,35.299,35,9.9061,29.7159,29.85828030274545,9.9023400629569025,9.98977905081353,1022.8992201335786,1022.7385409831033,2.2937,0.6265,85.5021,2.6007,47.98462,-122.61882
RC0078,S1,C1,36.306,36,9.858,29.8158,29.958656607786374,9.854140414451393,9.93950430935397,1022.9889400033119,1022.8236755526008,2.2828,0.6195,85.6528,2.4412,47.98462,-122.61882
RC0078,S1,C1,37.317,37,9.844,29.8414,29.98437689955632,9.840035239352842,9.924857468147767,1023.0156306084191,1022.8457678140098,2.2637,0.6323,85.3787,2.1636,47.98462,-122.61882
RC0078,S1,C1,38.323,38,9.842,29.8445,29.98748939817331,9.837928518450928,9.922682530874388,1023.0229410371301,1022.8485057939372,2.2454,0.6098,85.8611,2.0712,47.98462,-122.61881
RC0078,S1,C1,39.332,39,9.8399,29.8473,29.99030045195918,9.835721533949679,9.920411898524465,1023.0300481417415,1022.8510266746524,2.2354,0.5982,86.111,2.0643,47.98462,-122.6188
RC0078,S1,C1,40.341,40,9.8289,29.8634,30.006477812382688,9.82461648279265,9.908951819992652,1023.0488833649331,1022.865271905637,2.2309,0.5962,86.1536,2.0564,47.98462,-122.6188
RC0078,S1,C1,41.351,41,9.8235,29.8708,30.013918564791393,9.819110212630937,9.903279830638057,1023.0600863101588,1022.8718824992086,2.226,0.6013,86.0432,2.0057,47.98462,-122.6188
RC0078,S1,C1,42.359,42,9.8207,29.8748,30.017943018492176,9.816203582512413,9.900284133331343,1023.0682305294956,1022.875444771867,2.2201,0.5832,86.4323,2.0283,47.98462,-122.61878
RC0078,S1,C1,43.368,43,9.815,29.8834,30.02658952022637,9.810397520009428,9.894289639131502,1023.0804073172504,1022.8830338557659,2.2168,0.5849,86.3954,2.0043,47.98462,-122.61878
RC0078,S1,C1,44.378,44,9.8034,29.9006,30.043877235545104,9.79869281538195,9.882207839887203,1023.1001948407263,1022.8982262134482,2.2139,0.5889,86.3118,1.9086,47.9846,-122.61878
RC0078,S1,C1,45.384,45,9.7801,29.935,30.078447361774693,9.775291509654632,9.858053952107108,1023.135159771435,1022.928608172827,2.2105,0.573,86.6553,1.9075,47.9846,-122.61877
RC0078,S1,C1,46.395,46,9.7775,29.9393,30.082773283096394,9.772584714703914,9.855254671444145,1023.1435185923949,1022.932371504395,2.2034,0.5665,86.795,1.7705,47.9846,-122.61876
RC0078,S1,C1,47.403,47,9.7767,29.9405,30.08398433397752,9.771677824815523,9.85432097706368,1023.1491736577323,1022.9334455116223,2.1967,0.5547,87.051,1.9023,47.9846,-122.61876
RC0078,S1,C1,48.411,48,9.7721,29.9504,30.09393707997192,9.766971697055856,9.84941209887892,1023.1621802675704,1022.9418704017239,2.1924,0.5527,87.095,1.744,47.9846,-122.61876
RC0078,S1,C1,49.42,49,9.7689,29.9575,30.10107641526853,9.763665172631956,9.845960689061629,1023.1727973726817,1022.9479017312344,2.1899,0.5407,87.3563,1.679,47.9846,-122.61875
RC0078,S1,C1,50.429,50,9.7682,29.9589,30.102494881478552,9.762858136061064,9.84512407116717,1023.1785961650994,1022.9491153340218,2.1884,0.5317,87.5537,1.7065,47.9846,-122.61874
RC0078,S1,C1,51.437,51,9.7677,29.9597,30.103319169727108,9.762251167477011,9.84449924199372,1023.1838931046029,1022.949831696638,2.186,0.5281,87.6313,1.8055,47.9846,-122.61873
RC0078,S1,C1,52.447,52,9.7652,29.9636,30.107258362382854,9.75964453125063,9.841807867136957,1023.1919207414843,1022.953268669458,2.1849,0.5442,87.2811,1.8203,47.9846,-122.61872
