Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
HILIC-Pos_Standards,220111_Std_4uMStdsMix1InH2O_1,(3-Carboxypropyl)trimethylammonium,9.83,781596032,6471918,54727592,-4,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Std_4uMStdsMix1InH2O_2,(3-Carboxypropyl)trimethylammonium,9.77,1293115392,8601633,79507360,-3.1,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Std_4uMStdsMix1InMatrix_1,(3-Carboxypropyl)trimethylammonium,9.83,838619392,5090703,66124100,-4.1,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Std_4uMStdsMix1InMatrix_2,(3-Carboxypropyl)trimethylammonium,9.8,1195083776,13787482,82505360,-2.7,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Std_4uMStdsMix2InH2O_1,(3-Carboxypropyl)trimethylammonium,10.1,712551,811576,62153,-3.6,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Std_4uMStdsMix2InH2O_2,(3-Carboxypropyl)trimethylammonium,10.51,798851648,8112205,32075318,-2.9,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Std_4uMStdsMix2InMatrix_1,(3-Carboxypropyl)trimethylammonium,9.83,9779187,0,632960,-3.9,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Std_4uMStdsMix2InMatrix_2,(3-Carboxypropyl)trimethylammonium,9.55,807673728,5369546,75237368,-2.9,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Std_H2OinMatrix_1,(3-Carboxypropyl)trimethylammonium,9.83,7221824,0,536540,-3.7,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Std_H2OinMatrix_2,(3-Carboxypropyl)trimethylammonium,9.8,6171350,9898,452282,-2.8,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Blk_MediaBlk_A_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Blk_MediaBlk_AMS_pos,(3-Carboxypropyl)trimethylammonium,9.18,4546,0,12350,-1.3,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Blk_MediaBlk_AOA_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Blk_MediaBlk_B_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Poo_TruePooBacteria_Full1,(3-Carboxypropyl)trimethylammonium,9.88,9822071,0,712081,-4.2,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Poo_TruePooBacteria_Full2,(3-Carboxypropyl)trimethylammonium,9.83,10885534,0,796211,-6,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Poo_TruePooBacteria_Full3,(3-Carboxypropyl)trimethylammonium,9.83,10068920,0,722499,-3,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Poo_TruePooBacteria_Half1,(3-Carboxypropyl)trimethylammonium,9.85,4996284,0,358802,-4.2,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Poo_TruePooBacteria_Half2,(3-Carboxypropyl)trimethylammonium,9.81,5184808,0,366944,-5.7,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Poo_TruePooBacteria_Half3,(3-Carboxypropyl)trimethylammonium,9.83,5390210,0,381531,-3,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_DSS3_A_pos,(3-Carboxypropyl)trimethylammonium,9.85,140584576,454423,10116969,-4.6,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_DSS3_B_pos,(3-Carboxypropyl)trimethylammonium,9.83,144082160,254762,10280096,-5.3,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_DSS3_C_pos,(3-Carboxypropyl)trimethylammonium,9.85,141575664,1738616,10704716,-3.2,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_Och_A_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_Och_B_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_Och_C_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_SA7_A_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_SA7_B_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_SA7_C_pos,(3-Carboxypropyl)trimethylammonium,9.06,24948,0,40688,-1.2,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_SA11_A_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_SA11_B_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_SA11_C_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_SA16_A_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_SA16_B_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_SA16_C_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_SA36_A_pos,(3-Carboxypropyl)trimethylammonium,10.15,19946,0,38113,-1.9,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_SA36_B_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_SA36_C_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_SA42_A_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_SA44_B_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_SA44_C_pos,(3-Carboxypropyl)trimethylammonium,9.89,28802,0,32304,-3.3,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_SA48_A_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_SA48_B_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_SA48_C_pos,(3-Carboxypropyl)trimethylammonium,9.95,12018,0,32218,-0.8,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_SA53_A_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_SA53_B_pos,(3-Carboxypropyl)trimethylammonium,9.85,20678,0,37050,-0.8,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_SA53_C_pos,(3-Carboxypropyl)trimethylammonium,9.83,30685,0,42484,-2.2,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_SA55_A_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_SA55_B_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_SA55_C_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_SA59_A_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_SA59_B_pos,(3-Carboxypropyl)trimethylammonium,10.43,20077,0,32880,-1.8,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_SA59_C_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_SA60_A_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_SA60_B_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_SAR11_AB_pos,(3-Carboxypropyl)trimethylammonium,10.4,11830,0,19409,1.6,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_SAR11_C_pos,(3-Carboxypropyl)trimethylammonium,10.6,10367,0,22399,-0.1,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_SAR11_DE_pos,(3-Carboxypropyl)trimethylammonium,8.91,4740,0,11888,-1,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_SAR11_F_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_SAR11_GH_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_SAR11_I_pos,(3-Carboxypropyl)trimethylammonium,9.37,6881,0,20445,-0.4,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_SCM1_Exp1_pos,(3-Carboxypropyl)trimethylammonium,8.97,4812,0,16039,-1.8,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_SCM1_Exp2_pos,(3-Carboxypropyl)trimethylammonium,10.81,7265,0,17495,-0.7,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_SCM1_Exp3_pos,(3-Carboxypropyl)trimethylammonium,9.16,5207,0,18264,-1.4,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_SCM1_St1_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_SCM1_St2_pos,(3-Carboxypropyl)trimethylammonium,9.57,15299,0,23559,-2,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_SCM1_St3_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Smp_SCM1_St4_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Std_4uMStdsMix1InH2O_1,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220111_Std_4uMStdsMix1InH2O_2,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
