Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
HILIC-Pos_Standards,211221_Std_4uMStdsMix1InH2O_1,(3-Carboxypropyl)trimethylammonium,9.77,1713521408,21608928,114261312,-4.4,HILIC-Pos_Standards
HILIC-Pos_Standards,211221_Std_4uMStdsMix1InH2O_2,(3-Carboxypropyl)trimethylammonium,9.76,1862783104,22488436,121194880,-3,HILIC-Pos_Standards
HILIC-Pos_Standards,211221_Std_4uMStdsMix1InMatrix_1,(3-Carboxypropyl)trimethylammonium,9.8,1382662144,16654914,99617504,-3.9,HILIC-Pos_Standards
HILIC-Pos_Standards,211221_Std_4uMStdsMix1InMatrix_2,(3-Carboxypropyl)trimethylammonium,9.81,1390323456,11572620,98958264,-2.9,HILIC-Pos_Standards
HILIC-Pos_Standards,211221_Std_4uMStdsMix2InH2O_1,(3-Carboxypropyl)trimethylammonium,10.65,761569216,10193617,34176756,-3.7,HILIC-Pos_Standards
HILIC-Pos_Standards,211221_Std_4uMStdsMix2InH2O_2,(3-Carboxypropyl)trimethylammonium,9.89,11508,0,7572,-2.4,HILIC-Pos_Standards
HILIC-Pos_Standards,211221_Std_4uMStdsMix2InMatrix_1,(3-Carboxypropyl)trimethylammonium,9.63,779667456,7516566,74644768,-4.1,HILIC-Pos_Standards
HILIC-Pos_Standards,211221_Std_4uMStdsMix2InMatrix_2,(3-Carboxypropyl)trimethylammonium,9.86,851046784,6405624,84406120,-4,HILIC-Pos_Standards
HILIC-Pos_Standards,211221_Std_H2OinMatrix_1,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211221_Std_H2OinMatrix_2,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211102_Poo_TruePooCyanos_Full1,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211102_Poo_TruePooCyanos_Full2,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211102_Poo_TruePooCyanos_Full3,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211102_Poo_TruePooCyanos_Half1,(3-Carboxypropyl)trimethylammonium,10.2,25315,0,18034,-0.7,HILIC-Pos_Standards
HILIC-Pos_Standards,211102_Poo_TruePooCyanos_Half2,(3-Carboxypropyl)trimethylammonium,9.13,8109,0,7654,-3.4,HILIC-Pos_Standards
HILIC-Pos_Standards,211102_Poo_TruePooCyanos_Half3,(3-Carboxypropyl)trimethylammonium,9.49,12847,0,13598,-0.1,HILIC-Pos_Standards
HILIC-Pos_Standards,211221_Blk_MediaBlk_1314P_pos,(3-Carboxypropyl)trimethylammonium,10.78,4233,0,14372,-2.1,HILIC-Pos_Standards
HILIC-Pos_Standards,211221_Blk_MediaBlk_A_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211221_Blk_MediaBlk_As9601_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211221_Blk_MediaBlk_C_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211221_Blk_MediaBlk_Nat_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211221_Smp_1314P_A_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211221_Smp_1314P_B_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211221_Smp_1314P_C_pos,(3-Carboxypropyl)trimethylammonium,9.14,7208,0,24373,-0.8,HILIC-Pos_Standards
HILIC-Pos_Standards,211221_Smp_7803_B_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211221_Smp_7803_F_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211221_Smp_8102_A_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211221_Smp_8102_F_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211221_Smp_8501_B_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211221_Smp_8501_C_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211221_Smp_8501_D_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211221_Smp_As9601_A_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211221_Smp_As9601_B_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211221_Smp_As9601_C_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211221_Smp_MED4_D_pos,(3-Carboxypropyl)trimethylammonium,9.08,12535,0,32199,-2,HILIC-Pos_Standards
HILIC-Pos_Standards,211221_Smp_MED4_E_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211221_Smp_MED4_F_pos,(3-Carboxypropyl)trimethylammonium,9.35,24059,0,43021,-2.1,HILIC-Pos_Standards
HILIC-Pos_Standards,211221_Smp_Nat_A_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211221_Smp_Nat_B_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211221_Smp_Nat_C_pos,(3-Carboxypropyl)trimethylammonium,9.27,20731,0,27665,2.2,HILIC-Pos_Standards
HILIC-Pos_Standards,211221_Std_4uMStdsMix1InH2O_1,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211221_Std_4uMStdsMix1InH2O_2,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211221_Std_4uMStdsMix1InMatrix_1,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211221_Std_4uMStdsMix1InMatrix_2,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
