Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
HILIC-Pos_Standards,211215_Std_4uMStdsMix1InH2O_1,(3-Carboxypropyl)trimethylammonium,9.75,1319415808,15560345,84957328,-4,HILIC-Pos_Standards
HILIC-Pos_Standards,211215_Std_4uMStdsMix1InH2O_2,(3-Carboxypropyl)trimethylammonium,9.78,1602457216,10558517,106788160,-3.8,HILIC-Pos_Standards
HILIC-Pos_Standards,211215_Std_4uMStdsMix1InMatrix_1,(3-Carboxypropyl)trimethylammonium,9.8,1626748672,14003942,116992672,-3.7,HILIC-Pos_Standards
HILIC-Pos_Standards,211215_Std_4uMStdsMix1InMatrix_2,(3-Carboxypropyl)trimethylammonium,9.83,1660936320,15321717,116718392,-3.9,HILIC-Pos_Standards
HILIC-Pos_Standards,211215_Std_4uMStdsMix2InH2O_1,(3-Carboxypropyl)trimethylammonium,8.98,865375872,8731720,40753300,-3.8,HILIC-Pos_Standards
HILIC-Pos_Standards,211215_Std_4uMStdsMix2InH2O_2,(3-Carboxypropyl)trimethylammonium,9.57,1013005440,14062715,46499492,-3.7,HILIC-Pos_Standards
HILIC-Pos_Standards,211215_Std_4uMStdsMix2InMatrix_1,(3-Carboxypropyl)trimethylammonium,9.8,315385664,10795561,22989916,-3.4,HILIC-Pos_Standards
HILIC-Pos_Standards,211215_Std_4uMStdsMix2InMatrix_2,(3-Carboxypropyl)trimethylammonium,9.81,295445760,8275724,20844514,-3.1,HILIC-Pos_Standards
HILIC-Pos_Standards,211215_Std_H2OinMatrix_1,(3-Carboxypropyl)trimethylammonium,9.8,342645056,3942609,25000864,-3.6,HILIC-Pos_Standards
HILIC-Pos_Standards,211215_Std_H2OinMatrix_2,(3-Carboxypropyl)trimethylammonium,9.8,296371232,3899731,21426104,-3.1,HILIC-Pos_Standards
HILIC-Pos_Standards,211215_Poo_TruePooDiatoms_Full1,(3-Carboxypropyl)trimethylammonium,9.83,496206016,6795950,35490892,-2.9,HILIC-Pos_Standards
HILIC-Pos_Standards,211215_Poo_TruePooDiatoms_Full2,(3-Carboxypropyl)trimethylammonium,9.86,545800832,5377790,38852884,-2.6,HILIC-Pos_Standards
HILIC-Pos_Standards,211215_Poo_TruePooDiatoms_Full3,(3-Carboxypropyl)trimethylammonium,9.85,495236256,4497145,34351012,-3.7,HILIC-Pos_Standards
HILIC-Pos_Standards,211215_Poo_TruePooDiatoms_Half1,(3-Carboxypropyl)trimethylammonium,9.8,279604128,2780717,20950300,-3,HILIC-Pos_Standards
HILIC-Pos_Standards,211215_Poo_TruePooDiatoms_Half2,(3-Carboxypropyl)trimethylammonium,9.79,274510592,2728072,20690222,-3.1,HILIC-Pos_Standards
