Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
HILIC-Pos_Standards,211218_Std_4uMStdsMix1InH2O_1,(3-Carboxypropyl)trimethylammonium,9.78,1801426816,12959662,119028424,-3.7,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Std_4uMStdsMix1InMatrix_1,(3-Carboxypropyl)trimethylammonium,9.82,1757679616,18487960,125939920,-4.1,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Std_4uMStdsMix1InMatrix_2,(3-Carboxypropyl)trimethylammonium,9.8,1938811264,20319062,133789888,-3.3,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Std_4uMStdsMix2InH2O_1,(3-Carboxypropyl)trimethylammonium,10.01,1083448448,10235426,44596052,-3.4,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Std_4uMStdsMix2InMatrix_1,(3-Carboxypropyl)trimethylammonium,9.78,336178496,10266857,23460646,-4.4,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Std_4uMStdsMix2InMatrix_2,(3-Carboxypropyl)trimethylammonium,9.78,358739904,10542023,25500184,-4.7,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Std_H2OinMatrix_1,(3-Carboxypropyl)trimethylammonium,9.82,327988704,3973056,23586938,-4.1,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Std_H2OinMatrix_2,(3-Carboxypropyl)trimethylammonium,9.81,374449632,3810705,27387176,-3.5,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Poo_TruePooDinosGreens_Full1,(3-Carboxypropyl)trimethylammonium,9.82,550880704,6595163,40716856,-4.2,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Poo_TruePooDinosGreens_Full2,(3-Carboxypropyl)trimethylammonium,9.83,561516160,4741430,40045328,-4.3,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Poo_TruePooDinosGreens_Full3,(3-Carboxypropyl)trimethylammonium,9.83,546309248,5949060,37582672,-3.9,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Poo_TruePooDinosGreens_Half1,(3-Carboxypropyl)trimethylammonium,9.78,286764192,3556375,20053006,-4.4,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Poo_TruePooDinosGreens_Half2,(3-Carboxypropyl)trimethylammonium,9.8,304636064,3617789,20853230,-4.2,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Poo_TruePooDinosGreens_Half3,(3-Carboxypropyl)trimethylammonium,9.81,316645824,4241294,23172988,-3.7,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Blk_MediaBlk_21_pos,(3-Carboxypropyl)trimethylammonium,10.77,18314,0,26975,-1.7,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Blk_MediaBlk_49_pos,(3-Carboxypropyl)trimethylammonium,9.82,28364,0,38136,-4,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Blk_MediaBlk_71_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Blk_MediaBlk_3430_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Blk_MediaBlk_N_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Blk_MediaBlk_O_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_449_A_pos,(3-Carboxypropyl)trimethylammonium,9.82,221654224,2942499,17446180,-3.4,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_449_B_pos,(3-Carboxypropyl)trimethylammonium,9.8,284951840,3115094,22527342,-2.8,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_449_C_pos,(3-Carboxypropyl)trimethylammonium,9.85,260898848,1741903,19825554,-3.2,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_1314_A_pos,(3-Carboxypropyl)trimethylammonium,9.81,200185168,2499079,15035544,-3.3,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_1314_B_pos,(3-Carboxypropyl)trimethylammonium,9.81,177837904,2334427,14767210,-4,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_1314_C_pos,(3-Carboxypropyl)trimethylammonium,9.83,177031744,2281546,13363635,-4,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_1545_A_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_1545_B_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_1545_C_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_1771_A_pos,(3-Carboxypropyl)trimethylammonium,9.82,204065088,1933525,14697046,-3.4,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_1771_B_pos,(3-Carboxypropyl)trimethylammonium,9.84,261684864,1854617,19759952,-3.6,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_1771_C_pos,(3-Carboxypropyl)trimethylammonium,9.85,188126192,1991305,13928729,-3.5,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_2021_A_pos,(3-Carboxypropyl)trimethylammonium,9.81,2927208704,41902736,212166320,-3.3,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_2021_B_pos,(3-Carboxypropyl)trimethylammonium,9.82,3076994304,39971496,210345792,-3.6,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_2021_C_pos,(3-Carboxypropyl)trimethylammonium,9.82,1619444096,20806350,115945440,-3.6,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_3430_A_pos,(3-Carboxypropyl)trimethylammonium,10.07,33913,0,55130,-3.4,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_3430_B_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_3430_C_pos,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Std_4uMStdsMix1InH2O_1,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Std_4uMStdsMix1InMatrix_1,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Std_4uMStdsMix1InMatrix_2,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Std_4uMStdsMix2InH2O_1,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Std_4uMStdsMix2InMatrix_1,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Std_4uMStdsMix2InMatrix_2,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Std_H2OinMatrix_1,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Std_H2OinMatrix_2,"2,3-Pyridinedicarboxylic acid",9.95,20600,0,13738,0.5,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Poo_TruePooDinosGreens_Full1,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Poo_TruePooDinosGreens_Full2,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Poo_TruePooDinosGreens_Full3,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Poo_TruePooDinosGreens_Half1,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Poo_TruePooDinosGreens_Half2,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Poo_TruePooDinosGreens_Half3,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Blk_MediaBlk_21_pos,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Blk_MediaBlk_49_pos,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Blk_MediaBlk_71_pos,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Blk_MediaBlk_3430_pos,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Blk_MediaBlk_N_pos,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Blk_MediaBlk_O_pos,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_449_A_pos,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_449_B_pos,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_449_C_pos,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_1314_A_pos,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_1314_B_pos,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_1314_C_pos,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_1545_A_pos,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_1545_B_pos,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_1545_C_pos,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_1771_A_pos,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_1771_B_pos,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_1771_C_pos,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_2021_A_pos,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_2021_B_pos,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_2021_C_pos,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_3430_A_pos,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_3430_B_pos,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_3430_C_pos,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Std_4uMStdsMix1InH2O_1,2-Heptyl-3-hydroxy-quinolone,1.73,35823892,516320,2518800,-1.7,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Std_4uMStdsMix1InMatrix_1,2-Heptyl-3-hydroxy-quinolone,1.78,19522482,33982,1313300,-1.9,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Std_4uMStdsMix1InMatrix_2,2-Heptyl-3-hydroxy-quinolone,1.76,8810646,79545,612938,-1.7,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Std_4uMStdsMix2InH2O_1,2-Heptyl-3-hydroxy-quinolone,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Std_4uMStdsMix2InMatrix_1,2-Heptyl-3-hydroxy-quinolone,1.7,10671,0,5920,-0.1,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Std_4uMStdsMix2InMatrix_2,2-Heptyl-3-hydroxy-quinolone,2.03,6552,0,4712,-0.8,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Std_H2OinMatrix_1,2-Heptyl-3-hydroxy-quinolone,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Std_H2OinMatrix_2,2-Heptyl-3-hydroxy-quinolone,2.06,5242,0,4644,-0.9,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Poo_TruePooDinosGreens_Full1,2-Heptyl-3-hydroxy-quinolone,1.96,4852,0,3612,2.2,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Poo_TruePooDinosGreens_Full2,2-Heptyl-3-hydroxy-quinolone,2.03,7424,0,7630,-0.2,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Poo_TruePooDinosGreens_Full3,2-Heptyl-3-hydroxy-quinolone,2.06,31913,0,6827,-1.2,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Poo_TruePooDinosGreens_Half1,2-Heptyl-3-hydroxy-quinolone,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Poo_TruePooDinosGreens_Half2,2-Heptyl-3-hydroxy-quinolone,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Poo_TruePooDinosGreens_Half3,2-Heptyl-3-hydroxy-quinolone,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Blk_MediaBlk_21_pos,2-Heptyl-3-hydroxy-quinolone,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Blk_MediaBlk_49_pos,2-Heptyl-3-hydroxy-quinolone,2.05,6791,0,17345,-1.1,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Blk_MediaBlk_71_pos,2-Heptyl-3-hydroxy-quinolone,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Blk_MediaBlk_3430_pos,2-Heptyl-3-hydroxy-quinolone,2.02,7475,0,21333,0.1,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Blk_MediaBlk_N_pos,2-Heptyl-3-hydroxy-quinolone,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Blk_MediaBlk_O_pos,2-Heptyl-3-hydroxy-quinolone,2.03,2217,0,9854,0,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_449_A_pos,2-Heptyl-3-hydroxy-quinolone,2.84,4483,0,11442,-4.7,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_449_B_pos,2-Heptyl-3-hydroxy-quinolone,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_449_C_pos,2-Heptyl-3-hydroxy-quinolone,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_1314_A_pos,2-Heptyl-3-hydroxy-quinolone,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_1314_B_pos,2-Heptyl-3-hydroxy-quinolone,2.08,12136,0,24718,-0.8,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_1314_C_pos,2-Heptyl-3-hydroxy-quinolone,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_1545_A_pos,2-Heptyl-3-hydroxy-quinolone,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,211218_Smp_1545_B_pos,2-Heptyl-3-hydroxy-quinolone,2.08,19748,0,37890,-1.9,HILIC-Pos_Standards
