Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM
HILIC-Pos_Standards,231004_Poo_PooKinDissSept23_Full1,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A
HILIC-Pos_Standards,231004_Poo_PooKinDissSept23_Full2,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A
HILIC-Pos_Standards,231004_Poo_PooKinDissSept23_Full3,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A
HILIC-Pos_Standards,231004_Poo_PooKinDissSept23_Full4,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A
HILIC-Pos_Standards,231004_Poo_PooKinDissSept23_Half1,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A
HILIC-Pos_Standards,231004_Poo_PooKinDissSept23_Half2,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A
HILIC-Pos_Standards,231004_Poo_PooKinDissSept23_Half3,"2,3-Pyridinedicarboxylic acid",9.6,3462,0,1957,-2.4
HILIC-Pos_Standards,231004_Poo_PooKinDissSept23_Half4,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A
HILIC-Pos_Standards,231004_Smp_G5_Mix1_Kin_A,"2,3-Pyridinedicarboxylic acid",9.65,21254,0,4587,-3.6
HILIC-Pos_Standards,231004_Smp_G5_Mix1_Kin_B,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A
HILIC-Pos_Standards,231004_Smp_G5_Mix1_Kin_C,"2,3-Pyridinedicarboxylic acid",9.61,22644,0,6235,-1.9
HILIC-Pos_Standards,231004_Smp_G5_Mix1iN_Kin_A,"2,3-Pyridinedicarboxylic acid",9.97,4337,0,2973,-3.6
HILIC-Pos_Standards,231004_Smp_G5_Mix1iN_Kin_B,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A
HILIC-Pos_Standards,231004_Smp_G5_Mix1iN_Kin_C,"2,3-Pyridinedicarboxylic acid",9.62,6938,0,5246,-0.6
HILIC-Pos_Standards,231004_Smp_G5_Mix2_Kin_A,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A
