Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM
HILIC-Pos_Standards,220602_Std_4uMStdsMix1InH2O_1,(3-Carboxypropyl)trimethylammonium,9.89,1076893056,6769283,79731160,-4.4
HILIC-Pos_Standards,220602_Std_4uMStdsMix1InH2O_2,(3-Carboxypropyl)trimethylammonium,9.8,1659904512,15341827,99383400,-3.6
HILIC-Pos_Standards,220602_Std_4uMStdsMix1InMatrix_1,(3-Carboxypropyl)trimethylammonium,9.86,1080280832,13405069,81525256,-4.4
HILIC-Pos_Standards,220602_Std_4uMStdsMix1InMatrix_2,(3-Carboxypropyl)trimethylammonium,9.82,1493457024,17179928,95405744,-3
HILIC-Pos_Standards,220602_Std_4uMStdsMix2InH2O_1,(3-Carboxypropyl)trimethylammonium,10.05,429500,725978,32517,-3.8
HILIC-Pos_Standards,220602_Std_4uMStdsMix2InH2O_2,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A
HILIC-Pos_Standards,220602_Std_4uMStdsMix2InMatrix_1,(3-Carboxypropyl)trimethylammonium,10.14,447871,652325,32932,-3.6
HILIC-Pos_Standards,220602_Std_4uMStdsMix2InMatrix_2,(3-Carboxypropyl)trimethylammonium,9.85,664704,0,54512,-1.7
HILIC-Pos_Standards,220602_Std_H2OinMatrix_1,(3-Carboxypropyl)trimethylammonium,9.91,834336,0,66306,-3.5
HILIC-Pos_Standards,220602_Std_H2OinMatrix_2,(3-Carboxypropyl)trimethylammonium,9.85,955619,0,60145,-3.1
HILIC-Pos_Standards,220602_Smp_CXSPE_Blk1_A,(3-Carboxypropyl)trimethylammonium,9.94,22252,0,8533,-3.4
HILIC-Pos_Standards,220602_Smp_CXSPE_Blk1_B,(3-Carboxypropyl)trimethylammonium,9.88,9384,0,7990,-3.5
HILIC-Pos_Standards,220602_Smp_CXSPE_Blk1_C,(3-Carboxypropyl)trimethylammonium,9.89,5949,0,5064,-2.2
HILIC-Pos_Standards,220602_Smp_CXSPE_Blk2_A,(3-Carboxypropyl)trimethylammonium,9.89,175342,0,18215,-2.8
HILIC-Pos_Standards,220602_Smp_CXSPE_Blk2_B,(3-Carboxypropyl)trimethylammonium,9.75,39164,0,7541,-3.2
HILIC-Pos_Standards,220602_Smp_CXSPE_Blk2_C,(3-Carboxypropyl)trimethylammonium,10.34,16826,0,8545,-3.3
HILIC-Pos_Standards,220602_Smp_CXSPE_Blk3_A,(3-Carboxypropyl)trimethylammonium,9.96,64300,0,9597,-3.2
HILIC-Pos_Standards,220602_Smp_CXSPE_Blk3_B,(3-Carboxypropyl)trimethylammonium,9.79,20417,0,7322,-3.2
HILIC-Pos_Standards,220602_Smp_CXSPE_Blk3_C,(3-Carboxypropyl)trimethylammonium,9.83,13038,0,7107,-2.3
HILIC-Pos_Standards,220602_Smp_CXSPE_Blk4_A,(3-Carboxypropyl)trimethylammonium,9.86,17973,0,9525,-2.6
HILIC-Pos_Standards,220602_Smp_CXSPE_Blk4_B,(3-Carboxypropyl)trimethylammonium,9.91,14120,0,7880,-3.1
HILIC-Pos_Standards,220602_Smp_CXSPE_Blk4_C,(3-Carboxypropyl)trimethylammonium,9.97,33033,0,8743,-3.5
HILIC-Pos_Standards,220602_Smp_CXSPE_Blk5_A,(3-Carboxypropyl)trimethylammonium,9.89,117439,0,12348,-2.5
HILIC-Pos_Standards,220602_Smp_CXSPE_Blk5_B,(3-Carboxypropyl)trimethylammonium,9.88,93232,0,10443,-2.4
HILIC-Pos_Standards,220602_Smp_CXSPE_Blk5_C,(3-Carboxypropyl)trimethylammonium,9.94,169757,0,10652,-2.5
HILIC-Pos_Standards,220602_Smp_KM1906_GBT_F2_T0_A,(3-Carboxypropyl)trimethylammonium,9.85,3300747,0,214140,-3.4
HILIC-Pos_Standards,220602_Smp_KM1906_GBT_F2_T0_B,(3-Carboxypropyl)trimethylammonium,9.83,1329694,9924,105085,-3.3
HILIC-Pos_Standards,220602_Smp_KM1906_GBT_F2_T0_C,(3-Carboxypropyl)trimethylammonium,9.83,925047,0,58030,-3.2
HILIC-Pos_Standards,220602_Smp_KM1906_GBTK1_0nM_A,(3-Carboxypropyl)trimethylammonium,9.86,1221861,0,87260,-3.1
HILIC-Pos_Standards,220602_Smp_KM1906_GBTK1_0nM_B,(3-Carboxypropyl)trimethylammonium,9.85,934390,0,69374,-2.9
HILIC-Pos_Standards,220602_Smp_KM1906_GBTK1_0nM_C,(3-Carboxypropyl)trimethylammonium,9.88,1716557,0,101179,-2.9
HILIC-Pos_Standards,220602_Smp_TN397_CXC_Blk_A,(3-Carboxypropyl)trimethylammonium,9.86,152132,0,17693,-3.4
HILIC-Pos_Standards,220602_Smp_TN397_CXC_Blk_B,(3-Carboxypropyl)trimethylammonium,9.86,172293,0,13670,-2.9
HILIC-Pos_Standards,220602_Smp_TN397_CXC_Blk_C,(3-Carboxypropyl)trimethylammonium,9.88,299062,0,21729,-3.1
HILIC-Pos_Standards,220602_Smp_TN397_MQBlk1_A,(3-Carboxypropyl)trimethylammonium,9.89,100826,0,11234,-2.7
HILIC-Pos_Standards,220602_Smp_TN397_MQBlk1_B,(3-Carboxypropyl)trimethylammonium,9.86,143524,0,19217,-4.4
HILIC-Pos_Standards,220602_Smp_TN397_MQBlk1_C,(3-Carboxypropyl)trimethylammonium,9.79,69480,0,9203,-3.2
HILIC-Pos_Standards,220602_Smp_TN397_MQBlkF_A,(3-Carboxypropyl)trimethylammonium,9.85,22893,0,5522,-2.5
HILIC-Pos_Standards,220602_Smp_TN397_MQBlkF_B,(3-Carboxypropyl)trimethylammonium,9.79,12383,0,6379,-3.1
HILIC-Pos_Standards,220602_Smp_TN397_MQBlkF_C,(3-Carboxypropyl)trimethylammonium,10.54,12213,0,5999,-4.2
HILIC-Pos_Standards,220602_Smp_TN397_S1_U_A,(3-Carboxypropyl)trimethylammonium,9.88,619883,0,44322,-3.4
HILIC-Pos_Standards,220602_Smp_TN397_S1_U_B,(3-Carboxypropyl)trimethylammonium,9.83,582024,0,40053,-3.1
HILIC-Pos_Standards,220602_Smp_TN397_S1_U_C,(3-Carboxypropyl)trimethylammonium,9.83,776494,0,48748,-2.8
HILIC-Pos_Standards,220602_Smp_TN397_S10_U_A,(3-Carboxypropyl)trimethylammonium,9.88,2473746,0,200807,-3.7
HILIC-Pos_Standards,220602_Smp_TN397_S10_U_B,(3-Carboxypropyl)trimethylammonium,9.88,1860013,0,152933,-3.8
HILIC-Pos_Standards,220602_Smp_TN397_S10_U_C,(3-Carboxypropyl)trimethylammonium,9.88,2314592,0,150821,-4.3
HILIC-Pos_Standards,220602_Smp_TN397_S11_1800_U_A,(3-Carboxypropyl)trimethylammonium,9.86,671049,0,49098,-3.1
HILIC-Pos_Standards,220602_Smp_TN397_S11_1800_U_B,(3-Carboxypropyl)trimethylammonium,9.88,1274960,0,92012,-3.7
HILIC-Pos_Standards,220602_Smp_TN397_S11_1800_U_C,(3-Carboxypropyl)trimethylammonium,9.89,1850041,0,147664,-3.2
HILIC-Pos_Standards,220602_Smp_TN397_S11_600_U_A,(3-Carboxypropyl)trimethylammonium,9.85,1952556,0,132754,-3.6
HILIC-Pos_Standards,220602_Smp_TN397_S11_600_U_B,(3-Carboxypropyl)trimethylammonium,9.83,2021826,0,123670,-3.3
HILIC-Pos_Standards,220602_Smp_TN397_S11_600_U_C,(3-Carboxypropyl)trimethylammonium,9.88,941302,0,71486,-4.2
HILIC-Pos_Standards,220602_Smp_TN397_S12_1800_U_A,(3-Carboxypropyl)trimethylammonium,9.86,979930,0,86528,-3.6
HILIC-Pos_Standards,220602_Smp_TN397_S12_1800_U_B,(3-Carboxypropyl)trimethylammonium,9.88,708924,0,48571,-2.8
HILIC-Pos_Standards,220602_Smp_TN397_S12_1800_U_C,(3-Carboxypropyl)trimethylammonium,9.85,1193800,0,73898,-2.9
HILIC-Pos_Standards,220602_Smp_TN397_S12_600_U_A,(3-Carboxypropyl)trimethylammonium,9.85,1253749,0,74244,-2.4
HILIC-Pos_Standards,220602_Smp_TN397_S12_600_U_B,(3-Carboxypropyl)trimethylammonium,9.8,1491670,0,96480,-3.6
HILIC-Pos_Standards,220602_Smp_TN397_S12_600_U_C,(3-Carboxypropyl)trimethylammonium,9.86,1189766,0,83900,-3.7
HILIC-Pos_Standards,220602_Smp_TN397_S12_800_U_A,(3-Carboxypropyl)trimethylammonium,9.88,834168,0,59294,-3.8
HILIC-Pos_Standards,220602_Smp_TN397_S12_800_U_B,(3-Carboxypropyl)trimethylammonium,9.91,600315,0,36210,-3.5
