Molecule List Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Molecule List
HILIC-Pos_Standards,220623_Std_4uMStdsMix1InH2O_1,"2,3-Pyridinedicarboxylic acid",11.55,230069744,0,11669186,-2.3,HILIC-Pos_Standards
HILIC-Pos_Standards,220623_Std_4uMStdsMix1InH2O_2,"2,3-Pyridinedicarboxylic acid",11.27,388281056,0,20083084,-2.2,HILIC-Pos_Standards
HILIC-Pos_Standards,220623_Std_4uMStdsMix1InMatrix_1,"2,3-Pyridinedicarboxylic acid",11.57,129760128,0,6834640,-2.8,HILIC-Pos_Standards
HILIC-Pos_Standards,220623_Std_4uMStdsMix1InMatrix_2,"2,3-Pyridinedicarboxylic acid",11.27,337784704,0,17847408,-2.4,HILIC-Pos_Standards
HILIC-Pos_Standards,220623_Std_4uMStdsMix2InH2O_1,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220623_Std_4uMStdsMix2InH2O_2,"2,3-Pyridinedicarboxylic acid",10.2,12088,0,6624,-1.8,HILIC-Pos_Standards
HILIC-Pos_Standards,220623_Std_4uMStdsMix2InMatrix_1,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220623_Std_4uMStdsMix2InMatrix_2,"2,3-Pyridinedicarboxylic acid",10.35,25430,0,12799,-2,HILIC-Pos_Standards
HILIC-Pos_Standards,220623_Std_H2OinMatrix_1,"2,3-Pyridinedicarboxylic acid",11.65,180221,0,11234,-2.6,HILIC-Pos_Standards
HILIC-Pos_Standards,220623_Std_H2OinMatrix_2,"2,3-Pyridinedicarboxylic acid",11.69,685224,673295,30811,-2.2,HILIC-Pos_Standards
HILIC-Pos_Standards,220623_Poo_TruePooG3-CXSPE_Full1,"2,3-Pyridinedicarboxylic acid",11.59,480136,0,21992,-1.9,HILIC-Pos_Standards
HILIC-Pos_Standards,220623_Poo_TruePooG3-CXSPE_Full2,"2,3-Pyridinedicarboxylic acid",12.14,325999,0,15324,-2.2,HILIC-Pos_Standards
HILIC-Pos_Standards,220623_Poo_TruePooG3-CXSPE_Full3,"2,3-Pyridinedicarboxylic acid",11.32,719956,0,22080,-1.8,HILIC-Pos_Standards
HILIC-Pos_Standards,220623_Poo_TruePooG3-CXSPE_Half1,"2,3-Pyridinedicarboxylic acid",11.52,81491,0,11335,-2.2,HILIC-Pos_Standards
HILIC-Pos_Standards,220623_Poo_TruePooG3-CXSPE_Half2,"2,3-Pyridinedicarboxylic acid",11.58,101154,0,9531,-1.7,HILIC-Pos_Standards
HILIC-Pos_Standards,220623_Poo_TruePooG3-CXSPE_Half3,"2,3-Pyridinedicarboxylic acid",11.35,422807,0,15159,-2,HILIC-Pos_Standards
HILIC-Pos_Standards,220623_Smp_CXSPE_Blk1_A,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220623_Smp_CXSPE_Blk1_B,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220623_Smp_CXSPE_Blk1_C,"2,3-Pyridinedicarboxylic acid",10.47,5608,0,4543,-1.2,HILIC-Pos_Standards
HILIC-Pos_Standards,220623_Smp_CXSPE_Blk2_A,"2,3-Pyridinedicarboxylic acid",11.6,76290,0,11053,-1.6,HILIC-Pos_Standards
HILIC-Pos_Standards,220623_Smp_CXSPE_Blk2_B,"2,3-Pyridinedicarboxylic acid",11.44,26257,0,5969,-1.4,HILIC-Pos_Standards
HILIC-Pos_Standards,220623_Smp_CXSPE_Blk2_C,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220623_Smp_CXSPE_Blk3_A,"2,3-Pyridinedicarboxylic acid",11.46,63334,0,9565,-1.5,HILIC-Pos_Standards
HILIC-Pos_Standards,220623_Smp_CXSPE_Blk3_B,"2,3-Pyridinedicarboxylic acid",11.09,5556,0,3615,-2,HILIC-Pos_Standards
HILIC-Pos_Standards,220623_Smp_CXSPE_Blk3_C,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220623_Smp_CXSPE_Blk4_A,"2,3-Pyridinedicarboxylic acid",11.4,71034,0,9399,-1.8,HILIC-Pos_Standards
HILIC-Pos_Standards,220623_Smp_CXSPE_Blk4_B,"2,3-Pyridinedicarboxylic acid",12.05,205175,0,15062,-2.2,HILIC-Pos_Standards
HILIC-Pos_Standards,220623_Smp_CXSPE_Blk4_C,"2,3-Pyridinedicarboxylic acid",11.26,589735,0,22993,-1.8,HILIC-Pos_Standards
HILIC-Pos_Standards,220623_Smp_MQBlk_1,"2,3-Pyridinedicarboxylic acid",#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
