Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM
HILIC-Pos_Standards,220902_Poo_TruePooG4_Full1,(3-Carboxypropyl)trimethylammonium,9.89,278685984,6554332,16296036,-2.4
HILIC-Pos_Standards,220902_Poo_TruePooG4_Full2,(3-Carboxypropyl)trimethylammonium,9.89,252525568,256327,14803184,-2.3
HILIC-Pos_Standards,220902_Poo_TruePooG4_Full3,(3-Carboxypropyl)trimethylammonium,9.86,262132160,4173643,16295550,-2.2
HILIC-Pos_Standards,220902_Poo_TruePooG4_Full4,(3-Carboxypropyl)trimethylammonium,9.9,310112608,2791478,18575484,-2.6
HILIC-Pos_Standards,220902_Poo_TruePooG4_Half1,(3-Carboxypropyl)trimethylammonium,9.91,135603296,0,7520844,-1.7
HILIC-Pos_Standards,220902_Poo_TruePooG4_Half2,(3-Carboxypropyl)trimethylammonium,9.85,135145072,1156340,7729607,-2.1
HILIC-Pos_Standards,220902_Poo_TruePooG4_Half3,(3-Carboxypropyl)trimethylammonium,9.84,162738864,1039082,9559889,-2.1
HILIC-Pos_Standards,220902_Poo_TruePooG4_Half4,(3-Carboxypropyl)trimethylammonium,9.86,201433872,617780,12445991,-2.4
HILIC-Pos_Standards,220902_Smp_FilterBlk1,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A
HILIC-Pos_Standards,220902_Smp_FilterBlk2,(3-Carboxypropyl)trimethylammonium,9.65,42461,0,14221,-1.3
HILIC-Pos_Standards,220902_Smp_FilterBlk3,(3-Carboxypropyl)trimethylammonium,9.87,113379,0,32781,-1.1
HILIC-Pos_Standards,220902_Smp_FilterBlk4,(3-Carboxypropyl)trimethylammonium,9.93,81754,0,30686,-2.7
HILIC-Pos_Standards,220902_Smp_TN397_DFBlk1_A,(3-Carboxypropyl)trimethylammonium,9.88,43291576,0,2520722,-2.4
HILIC-Pos_Standards,220902_Smp_TN397_DFBlk1_B,(3-Carboxypropyl)trimethylammonium,9.89,8953055,0,504991,-2
HILIC-Pos_Standards,220902_Smp_TN397_DFBlk1_C,(3-Carboxypropyl)trimethylammonium,9.86,5176122,0,412563,-2.4
HILIC-Pos_Standards,220902_Smp_TN397_MQBlk1_A,(3-Carboxypropyl)trimethylammonium,9.88,1375364,0,88061,-2.5
