Molecule List Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Molecule List
HILIC-Pos_Standards,220628_Std_4uMStdsMix1InH2O_1,(3-Carboxypropyl)trimethylammonium,9.91,1110620288,12541894,73017640,-3.9,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Std_4uMStdsMix1InH2O_2,(3-Carboxypropyl)trimethylammonium,9.94,1361733120,14085696,89427680,-4.5,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Std_4uMStdsMix1InMatrix_1,(3-Carboxypropyl)trimethylammonium,9.95,1074060672,10082026,74868696,-3.6,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Std_4uMStdsMix1InMatrix_2,(3-Carboxypropyl)trimethylammonium,9.97,1207533568,12814563,84109840,-4.4,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Std_4uMStdsMix2InH2O_1,(3-Carboxypropyl)trimethylammonium,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Std_4uMStdsMix2InH2O_2,(3-Carboxypropyl)trimethylammonium,10.13,12638,0,9145,-1.1,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Std_4uMStdsMix2InMatrix_1,(3-Carboxypropyl)trimethylammonium,9.85,693428224,9851530,65809808,-3.3,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Std_4uMStdsMix2InMatrix_2,(3-Carboxypropyl)trimethylammonium,10.01,668781632,6949453,58742916,-3.5,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Std_H2OinMatrix_1,(3-Carboxypropyl)trimethylammonium,9.98,150876960,289682,10382360,-3.2,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Std_H2OinMatrix_2,(3-Carboxypropyl)trimethylammonium,9.97,103580872,1132883,7011279,-4.2,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Poo_TruePooG3_Full1,(3-Carboxypropyl)trimethylammonium,10.01,188171648,2229147,12855089,-3.4,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Poo_TruePooG3_Full2,(3-Carboxypropyl)trimethylammonium,10.03,183053328,1843304,12400373,-3.3,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Poo_TruePooG3_Full3,(3-Carboxypropyl)trimethylammonium,10.04,170795392,1682610,12140007,-3.4,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Poo_TruePooG3_Half1,(3-Carboxypropyl)trimethylammonium,9.94,107168552,919158,7443023,-3.6,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Poo_TruePooG3_Half2,(3-Carboxypropyl)trimethylammonium,10,87266256,0,6141632,-2.7,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Poo_TruePooG3_Half3,(3-Carboxypropyl)trimethylammonium,10,88168704,21352,6271405,-2.5,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MBlk1_A,(3-Carboxypropyl)trimethylammonium,10.09,2424920,0,188722,-2.9,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MBlk1_B,(3-Carboxypropyl)trimethylammonium,10.01,333008,0,44165,-2.5,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MMQBlk1_A,(3-Carboxypropyl)trimethylammonium,9.92,861933,0,65654,-3.8,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MMQBlk1_B,(3-Carboxypropyl)trimethylammonium,9.94,121864,0,24867,-3.1,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU1_A,(3-Carboxypropyl)trimethylammonium,10.06,62510628,0,4545608,-2.9,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU1_B,(3-Carboxypropyl)trimethylammonium,10.03,80948296,0,5661614,-3.3,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU1_C,(3-Carboxypropyl)trimethylammonium,10.07,81210032,0,5386437,-2.9,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU10_A,(3-Carboxypropyl)trimethylammonium,10.03,28600028,0,2089490,-3.2,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU10_B,(3-Carboxypropyl)trimethylammonium,10.03,27806626,0,1890005,-3.8,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU10_C,(3-Carboxypropyl)trimethylammonium,10.04,14233941,77163,967287,-3,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU11_A,(3-Carboxypropyl)trimethylammonium,9.99,524451200,4081457,38725424,-4.4,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU11_B,(3-Carboxypropyl)trimethylammonium,10.03,437368608,3975711,28784224,-3.8,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU11_C,(3-Carboxypropyl)trimethylammonium,10.06,338634080,3859266,23551566,-3.3,HILIC-Pos_Standards
HILIC-Pos_Standards,220628_Smp_MU14_A,(3-Carboxypropyl)trimethylammonium,10.03,189234960,1921012,12989188,-3.9,HILIC-Pos_Standards
