Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein,Precursor Mz,Product Mz
molecules1,230808_Poo_UKH1_Full1,Trimethylamine N-oxide,7.02,17472286,444679,768077,#N/A,molecules1,76.1557,58.9602
molecules1,230808_Poo_UKH1_Full2,Trimethylamine N-oxide,7.08,15433357,399911,698150,#N/A,molecules1,76.1557,58.9602
molecules1,230808_Poo_UKH1_Full3,Trimethylamine N-oxide,7.01,11423315,184455,501158,#N/A,molecules1,76.1557,58.9602
molecules1,230808_Poo_UKH2_Full1,Trimethylamine N-oxide,7.06,5033301,32632,225887,#N/A,molecules1,76.1557,58.9602
molecules1,230808_Poo_UKH2_Full2,Trimethylamine N-oxide,6.9,1208114,97473,147451,#N/A,molecules1,76.1557,58.9602
molecules1,230808_Poo_UKH2_Full3,Trimethylamine N-oxide,7.09,5000688,51784,201006,#N/A,molecules1,76.1557,58.9602
molecules1,230808_Poo_UKH3_Full1,Trimethylamine N-oxide,5.76,284926,45992,16091,#N/A,molecules1,76.1557,58.9602
molecules1,230808_Poo_UKH3_Full2,Trimethylamine N-oxide,5.7,273674,98403,18433,#N/A,molecules1,76.1557,58.9602
molecules1,230808_Poo_UKH3_Full3,Trimethylamine N-oxide,5.67,568628,184241,29252,#N/A,molecules1,76.1557,58.9602
molecules1,230808_Std_0nM_Homarine_UKH1_1,Trimethylamine N-oxide,7.04,5880559,164194,264528,#N/A,molecules1,76.1557,58.9602
molecules1,230808_Std_0nM_Homarine_UKH1_2,Trimethylamine N-oxide,7.03,4409005,147847,199153,#N/A,molecules1,76.1557,58.9602
molecules1,230808_Std_0nM_Homarine_UKH2_1,Trimethylamine N-oxide,7.04,9766120,217853,434270,#N/A,molecules1,76.1557,58.9602
molecules1,230808_Std_0nM_Homarine_UKH2_2,Trimethylamine N-oxide,6.99,7514427,128136,322048,#N/A,molecules1,76.1557,58.9602
molecules1,230808_Std_0nM_Homarine_UKH3_1,Trimethylamine N-oxide,5.69,168340,256832,9837,#N/A,molecules1,76.1557,58.9602
molecules1,230808_Std_0nM_Homarine_UKH3_2,Trimethylamine N-oxide,5.61,289208,251832,20012,#N/A,molecules1,76.1557,58.9602
molecules1,230808_Std_50nM_Homarine_UKH1_1,Trimethylamine N-oxide,7.05,5668527,195658,236443,#N/A,molecules1,76.1557,58.9602
molecules1,230808_Std_50nM_Homarine_UKH1_2,Trimethylamine N-oxide,7.02,4416891,200750,210200,#N/A,molecules1,76.1557,58.9602
molecules1,230808_Std_50nM_Homarine_UKH2_1,Trimethylamine N-oxide,7.06,10252436,159457,423216,#N/A,molecules1,76.1557,58.9602
molecules1,230808_Std_50nM_Homarine_UKH2_2,Trimethylamine N-oxide,7.02,9961067,281882,431347,#N/A,molecules1,76.1557,58.9602
molecules1,230808_Std_50nM_Homarine_UKH3_1,Trimethylamine N-oxide,5.56,60529,42472,9239,#N/A,molecules1,76.1557,58.9602
molecules1,230808_Std_50nM_Homarine_UKH3_2,Trimethylamine N-oxide,5.59,222055,100263,16776,#N/A,molecules1,76.1557,58.9602
molecules1,230808_Std_100nM_Homarine_UKH1_1,Trimethylamine N-oxide,6.93,1771203,39495,188607,#N/A,molecules1,76.1557,58.9602
molecules1,230808_Std_100nM_Homarine_UKH1_2,Trimethylamine N-oxide,7.06,4483442,168205,200814,#N/A,molecules1,76.1557,58.9602
molecules1,230808_Std_100nM_Homarine_UKH2_1,Trimethylamine N-oxide,7.03,9827251,258293,443843,#N/A,molecules1,76.1557,58.9602
molecules1,230808_Std_100nM_Homarine_UKH2_2,Trimethylamine N-oxide,7,10078084,175413,419932,#N/A,molecules1,76.1557,58.9602
molecules1,230808_Std_100nM_Homarine_UKH3_1,Trimethylamine N-oxide,7,1404597,158483,86617,#N/A,molecules1,76.1557,58.9602
molecules1,230808_Std_100nM_Homarine_UKH3_2,Trimethylamine N-oxide,6.93,1728518,105235,71499,#N/A,molecules1,76.1557,58.9602
molecules1,230808_Std_200nM_Homarine_UKH1_1,Trimethylamine N-oxide,7,5515318,289790,251928,#N/A,molecules1,76.1557,58.9602
molecules1,230808_Std_200nM_Homarine_UKH1_2,Trimethylamine N-oxide,7.02,4429178,253700,187761,#N/A,molecules1,76.1557,58.9602
molecules1,230808_Std_200nM_Homarine_UKH2_1,Trimethylamine N-oxide,7.06,7522244,129337,342164,#N/A,molecules1,76.1557,58.9602
molecules1,230808_Std_200nM_Homarine_UKH2_2,Trimethylamine N-oxide,7.02,10466298,177627,454710,#N/A,molecules1,76.1557,58.9602
