Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein,Precursor Mz,Product Mz
molecules1,230605_Std_4uMStdsMix1InH2O_1,Trimethylamine N-oxide,6.99,329198208,3690229,11716217,#N/A,molecules1,76.1557,58.9602
molecules1,230605_Std_4uMStdsMix1InH2O_2,Trimethylamine N-oxide,6.99,307396928,3473105,10629624,#N/A,molecules1,76.1557,58.9602
molecules1,230605_Std_4uMStdsMix1InMatrix_1,Trimethylamine N-oxide,6.99,334490208,4002244,12828861,#N/A,molecules1,76.1557,58.9602
molecules1,230605_Std_4uMStdsMix1InMatrix_2,Trimethylamine N-oxide,6.99,313636960,3756410,12086212,#N/A,molecules1,76.1557,58.9602
molecules1,230605_Std_H2OinMatrix_1,Trimethylamine N-oxide,6.97,25879662,1093309,1066423,#N/A,molecules1,76.1557,58.9602
molecules1,230605_Std_H2OinMatrix_2,Trimethylamine N-oxide,6.99,25777192,1016930,1033047,#N/A,molecules1,76.1557,58.9602
molecules1,230605_Poo_UCH1_Full1,Trimethylamine N-oxide,7.01,46228148,1106616,1954903,#N/A,molecules1,76.1557,58.9602
molecules1,230605_Poo_UCH1_Full2,Trimethylamine N-oxide,7.01,47706604,1062769,1910733,#N/A,molecules1,76.1557,58.9602
molecules1,230605_Poo_UCH1_Full3,Trimethylamine N-oxide,6.99,48101300,1162691,1943255,#N/A,molecules1,76.1557,58.9602
molecules1,230605_Poo_UKH4_Full1,Trimethylamine N-oxide,6.99,21714410,1324209,917986,#N/A,molecules1,76.1557,58.9602
molecules1,230605_Poo_UKH4_Full2,Trimethylamine N-oxide,7.01,23740488,1401153,986382,#N/A,molecules1,76.1557,58.9602
molecules1,230605_Poo_UKH4_Full3,Trimethylamine N-oxide,6.97,22595578,1462146,966305,#N/A,molecules1,76.1557,58.9602
molecules1,230605_Smp_TN397_UCH1_DMSP_A,Trimethylamine N-oxide,6.99,49730916,1597415,2077313,#N/A,molecules1,76.1557,58.9602
molecules1,230605_Smp_TN397_UCH1_DMSP_B,Trimethylamine N-oxide,7.01,28303552,853568,1147053,#N/A,molecules1,76.1557,58.9602
molecules1,230605_Smp_TN397_UCH1_DMSP_C,Trimethylamine N-oxide,6.97,46306264,1320439,1856647,#N/A,molecules1,76.1557,58.9602
molecules1,230605_Smp_TN397_UCH1_GBT_A,Trimethylamine N-oxide,6.97,83933832,1449922,3412192,#N/A,molecules1,76.1557,58.9602
molecules1,230605_Smp_TN397_UCH1_GBT_B,Trimethylamine N-oxide,6.97,12496352,935854,493491,#N/A,molecules1,76.1557,58.9602
molecules1,230605_Smp_TN397_UCH1_GBT_C,Trimethylamine N-oxide,6.99,46737380,1138813,1904304,#N/A,molecules1,76.1557,58.9602
molecules1,230605_Smp_TN397_UCH1_Gluc_A,Trimethylamine N-oxide,6.99,106633488,1489613,4438840,#N/A,molecules1,76.1557,58.9602
molecules1,230605_Smp_TN397_UCH1_Gluc_B,Trimethylamine N-oxide,7.01,66545780,1374387,2772271,#N/A,molecules1,76.1557,58.9602
molecules1,230605_Smp_TN397_UCH1_Gluc_C,Trimethylamine N-oxide,6.99,10476693,807656,454374,#N/A,molecules1,76.1557,58.9602
molecules1,230605_Smp_TN397_UCH1_Hom_A,Trimethylamine N-oxide,6.97,50792688,1068378,2116511,#N/A,molecules1,76.1557,58.9602
molecules1,230605_Smp_TN397_UCH1_Hom_B,Trimethylamine N-oxide,6.99,70637488,1423554,2909813,#N/A,molecules1,76.1557,58.9602
molecules1,230605_Smp_TN397_UCH1_Hom_C,Trimethylamine N-oxide,6.99,62805280,1132266,2620581,#N/A,molecules1,76.1557,58.9602
molecules1,230605_Smp_TN397_UCH1_TMAO_A,Trimethylamine N-oxide,6.97,19648828,875413,825764,#N/A,molecules1,76.1557,58.9602
molecules1,230605_Smp_TN397_UCH1_TMAO_B,Trimethylamine N-oxide,6.97,12360746,802044,493446,#N/A,molecules1,76.1557,58.9602
molecules1,230605_Smp_TN397_UCH1_TMAO_C,Trimethylamine N-oxide,6.99,11059738,527187,459635,#N/A,molecules1,76.1557,58.9602
molecules1,230605_Smp_TN397_UCH1_Trig_A,Trimethylamine N-oxide,7.01,35689048,1132924,1473148,#N/A,molecules1,76.1557,58.9602
molecules1,230605_Smp_TN397_UCH1_Trig_B,Trimethylamine N-oxide,6.97,19320260,606422,797743,#N/A,molecules1,76.1557,58.9602
