Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein,Precursor Mz,Product Mz
molecules1,230921_Std_0nM_GBT_G5_UKG_1_FS,Trimethylamine N-oxide,6.94,17913756,299445,694764,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Std_0nM_GBT_G5_UKG_2_FS,Trimethylamine N-oxide,6.94,19264936,417597,730410,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Std_50nM_GBT_G5_UKG_1_FS,Trimethylamine N-oxide,6.94,18326026,226596,648580,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Std_50nM_GBT_G5_UKG_2_FS,Trimethylamine N-oxide,6.94,18201694,209816,696318,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Std_100nM_GBT_G5_UKG_1_FS,Trimethylamine N-oxide,6.94,17536240,298807,647257,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Std_100nM_GBT_G5_UKG_2_FS,Trimethylamine N-oxide,6.9,17668228,215898,653601,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Std_200nM_GBT_G5_UKG_1_FS,Trimethylamine N-oxide,6.94,18204676,483258,663591,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Std_200nM_GBT_G5_UKG_2_FS,Trimethylamine N-oxide,6.9,18558924,369839,696853,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Poo_G5_UKG_Full1,Trimethylamine N-oxide,6.94,24759268,448050,884867,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Poo_G5_UKG_Full2,Trimethylamine N-oxide,6.94,25734492,347187,930348,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Poo_G5_UKG_Full3,Trimethylamine N-oxide,6.94,23718308,410211,857957,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_G5_UKG_0nM_A,Trimethylamine N-oxide,6.94,40995664,622324,1345257,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_G5_UKG_0nM_B,Trimethylamine N-oxide,6.94,22511478,415753,781884,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_G5_UKG_0nM_C,Trimethylamine N-oxide,6.94,13901106,230301,460517,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_G5_UKG_2nM_A,Trimethylamine N-oxide,6.94,20490936,232948,669213,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_G5_UKG_2nM_B,Trimethylamine N-oxide,6.94,60445876,947842,1997642,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_G5_UKG_2nM_C,Trimethylamine N-oxide,6.9,31603848,334068,1042545,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_G5_UKG_5nM_A,Trimethylamine N-oxide,6.94,25233282,487579,845009,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_G5_UKG_5nM_B,Trimethylamine N-oxide,6.94,5568592,93632,202370,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_G5_UKG_5nM_blk,Trimethylamine N-oxide,6.94,1002015,5524,35948,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_G5_UKG_5nM_C,Trimethylamine N-oxide,6.94,35338008,376016,1165697,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_G5_UKG_10nM_A,Trimethylamine N-oxide,6.94,18780812,290121,681483,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_G5_UKG_10nM_B,Trimethylamine N-oxide,6.9,12798060,199082,422655,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_G5_UKG_10nM_C,Trimethylamine N-oxide,6.94,42946232,782327,1380394,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_G5_UKG_50nM_A,Trimethylamine N-oxide,6.94,30229056,252386,1038762,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_G5_UKG_50nM_B,Trimethylamine N-oxide,6.94,10682220,124681,354598,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_G5_UKG_50nM_blk,Trimethylamine N-oxide,6.9,413977,11992,18436,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_G5_UKG_50nM_C,Trimethylamine N-oxide,6.94,10070678,195975,381477,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_G5_UKG_200nM_A,Trimethylamine N-oxide,6.94,16327129,287830,533978,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_G5_UKG_200nM_B,Trimethylamine N-oxide,6.94,20708310,473224,694696,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_G5_UKG_200nM_C,Trimethylamine N-oxide,6.94,38145208,833894,1366228,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_G5_UKG_1000nM_A,Trimethylamine N-oxide,6.94,16802740,264570,568660,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_G5_UKG_1000nM_B,Trimethylamine N-oxide,6.94,20724378,454879,717330,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_G5_UKG_1000nM_blk,Trimethylamine N-oxide,6.94,1186982,24035,43488,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_G5_UKG_1000nM_C,Trimethylamine N-oxide,6.94,28409718,642367,954183,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Std_0nM_GBT_RC078_UKG1_1,Trimethylamine N-oxide,6.94,21835342,261126,802499,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Std_0nM_GBT_RC078_UKG1_2,Trimethylamine N-oxide,6.87,25286676,583127,928899,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Std_50nM_GBT_RC078_UKG1_1,Trimethylamine N-oxide,6.94,22777474,398105,835416,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Std_50nM_GBT_RC078_UKG1_2,Trimethylamine N-oxide,6.87,26003474,570401,940008,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Std_100nM_GBT_RC078_UKG1_1,Trimethylamine N-oxide,6.9,23632494,495085,866743,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Std_100nM_GBT_RC078_UKG1_2,Trimethylamine N-oxide,6.87,25216586,611933,932443,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Std_200nM_GBT_RC078_UKG1_1,Trimethylamine N-oxide,6.9,23078642,531044,848752,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Std_200nM_GBT_RC078_UKG1_2,Trimethylamine N-oxide,6.87,22447448,273683,915839,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Poo_RC078_UKG1_Full1,Trimethylamine N-oxide,6.9,22039400,466189,814823,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Poo_RC078_UKG1_Full2,Trimethylamine N-oxide,6.87,23413876,557665,847596,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Poo_RC078_UKG1_Full3,Trimethylamine N-oxide,6.9,20718612,1086991,833965,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_RC078_UKG1_0nM_A,Trimethylamine N-oxide,6.9,29789252,355758,1168297,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_RC078_UKG1_0nM_B,Trimethylamine N-oxide,6.9,32315644,1027978,1370006,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_RC078_UKG1_0nM_C,Trimethylamine N-oxide,6.9,22854820,1183179,931879,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_RC078_UKG1_10nM_A,Trimethylamine N-oxide,6.9,37524928,811750,1361465,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_RC078_UKG1_10nM_B,Trimethylamine N-oxide,6.9,23387108,618011,883512,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_RC078_UKG1_10nM_C,Trimethylamine N-oxide,6.87,14537090,318754,519998,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_RC078_UKG1_50nM_A,Trimethylamine N-oxide,6.9,74150800,1860344,2633177,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_RC078_UKG1_50nM_B,Trimethylamine N-oxide,6.9,30183698,449596,1085831,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_RC078_UKG1_50nM_C,Trimethylamine N-oxide,6.9,14489426,259956,605818,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_RC078_UKG1_200nM_A,Trimethylamine N-oxide,6.9,43245220,978693,1555764,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_RC078_UKG1_200nM_B,Trimethylamine N-oxide,6.9,40942564,1039142,1509970,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_RC078_UKG1_200nM_C,Trimethylamine N-oxide,6.9,20780750,688077,836025,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_RC078_UKG1_500nM_A,Trimethylamine N-oxide,6.9,39922080,853999,1437069,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_RC078_UKG1_500nM_B,Trimethylamine N-oxide,6.9,26550370,561212,948278,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_RC078_UKG1_500nM_C,Trimethylamine N-oxide,6.87,30379306,612073,1104150,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_RC078_UKG1_1000nM_A,Trimethylamine N-oxide,6.9,18317594,3553708,814259,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_RC078_UKG1_1000nM_B,Trimethylamine N-oxide,6.9,30662812,345791,1245164,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_RC078_UKG1_1000nM_C,Trimethylamine N-oxide,6.9,32874550,805673,1174603,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_RC078_UKG1_2000nM_A,Trimethylamine N-oxide,6.87,59979588,1095531,2123461,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_RC078_UKG1_2000nM_B,Trimethylamine N-oxide,6.87,30699258,654593,1114470,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_RC078_UKG1_2000nM_C-10x,Trimethylamine N-oxide,6.87,25874474,640351,932024,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Smp_RC078_UKG1_5000nM_A,Trimethylamine N-oxide,6.9,14767470,440046,536362,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Std_0nM_GBT_RC104_UKG1_1,Trimethylamine N-oxide,6.9,2028579,47485,68064,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Std_0nM_GBT_RC104_UKG1_2,Trimethylamine N-oxide,6.83,2742511,81920,92639,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Std_50nM_GBT_RC104_UKG1_1,Trimethylamine N-oxide,6.87,2202500,92383,87845,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Std_50nM_GBT_RC104_UKG1_2,Trimethylamine N-oxide,6.9,2690960,103508,94894,#N/A,molecules1,76.1557,58.9602
molecules1,230921_Std_100nM_GBT_RC104_UKG1_1,Trimethylamine N-oxide,6.87,2476376,91841,88222,#N/A,molecules1,76.1557,58.9602
