Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
HILIC_Pos_Standards,240807_Std_4uMStdsMix1InH2O_1,Trimethylamine,6.66,7544089,0,469461,2.6,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Std_4uMStdsMix1InH2O_2,Trimethylamine,6.66,6768151,0,479872,2.7,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Std_4uMStdsMix1InH2O_3,Trimethylamine,6.72,5073559,0,326233,2.6,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Std_4uMStdsMix2InH2O_1,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Std_4uMStdsMix2InH2O_2,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Std_4uMStdsMix2InH2O_3,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_G5_UKG1_0nM_A,Trimethylamine,6.66,28137,0,18204,2.1,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_G5_UKG1_0nM_B,Trimethylamine,6.52,17009,0,13745,0.5,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_G5_UKG1_0nM_C,Trimethylamine,6.66,28769,0,13114,0.6,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_GBT-K1_M0nM_A,Trimethylamine,5.51,58709,0,43080,0.9,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_GBT-K1_M0nM_B,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_GBT-K1_M0nM_C,Trimethylamine,5.21,9715,0,8157,0.7,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_GBT-K2_M0nM_A,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_GBT-K2_M0nM_B,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_GBT-K2_M0nM_C,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_RC078_UKG1_0nM_A,Trimethylamine,5.55,17769,0,10124,1.1,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_RC078_UKG1_0nM_B,Trimethylamine,6.72,17203,0,11755,2.3,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_RC078_UKG1_0nM_C,Trimethylamine,5.29,28481,0,18005,0.6,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_RC078_UKH1_0nM_A,Trimethylamine,6.69,583067,0,46941,3.1,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_RC078_UKH1_0nM_B,Trimethylamine,6.67,480311,0,41216,2.6,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_RC078_UKH1_0nM_C,Trimethylamine,6.64,486463,0,50209,2.8,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_RC078_UKH2_0nM_A,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_RC078_UKH2_0nM_B,Trimethylamine,5.51,33147,0,19143,1.9,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_RC078_UKH2_0nM_C,Trimethylamine,5.14,194975,0,133863,0.8,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_RC104_UCH1_0nM_A,Trimethylamine,6.56,34344,0,23658,1,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_RC104_UCH1_0nM_B,Trimethylamine,6.5,21694,0,20601,0.4,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_RC104_UCH1_0nM_C,Trimethylamine,6.42,34051,0,24623,2.3,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_RC104_UKG1_0nM_A,Trimethylamine,6.55,16573,0,9637,2.5,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_RC104_UKG1_0nM_B,Trimethylamine,6.13,60400,0,58777,3.5,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_RC104_UKG1_0nM_C,Trimethylamine,6.61,55831,0,23517,1.8,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_RC104_UKH1_0nM_A,Trimethylamine,6.53,99599,0,24191,2.2,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_RC104_UKH1_0nM_B,Trimethylamine,6.53,17204,0,13474,0.5,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_RC104_UKH1_0nM_C,Trimethylamine,6.78,14303,0,9615,0.7,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_TN397_UCH1_0nM_A,Trimethylamine,5.08,4834,0,3089,1.9,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_TN397_UCH1_0nM_B,Trimethylamine,6.66,14107,0,9666,1.2,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_TN397_UCH1_0nM_C,Trimethylamine,6.77,20853,0,15578,0.6,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_TN397_UKH1_0nM_A,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_TN397_UKH1_0nM_B,Trimethylamine,5.43,9637,0,8599,3.7,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_TN397_UKH1_0nM_C,Trimethylamine,6.74,11103,0,10299,3.1,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_TN397_UKH2_0nM_A,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_TN397_UKH2_0nM_B,Trimethylamine,6.62,12046,0,8271,0.8,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_TN397_UKH2_0nM_C,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_TN397_UKH3_0nM_A,Trimethylamine,6.54,10272,0,7109,2.1,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_TN397_UKH3_0nM_B,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_TN397_UKH3_0nM_C,Trimethylamine,5.43,11613,0,9208,2.6,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_TN397_UKH4_0nM_A,Trimethylamine,6.6,28064,0,13891,3.2,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_TN397_UKH4_0nM_B,Trimethylamine,5.83,30304,0,17412,1.4,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_TN397_UKH4_0nM_C,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_TN397_UKH5_0nM_A,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_TN397_UKH5_0nM_B,Trimethylamine,#N/A,#N/A,#N/A,#N/A,#N/A,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_TN397_UKH5_0nM_C,Trimethylamine,5.87,37140,0,30454,1.9,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Std_4uMStdsMix1InH2O_1,Propylamine,6.66,7544089,0,469461,2.6,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Std_4uMStdsMix1InH2O_2,Propylamine,6.66,6768151,0,479872,2.7,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Std_4uMStdsMix1InH2O_3,Propylamine,6.72,5073559,0,326233,2.6,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Std_4uMStdsMix2InH2O_1,Propylamine,13.93,29742448,0,937579,2.5,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Std_4uMStdsMix2InH2O_2,Propylamine,13.93,26408598,0,964667,3,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Std_4uMStdsMix2InH2O_3,Propylamine,14.52,20589302,0,615550,2.5,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_G5_UKG1_0nM_A,Propylamine,0.08,9310135,0,8771534,2.6,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_G5_UKG1_0nM_B,Propylamine,2.25,21103,0,12599,2,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_G5_UKG1_0nM_C,Propylamine,0.08,33181654,0,27669210,3.1,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_GBT-K1_M0nM_A,Propylamine,0.08,4809215,0,4130306,1.9,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_GBT-K1_M0nM_B,Propylamine,0.08,3680225,0,2580953,2.4,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_GBT-K1_M0nM_C,Propylamine,0.07,283526,0,255501,2.6,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_GBT-K2_M0nM_A,Propylamine,0.07,321824,0,248475,1.8,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_GBT-K2_M0nM_B,Propylamine,0.08,1245688,0,1004313,1.4,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_GBT-K2_M0nM_C,Propylamine,0.08,3946356,0,3802681,1.9,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_RC078_UKG1_0nM_A,Propylamine,0.08,8835866,0,9199704,2.7,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_RC078_UKG1_0nM_B,Propylamine,0.08,2197706,0,2210099,2.4,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_RC078_UKG1_0nM_C,Propylamine,0.08,3214815,0,2402996,2.4,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_RC078_UKH1_0nM_A,Propylamine,0.1,1076826,0,571669,2.9,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_RC078_UKH1_0nM_B,Propylamine,0.07,1527203,0,1213580,2.5,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_RC078_UKH1_0nM_C,Propylamine,0.07,864876,0,839723,2.8,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_RC078_UKH2_0nM_A,Propylamine,10.22,1769988,0,371912,2.5,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_RC078_UKH2_0nM_B,Propylamine,0.07,1076777,0,1027796,2.3,HILIC_Pos_Standards
HILIC_Pos_Standards,240807_Smp_RC078_UKH2_0nM_C,Propylamine,0.07,2122794,0,1776939,2.3,HILIC_Pos_Standards
