Region,Cruise,Experiment,Compound,Particulate Concentration (nM),Dissolved Concentration (nM),Kt (nM),Vmax nmol L^-1 day^-1
NPTZ,KM1906,UKG1,GBT,0.461±0.045,6.63±0.46, 105± 20,0.37±0.025
NPTZ,KM1906,UKG2,GBT,0.551±0.17,8.98±2.1,37.8±8.6,0.636±0.036
PS,RC078,UKG1,GBT, 8.9±1.6,  56±9.2, 299± 43,4.12±0.21
PS,RC104,UKG1,GBT,0.775±0.095,10.5±  1,98.5± 27,0.469±0.033
NPSG,TN412,UKG,GBT,0.319±0.049,0.472±0.15,6.93±2.1,0.279±0.023
PS,RC078,UKH1,Homarine,1.13±0.14,13.4±2.4, 148± 37,0.176±0.016
PS,RC078,UKH2,Homarine,2.42±0.23,12.4±0.38, 548±160,0.495±0.076
PS,RC104,UKH1,Homarine,0.41±0.077, 4.1±1.4, 195± 19,0.299±0.009
NPSG,TN397,UKH1,Homarine,0.014±0.003,0.059±0.025,37.9±5.9,0.074±0.005
NPSG,TN397,UKH2,Homarine,0.029±0.011,0.186±0.072,35.6± 11,0.051±0.005
Eq,TN397,UKH3,Homarine,0.209±0.016,0.387±0.11, 232±100,0.167±0.025
Eq,TN397,UKH4,Homarine,0.293±0.035,0.887±0.084, 312± 42,0.263±0.015
Eq,TN397,UKH5,Homarine,0.258±0.021, 0.3±0.036, 260± 61,0.671±0.078
