Region,Cruise,Experiment,Compound,Turnover Time (hr),Flux (nmol compound L^-1 day^-1),Carbon Flux (nmol C L^-1 day^-1)
NPTZ,KM1906,UKG1,GBT, 302± 68,0.527±0.11,2.64±0.56
NPTZ,KM1906,UKG2,GBT,73.5± 30,2.93±0.97,14.7±4.8
PS,RC078,UKG1,GBT,86.2± 24,15.6±3.5,77.9± 17
PS,RC104,UKG1,GBT, 233± 72,1.08±0.32,5.42±1.6
NPSG,TN412,UKG,GBT,26.5± 14,0.427±0.19,2.14±0.94
PS,RC078,UKH1,Homarine, 914±330,0.352±0.11,2.46±0.79
PS,RC078,UKH2,Homarine,1130±380,0.262±0.088,1.84±0.62
PS,RC104,UKH1,Homarine, 665±330,0.148±0.053,1.04±0.37
NPSG,TN397,UKH1,Homarine, 512±320,0.003±0.001,0.019±0.009
NPSG,TN397,UKH2,Homarine, 695±440,0.006±0.003,0.045±0.022
Eq,TN397,UKH3,Homarine,1390±860,0.007±0.004,0.047±0.025
Eq,TN397,UKH4,Homarine,1190±240,0.018±0.003,0.125±0.022
Eq,TN397,UKH5,Homarine, 388±120,0.019±0.005,0.13±0.037
